time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314459.6453187,RIGHT_HAND,-2544,25652,-11276,12331,1915,2011,89
1731314459.6900537,RIGHT_HAND,-2176,31776,-8968,23127,3769,5223,91
1731314459.7362864,RIGHT_HAND,-1012,31072,-4848,29369,2976,8758,93
1731314459.8253062,RIGHT_HAND,-2512,27464,-2600,31355,1317,11468,95
1731314459.8704453,RIGHT_HAND,-2268,21624,1352,32767,2241,12431,97
1731314459.96025,RIGHT_HAND,-2340,12352,2220,30598,-2764,8649,99
1731314460.0063605,RIGHT_HAND,-1912,7988,2572,28170,-5336,6486,100
1731314460.0503147,RIGHT_HAND,-1564,4528,60,24580,-7977,3987,101
1731314460.0511556,RIGHT_HAND,-1580,1348,-3848,22149,-7258,2791,102
1731314460.0950022,RIGHT_HAND,-972,-1604,-5544,15695,-5287,1415,103
1731314460.1852791,RIGHT_HAND,-508,-2352,-6104,10302,-1125,990,104
1731314460.1861277,RIGHT_HAND,-168,-2552,-7312,6128,488,869,105
1731314460.230442,RIGHT_HAND,496,-3036,-9080,4161,1820,107,106
1731314460.2311723,RIGHT_HAND,1608,-2424,-9752,1880,1537,-449,107
1731314460.231946,RIGHT_HAND,1192,-2268,-11632,1315,-2728,-467,108
1731314460.2753558,RIGHT_HAND,924,-2108,-12400,1080,-3283,-921,109
1731314460.3204691,RIGHT_HAND,584,-2044,-13768,1887,-3568,-224,110
1731314460.3212464,RIGHT_HAND,-388,-1720,-14936,6463,-5095,8,111
1731314460.4104097,RIGHT_HAND,692,-3860,-15984,1821,-1301,-53,112
1731314460.4554026,RIGHT_HAND,432,-3016,-15956,-2553,190,55,113
1731314460.456131,RIGHT_HAND,-180,-2176,-15540,-1953,-1214,-399,114
1731314460.456908,RIGHT_HAND,-548,-2284,-15640,1289,-2680,-876,115
1731314460.5004802,RIGHT_HAND,-696,-3140,-15120,44,-1460,-1251,116
1731314460.5452142,RIGHT_HAND,-320,-2648,-15228,-1483,-556,-1371,117
1731314460.5459747,RIGHT_HAND,-60,-2016,-15260,-1272,653,-935,118
1731314460.5904593,RIGHT_HAND,588,-2164,-15212,-967,1249,-641,119
1731314460.6353984,RIGHT_HAND,652,-2172,-15472,-920,-958,-367,120
1731314460.6361513,RIGHT_HAND,-216,-2244,-15680,-750,-2042,-325,121
1731314460.6803503,RIGHT_HAND,-788,-2060,-17112,-107,-1145,-307,122
1731314460.7254155,RIGHT_HAND,-200,-2396,-16612,-833,3795,-335,123
1731314460.726177,RIGHT_HAND,964,-2372,-16228,-1568,2760,39,124
1731314460.7703562,RIGHT_HAND,1136,-1960,-15764,-50,240,-282,125
1731314460.8153057,RIGHT_HAND,816,-2128,-15480,650,-2051,-561,126
1731314460.8161,RIGHT_HAND,560,-2316,-15028,800,-2328,-465,127
1731314460.8604865,RIGHT_HAND,312,-2736,-14076,-70,-1000,-305,128
1731314460.9504552,RIGHT_HAND,552,-2876,-13196,-909,51,-137,129
1731314460.951228,RIGHT_HAND,516,-3212,-11868,-1112,-1373,-77,130
1731314460.9952762,RIGHT_HAND,-232,-3324,-11528,-2454,-323,-187,131
1731314460.9960446,RIGHT_HAND,-244,-3152,-9444,-3930,1354,-202,132
1731314460.9968123,RIGHT_HAND,-360,-2864,-6152,-5967,1500,-474,133
1731314461.040391,RIGHT_HAND,-260,-2400,-4016,-9007,373,-1602,134
1731314461.085396,RIGHT_HAND,-700,-1236,-4168,-12643,-3221,-2485,135
1731314461.0861983,RIGHT_HAND,-1244,444,-3780,-16880,-2005,-3293,136
1731314461.1307664,RIGHT_HAND,-1320,1876,-4664,-21949,468,-4344,137
1731314461.1755145,RIGHT_HAND,-1300,5340,-5772,-25723,1296,-4732,138
1731314461.2204072,RIGHT_HAND,-608,10124,-5600,-32198,6537,-3870,139
1731314461.2211564,RIGHT_HAND,808,6948,-3876,-32768,2508,-4468,140
1731314461.2652717,RIGHT_HAND,-908,17272,-7312,-30775,-4157,-4821,141
1731314461.310465,RIGHT_HAND,-1428,19740,-8184,-26838,-1698,-3864,142
1731314461.3112278,RIGHT_HAND,-1140,20640,-8680,-26473,-283,-2994,143
1731314461.3554487,RIGHT_HAND,-1960,22512,-11872,-27198,-861,-2610,144
1731314461.400733,RIGHT_HAND,-2364,23372,-10488,-26577,4855,-2793,145
1731314461.4015145,RIGHT_HAND,-1620,23688,-9516,-23783,9067,-3226,146
1731314461.4903588,RIGHT_HAND,-620,23440,-7256,-22212,8430,-3851,147
1731314461.535452,RIGHT_HAND,-576,22928,-6696,-20148,5129,-5395,148
1731314461.5361807,RIGHT_HAND,-1016,22048,-7076,-18446,4949,-6539,149
1731314461.5369208,RIGHT_HAND,-624,22356,-5976,-17680,6606,-6635,150
1731314461.5804982,RIGHT_HAND,-24,21964,-5012,-13915,5686,-6322,151
1731314461.581244,RIGHT_HAND,580,20272,-4232,-11441,4304,-5810,152
1731314461.6256921,RIGHT_HAND,804,19448,-3084,-9887,1148,-5128,153
1731314461.6704335,RIGHT_HAND,128,19336,-2836,-7785,-1635,-4402,154
1731314461.6711936,RIGHT_HAND,-696,18976,-1884,-6670,-1825,-3470,155
1731314461.7604804,RIGHT_HAND,-1348,18632,-204,-5315,-2032,-2749,156
1731314461.8054643,RIGHT_HAND,20,20216,-5796,-4673,-3437,-2734,157
1731314461.8061936,RIGHT_HAND,1188,21944,-1940,-2653,-1523,-181,158
1731314461.806947,RIGHT_HAND,-5360,17380,2700,5247,-8407,207,159
1731314461.8512766,RIGHT_HAND,-6956,13664,3060,2190,-2022,-1210,160
1731314461.8520505,RIGHT_HAND,-5824,13476,3556,-1787,7404,777,161
1731314461.8954203,RIGHT_HAND,-2852,14812,2768,-3371,9517,1549,162
1731314461.940435,RIGHT_HAND,-724,17016,1008,-3223,5696,894,163
1731314461.985848,RIGHT_HAND,-736,17408,2912,481,1215,555,164
1731314461.9866283,RIGHT_HAND,-2048,15440,3868,1262,-3109,-438,165
1731314462.0303452,RIGHT_HAND,-3300,15052,3876,-492,-4830,-701,166
1731314462.075521,RIGHT_HAND,-3536,15612,2344,-1449,-3260,-230,167
1731314462.0762753,RIGHT_HAND,-3360,16272,1660,-1159,-2673,-125,168
1731314462.120448,RIGHT_HAND,-3912,16304,2104,12,-2330,-129,169
1731314462.1654284,RIGHT_HAND,-4144,15624,2348,-349,-57,153,170
1731314462.1661785,RIGHT_HAND,-3572,15508,2972,-1047,1304,257,171
1731314462.2109158,RIGHT_HAND,-2868,15908,2348,-1055,942,265,172
1731314462.2557328,RIGHT_HAND,-2640,15960,2500,-676,475,172,173
