time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314571.0220087,RIGHT_LEG,16724,4,-1636,-323,-290,54,11
1731314571.1122541,RIGHT_LEG,16772,100,-1456,-423,-393,103,13
1731314571.1580899,RIGHT_LEG,16656,140,-1480,-558,-602,237,15
1731314571.2472107,RIGHT_LEG,16592,-52,-1600,-672,-557,302,17
1731314571.2921371,RIGHT_LEG,16712,-12,-1868,-648,-309,315,19
1731314571.3371282,RIGHT_LEG,16676,-56,-1528,-666,-190,323,20
1731314571.3378568,RIGHT_LEG,16704,-72,-1632,-590,-45,297,21
1731314571.3822076,RIGHT_LEG,16620,-112,-1648,-351,-53,237,22
1731314571.427193,RIGHT_LEG,16732,-216,-1648,-217,36,153,23
1731314571.4279654,RIGHT_LEG,16744,-164,-1508,-229,133,96,24
1731314571.472136,RIGHT_LEG,16648,-192,-1404,-286,96,-2,25
1731314571.5172336,RIGHT_LEG,16756,-192,-1496,-197,45,-106,26
1731314571.5179663,RIGHT_LEG,16816,-228,-1280,-201,-76,-177,27
1731314571.5621457,RIGHT_LEG,16756,-96,-1288,-156,-207,-212,28
1731314571.607149,RIGHT_LEG,16744,-36,-1340,-123,-272,-244,29
1731314571.6078825,RIGHT_LEG,16748,44,-1420,-321,-261,-201,30
1731314571.6522517,RIGHT_LEG,16676,60,-1548,-355,-295,-192,31
1731314571.6971197,RIGHT_LEG,16816,-64,-1524,-356,-262,-186,32
1731314571.6978488,RIGHT_LEG,16644,152,-1372,-398,-281,-94,33
1731314571.742426,RIGHT_LEG,16708,120,-1332,-562,-307,29,34
1731314571.7876813,RIGHT_LEG,16640,36,-1328,-672,-372,62,35
1731314571.8322394,RIGHT_LEG,16808,8,-1472,-833,-341,111,36
1731314571.8329763,RIGHT_LEG,16768,-68,-1316,-501,-377,91,37
1731314571.8772008,RIGHT_LEG,16736,20,-1376,-564,-438,59,38
1731314571.8779368,RIGHT_LEG,16664,12,-1388,-604,-377,66,39
1731314571.9221838,RIGHT_LEG,16840,16,-1388,-494,-333,42,40
1731314572.012238,RIGHT_LEG,16668,152,-1560,-494,-320,19,41
1731314572.0129468,RIGHT_LEG,16612,-76,-1772,-337,-254,40,42
1731314572.0136402,RIGHT_LEG,16620,172,-1520,-444,-247,70,43
1731314572.0572214,RIGHT_LEG,16836,76,-1360,-335,-218,92,44
1731314572.102232,RIGHT_LEG,16664,32,-1412,-360,-226,118,45
1731314572.1472166,RIGHT_LEG,16656,-56,-1492,-262,-191,164,46
1731314572.1479435,RIGHT_LEG,16860,-60,-1296,-198,-157,174,47
1731314572.1921554,RIGHT_LEG,16788,-52,-1428,-86,-178,174,48
1731314572.1928904,RIGHT_LEG,16712,-144,-1360,-154,-165,199,49
1731314572.237121,RIGHT_LEG,16752,-172,-1448,-125,-159,149,50
1731314572.2378387,RIGHT_LEG,16684,36,-1336,-208,-198,133,51
1731314572.282102,RIGHT_LEG,16700,40,-1164,-367,-376,182,52
1731314572.327177,RIGHT_LEG,16696,-96,-1436,-280,-365,218,53
1731314572.3727188,RIGHT_LEG,16648,-144,-1440,-246,-297,110,54
1731314572.373497,RIGHT_LEG,16796,-232,-1380,-253,-361,-102,55
1731314572.4174867,RIGHT_LEG,16812,-260,-1616,12,-132,-227,56
1731314572.4621243,RIGHT_LEG,16532,-224,-1416,46,-23,-308,57
1731314572.4628506,RIGHT_LEG,16620,152,-1440,-207,13,-167,58
1731314572.507205,RIGHT_LEG,16972,0,-1316,-520,-44,13,59
1731314572.552164,RIGHT_LEG,16696,192,-988,-378,-198,169,60
1731314572.5528457,RIGHT_LEG,16656,-92,-1324,-349,-368,261,61
1731314572.5971851,RIGHT_LEG,16712,-64,-1440,-316,-292,228,62
1731314572.6421657,RIGHT_LEG,16756,-300,-1444,-343,-165,140,63
1731314572.6428504,RIGHT_LEG,16772,-52,-1184,-551,-98,117,64
1731314572.6871314,RIGHT_LEG,16776,32,-1116,-582,-246,121,65
1731314572.7321289,RIGHT_LEG,16800,8,-1192,-491,-377,123,66
1731314572.7771335,RIGHT_LEG,16740,-88,-1280,-459,-431,88,67
1731314572.7778358,RIGHT_LEG,16736,28,-1392,-544,-399,81,68
1731314572.8228457,RIGHT_LEG,16704,-152,-1264,-576,-351,81,69
1731314572.9121718,RIGHT_LEG,16760,-136,-1560,-475,-266,1,70
1731314572.912843,RIGHT_LEG,16872,-40,-1544,-344,-214,-33,71
1731314572.9135034,RIGHT_LEG,16820,-96,-1128,-405,-207,-15,72
1731314572.957327,RIGHT_LEG,16664,-212,-1348,-381,-240,-40,73
1731314573.0023122,RIGHT_LEG,16680,-108,-1196,-339,-189,-66,74
1731314573.003092,RIGHT_LEG,16796,-72,-1296,-360,-235,-59,75
1731314573.0471437,RIGHT_LEG,16644,-172,-1348,-418,-277,-30,76
1731314573.0478246,RIGHT_LEG,16872,-104,-1288,-442,-284,-43,77
1731314573.092133,RIGHT_LEG,16788,-52,-1300,-400,-303,-25,78
1731314573.1371424,RIGHT_LEG,16772,-12,-1316,-361,-298,-51,79
1731314573.1378865,RIGHT_LEG,16668,-12,-1024,-355,-309,-30,80
1731314573.1821444,RIGHT_LEG,16720,-80,-1236,-350,-349,-11,81
1731314573.2271392,RIGHT_LEG,16828,-52,-1152,-421,-297,31,82
1731314573.2278724,RIGHT_LEG,16708,-60,-1280,-451,-251,33,83
1731314573.2721536,RIGHT_LEG,16732,40,-1296,-380,-267,-14,84
1731314573.3621435,RIGHT_LEG,16700,0,-1312,-408,-257,24,85
1731314573.362866,RIGHT_LEG,16768,-116,-1152,-395,-247,5,86
1731314573.4071333,RIGHT_LEG,16736,-32,-1236,-389,-257,41,87
1731314573.407926,RIGHT_LEG,16836,-112,-1224,-345,-304,40,88
1731314573.4087212,RIGHT_LEG,16776,-60,-1248,-377,-291,58,89
1731314573.452877,RIGHT_LEG,16756,48,-1088,-345,-305,61,90
1731314573.497631,RIGHT_LEG,16792,-72,-1220,-397,-345,57,91
1731314573.542477,RIGHT_LEG,16624,-104,-1212,-466,-318,67,92
1731314573.5429635,RIGHT_LEG,16880,-148,-1332,-524,-323,61,93
1731314573.58724,RIGHT_LEG,16732,-16,-1272,-446,-349,73,94
