time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314798.1373327,RIGHT_LEG,16712,952,-2540,-153,147,68,143
1731314798.1819396,RIGHT_LEG,16684,924,-2508,123,43,-18,145
1731314798.2718878,RIGHT_LEG,16916,656,-2076,1137,-591,-315,147
1731314798.3169196,RIGHT_LEG,16432,932,-2788,1484,-869,-357,149
1731314798.40719,RIGHT_LEG,16396,996,-3164,826,-281,-275,151
1731314798.4078915,RIGHT_LEG,16380,1028,-3120,970,320,-317,152
1731314798.4085577,RIGHT_LEG,16288,1256,-3044,628,552,-291,153
1731314798.497389,RIGHT_LEG,16336,1096,-2784,317,713,-194,154
1731314798.5004644,RIGHT_LEG,16672,1052,-2396,-126,692,-82,155
1731314798.5014515,RIGHT_LEG,16440,960,-2488,-389,546,-57,156
1731314798.5871356,RIGHT_LEG,16636,892,-2388,-453,469,-143,157
1731314798.587795,RIGHT_LEG,16764,852,-2044,-333,317,-268,158
1731314798.5884495,RIGHT_LEG,16660,996,-1956,-693,35,-226,159
1731314798.632141,RIGHT_LEG,16532,1044,-2056,-745,-215,-198,160
1731314798.6771064,RIGHT_LEG,16580,1256,-2000,-639,-503,-144,161
1731314798.6775253,RIGHT_LEG,16636,1184,-1984,-628,-720,-70,162
1731314798.7221122,RIGHT_LEG,16460,1152,-2436,-980,-857,91,163
1731314798.7676969,RIGHT_LEG,16556,920,-2608,-1251,-782,199,164
1731314798.8571923,RIGHT_LEG,16328,1364,-2560,-1543,-768,247,165
1731314798.8580108,RIGHT_LEG,16632,996,-2488,-1687,-704,284,166
1731314798.9471734,RIGHT_LEG,16588,940,-2476,-1506,-721,248,167
1731314798.9478853,RIGHT_LEG,16224,1300,-3176,-910,-380,0,168
1731314798.9486012,RIGHT_LEG,16472,984,-2816,-723,-15,-77,169
1731314798.9921932,RIGHT_LEG,16380,1236,-2084,-742,-43,-42,170
1731314798.992922,RIGHT_LEG,16536,1332,-2096,-571,-230,37,171
1731314798.9936802,RIGHT_LEG,16720,1180,-2020,-472,-365,139,172
1731314799.0372431,RIGHT_LEG,16480,1152,-2436,-446,-536,180,173
1731314799.0831358,RIGHT_LEG,16364,1140,-2436,-458,-584,117,174
1731314799.0838747,RIGHT_LEG,16512,1072,-2480,-155,-460,42,175
1731314799.1271365,RIGHT_LEG,16432,1096,-2768,-190,-250,43,176
1731314799.1721096,RIGHT_LEG,16416,1236,-2464,-255,-125,30,177
1731314799.1728384,RIGHT_LEG,16592,1124,-2352,-233,-104,70,178
1731314799.2171373,RIGHT_LEG,16468,1064,-2524,-301,-41,46,179
1731314799.2621548,RIGHT_LEG,16612,1076,-2432,-495,-19,36,180
1731314799.2628908,RIGHT_LEG,16640,952,-2272,-389,27,-32,181
1731314799.307175,RIGHT_LEG,16676,1160,-2184,-278,-187,-71,182
1731314799.3523204,RIGHT_LEG,16788,932,-1972,-359,-433,-90,183
1731314799.3531013,RIGHT_LEG,16824,1032,-1992,-441,-787,-159,184
1731314799.3973331,RIGHT_LEG,16804,1208,-1940,-637,-1289,-88,185
1731314799.442159,RIGHT_LEG,16568,1280,-2336,-297,-1391,1,186
1731314799.4872377,RIGHT_LEG,16728,1376,-2852,-403,-1422,142,187
1731314799.4879718,RIGHT_LEG,16460,1024,-3032,-210,-1169,149,188
1731314799.5321612,RIGHT_LEG,16008,1376,-3680,601,-175,-106,189
1731314799.6221762,RIGHT_LEG,15836,872,-3548,779,510,-438,190
1731314799.6229155,RIGHT_LEG,16500,1300,-2644,171,761,-466,191
1731314799.6677146,RIGHT_LEG,17296,1132,-1808,-893,395,-103,192
1731314799.668456,RIGHT_LEG,16512,1520,-2180,-701,66,70,193
1731314799.6691525,RIGHT_LEG,16284,1304,-2260,-451,-510,148,194
1731314799.7121496,RIGHT_LEG,16472,988,-2436,-208,-462,24,195
1731314799.7572327,RIGHT_LEG,16420,1292,-3036,-552,-215,-93,196
1731314799.7579722,RIGHT_LEG,16576,1060,-2284,-733,-147,-66,197
1731314799.8022408,RIGHT_LEG,16644,1236,-1972,-535,-387,-20,198
1731314799.8471835,RIGHT_LEG,16368,1344,-2528,-396,-572,61,199
1731314799.847922,RIGHT_LEG,16512,1220,-2744,-549,-552,77,200
1731314799.8921614,RIGHT_LEG,16636,1216,-2684,-517,-346,1,201
1731314799.9372668,RIGHT_LEG,16508,1172,-2452,-535,-377,49,202
1731314799.9380066,RIGHT_LEG,16444,1300,-2264,-520,-477,124,203
1731314799.9823134,RIGHT_LEG,16584,1204,-2412,-499,-554,166,204
1731314800.0734034,RIGHT_LEG,16444,1180,-2748,-587,-485,194,205
1731314800.0744832,RIGHT_LEG,16516,1224,-2492,-693,-479,146,206
1731314800.1171787,RIGHT_LEG,16560,1224,-2612,-535,-468,138,207
1731314800.1178453,RIGHT_LEG,16544,1292,-2812,-469,-307,111,208
1731314800.1185215,RIGHT_LEG,16392,1028,-2712,-531,-282,103,209
1731314800.1622586,RIGHT_LEG,16496,1100,-2460,-461,-402,37,210
1731314800.2072659,RIGHT_LEG,16640,1252,-2432,-349,-397,50,211
1731314800.2521346,RIGHT_LEG,16480,1324,-2576,-374,-458,126,212
1731314800.25283,RIGHT_LEG,16560,1140,-2612,-307,-565,99,213
1731314800.297191,RIGHT_LEG,16492,1108,-2880,-88,-533,34,214
1731314800.3871639,RIGHT_LEG,16372,1224,-2868,-86,-402,10,215
1731314800.3879144,RIGHT_LEG,16500,1192,-2828,-292,-340,-3,216
1731314800.3890612,RIGHT_LEG,16588,1164,-2660,-341,-358,0,217
1731314800.3897634,RIGHT_LEG,16484,1128,-2764,-315,-286,-9,218
1731314800.477151,RIGHT_LEG,16236,1264,-2852,-301,-224,27,219
1731314800.4778736,RIGHT_LEG,16528,1184,-2868,-282,-53,24,220
1731314800.4785924,RIGHT_LEG,16408,1256,-2468,-531,-73,82,221
1731314800.5223453,RIGHT_LEG,16452,1284,-2472,-685,-152,199,222
1731314800.5673952,RIGHT_LEG,16652,1220,-2308,-696,-400,263,223
1731314800.6123202,RIGHT_LEG,16656,1060,-2540,-404,-495,253,224
1731314800.6135893,RIGHT_LEG,16444,1040,-2788,-519,-491,240,225
1731314800.6573172,RIGHT_LEG,16492,1180,-2844,-605,-420,200,226
