time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314929.1321788,RIGHT_LEG,16620,-740,-1164,-1261,-1523,47,123
1731314929.1772025,RIGHT_LEG,16608,-736,-1508,-173,-828,-126,125
1731314929.2673895,RIGHT_LEG,16844,-916,-1128,187,-656,-67,127
1731314929.31215,RIGHT_LEG,16724,-692,-1652,436,-252,138,129
1731314929.4021196,RIGHT_LEG,16636,-740,-1180,615,361,328,131
1731314929.4028,RIGHT_LEG,16636,-852,-972,657,369,446,132
1731314929.4470956,RIGHT_LEG,16624,-1380,-1224,918,685,307,133
1731314929.492191,RIGHT_LEG,16728,-1256,-980,1005,896,113,134
1731314929.5371785,RIGHT_LEG,17032,-1268,-620,826,880,-26,135
1731314929.5379088,RIGHT_LEG,16924,-1264,-284,48,477,102,136
1731314929.581862,RIGHT_LEG,16900,-1456,124,-334,-30,178,137
1731314929.5823028,RIGHT_LEG,16944,-1308,-300,-381,-547,189,138
1731314929.6272237,RIGHT_LEG,16724,-1028,-488,-155,-664,232,139
1731314929.6721354,RIGHT_LEG,16668,-1140,-816,-344,-668,263,140
1731314929.7170122,RIGHT_LEG,16772,-1492,-972,-213,-469,63,141
1731314929.717469,RIGHT_LEG,16728,-1336,-1012,-262,-267,-150,142
1731314929.7622359,RIGHT_LEG,16756,-1044,-748,-268,-51,-283,143
1731314929.8068728,RIGHT_LEG,16756,-1096,-668,-411,-110,-294,144
1731314929.8073213,RIGHT_LEG,16680,-936,-648,-366,-99,-210,145
1731314929.8972666,RIGHT_LEG,16680,-992,-792,-208,-132,-215,146
1731314929.8977256,RIGHT_LEG,16712,-1160,-668,-249,-123,-219,147
1731314929.8980992,RIGHT_LEG,16744,-968,-572,-278,22,-169,148
1731314929.9418082,RIGHT_LEG,16756,-988,-520,-359,-81,-120,149
1731314929.9868605,RIGHT_LEG,16812,-1088,-456,-421,-93,-86,150
1731314930.0319557,RIGHT_LEG,16728,-1036,-612,-490,-177,-86,151
1731314930.0772502,RIGHT_LEG,16904,-1004,-420,-527,-253,-20,152
1731314930.0779877,RIGHT_LEG,16756,-1020,-512,-592,-364,25,153
1731314930.0787401,RIGHT_LEG,16828,-980,-496,-681,-482,18,154
1731314930.166968,RIGHT_LEG,16848,-1048,-376,-722,-636,26,155
1731314930.2118566,RIGHT_LEG,16740,-1116,-688,-673,-653,14,156
1731314930.2135,RIGHT_LEG,16796,-1048,-732,-1041,-721,23,157
1731314930.2144718,RIGHT_LEG,16844,-948,-804,-918,-623,-4,158
1731314930.2572274,RIGHT_LEG,16752,-824,-860,-808,-487,50,159
1731314930.3021963,RIGHT_LEG,16748,-924,-780,-675,-536,103,160
1731314930.3029304,RIGHT_LEG,16724,-912,-912,-542,-461,102,161
1731314930.3474169,RIGHT_LEG,16728,-1108,-856,-583,-428,103,162
1731314930.3921797,RIGHT_LEG,16784,-1060,-740,-717,-463,98,163
1731314930.3928988,RIGHT_LEG,16708,-748,-744,-409,-381,56,164
1731314930.4371111,RIGHT_LEG,16636,-948,-944,-328,-326,94,165
1731314930.4828806,RIGHT_LEG,16792,-944,-952,-407,-247,102,166
1731314930.4836075,RIGHT_LEG,16888,-908,-860,-307,-164,63,167
1731314930.5271163,RIGHT_LEG,16788,-1028,-1016,-294,-86,36,168
1731314930.6171005,RIGHT_LEG,16628,-1048,-892,-367,-39,61,169
1731314930.6177716,RIGHT_LEG,16800,-944,-572,-367,-17,77,170
1731314930.6631513,RIGHT_LEG,16764,-1000,-516,-437,-173,123,171
1731314930.7070923,RIGHT_LEG,16680,-1020,-620,-421,-395,169,172
1731314930.7077456,RIGHT_LEG,16808,-988,-804,-478,-362,129,173
1731314930.7971225,RIGHT_LEG,16824,-1032,-904,-457,-236,101,174
1731314930.7978013,RIGHT_LEG,16836,-988,-792,-543,-285,108,175
1731314930.8424442,RIGHT_LEG,16680,-1012,-828,-436,-286,100,176
1731314930.8434305,RIGHT_LEG,16772,-908,-832,-374,-234,155,177
1731314930.8442936,RIGHT_LEG,16772,-936,-712,-413,-233,238,178
1731314930.8871455,RIGHT_LEG,16784,-896,-644,-308,-245,358,179
1731314930.8878808,RIGHT_LEG,16772,-980,-620,-281,-242,495,180
1731314930.9321918,RIGHT_LEG,16648,-1092,-848,-280,-293,539,181
1731314930.9771237,RIGHT_LEG,16708,-1228,-732,-159,-390,458,182
1731314930.9778552,RIGHT_LEG,16812,-1256,-848,-186,-397,328,183
1731314931.022137,RIGHT_LEG,16708,-1340,-936,-419,-376,187,184
1731314931.0671544,RIGHT_LEG,16636,-1296,-528,-511,-281,79,185
1731314931.0678911,RIGHT_LEG,16672,-1288,-820,-503,-288,-30,186
1731314931.1121342,RIGHT_LEG,16680,-1244,-848,-535,-181,-69,187
1731314931.157299,RIGHT_LEG,16576,-1164,-1040,-553,-21,-137,188
1731314931.1580954,RIGHT_LEG,16712,-1104,-952,-495,141,-186,189
1731314931.2021022,RIGHT_LEG,16828,-1144,-876,-410,281,-228,190
1731314931.247301,RIGHT_LEG,16744,-1104,-732,-520,347,-223,191
1731314931.2481112,RIGHT_LEG,16688,-1116,-232,-762,218,-201,192
1731314931.3371496,RIGHT_LEG,16760,-1100,-184,-730,-67,-108,193
1731314931.337821,RIGHT_LEG,16864,-1168,-668,-406,-136,-69,194
1731314931.3384848,RIGHT_LEG,16968,-1144,-388,-905,-120,-15,195
1731314931.3821945,RIGHT_LEG,16748,-916,-340,-954,-197,26,196
1731314931.4257429,RIGHT_LEG,16688,-1056,-424,-997,-267,99,197
1731314931.4264686,RIGHT_LEG,16792,-1132,-668,-709,-384,104,198
1731314931.472234,RIGHT_LEG,16732,-1228,-668,-422,-449,12,199
1731314931.5622382,RIGHT_LEG,16876,-1304,-744,-781,-408,-56,200
1731314931.6074326,RIGHT_LEG,16776,-968,-568,-779,-431,-84,201
1731314931.608061,RIGHT_LEG,16784,-964,-444,-554,-576,-111,202
1731314931.6087222,RIGHT_LEG,16672,-1144,-576,-619,-503,-68,203
1731314931.6521065,RIGHT_LEG,16756,-904,-588,-462,-343,-52,204
1731314931.6527846,RIGHT_LEG,16696,-944,-804,-447,-214,-16,205
1731314931.6971278,RIGHT_LEG,16808,-848,-596,-655,-116,133,206
