time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731315053.9172647,RIGHT_HAND,-1172,9416,1984,-2621,24153,-20397,154
1731315053.9632592,RIGHT_HAND,4844,9888,-2560,-1050,8741,-4799,156
1731315054.0521982,RIGHT_HAND,5168,14296,-4072,177,202,11461,158
1731315054.0991278,RIGHT_HAND,1704,23376,744,1675,-9238,28251,160
1731315054.142129,RIGHT_HAND,-2492,31016,9608,14996,-18951,32767,162
1731315054.2321708,RIGHT_HAND,-6648,32767,16380,12981,-29629,32767,164
1731315054.23295,RIGHT_HAND,-9292,32767,20484,12831,-32768,32767,165
1731315054.2775764,RIGHT_HAND,-10332,32767,30020,9044,-32768,32767,166
1731315054.3221426,RIGHT_HAND,-15296,32767,32767,10865,-32768,32767,167
1731315054.3671668,RIGHT_HAND,-19128,32767,31664,12229,-32768,32767,168
1731315054.3690615,RIGHT_HAND,-19196,32767,32228,17086,-32768,32767,169
1731315054.4123323,RIGHT_HAND,-20572,32767,25888,19896,-32768,32767,170
1731315054.4571357,RIGHT_HAND,-22112,31960,14944,15526,-30563,31983,171
1731315054.4578652,RIGHT_HAND,-22292,25012,11616,11833,-18273,27442,172
1731315054.5022554,RIGHT_HAND,-25404,18268,8216,14398,-14789,23220,173
1731315054.547147,RIGHT_HAND,-25932,9348,5520,14983,-12694,15867,174
1731315054.5478854,RIGHT_HAND,-24636,3908,4044,10731,-12170,1439,175
1731315054.5922348,RIGHT_HAND,-20968,3508,1112,-951,-10989,-10369,176
1731315054.6381404,RIGHT_HAND,-17800,8176,264,-19814,4163,-17966,177
1731315054.6821291,RIGHT_HAND,-16144,14856,1736,-28264,15449,-21587,178
1731315054.682925,RIGHT_HAND,-12712,24012,4056,-23474,20557,-24448,179
1731315054.727445,RIGHT_HAND,-10620,26212,5184,-16512,25882,-28487,180
1731315054.728168,RIGHT_HAND,-8916,27208,6156,-17430,30069,-29428,181
1731315054.7721386,RIGHT_HAND,-7504,30260,7644,-16829,32767,-29967,182
1731315054.8171222,RIGHT_HAND,-5872,31388,9056,-13446,32767,-30488,183
1731315054.8178566,RIGHT_HAND,-4688,31228,8920,-10607,32767,-29689,184
1731315054.8622894,RIGHT_HAND,-3872,30432,8036,-8729,31392,-28365,185
1731315054.9071472,RIGHT_HAND,-2528,27884,7076,-5411,29317,-27345,186
1731315054.9521236,RIGHT_HAND,-1540,26436,6516,-4071,25893,-25991,187
1731315054.9528584,RIGHT_HAND,-196,23456,5680,-625,22905,-25213,188
1731315054.9973314,RIGHT_HAND,428,20380,4152,455,19209,-23745,189
