time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731315123.2154982,RIGHT_HAND,-9636,21680,10704,2235,-17007,5474,114
1731315123.3053076,RIGHT_HAND,-20396,24796,17028,-989,-10539,-7812,116
1731315123.3508482,RIGHT_HAND,-26644,26880,17656,-12894,6594,-21040,118
1731315123.4402688,RIGHT_HAND,-23284,32767,23284,-17635,32767,-27979,120
1731315123.4850295,RIGHT_HAND,-17712,32767,30792,-8535,32767,-32457,122
1731315123.5311117,RIGHT_HAND,-9332,31824,22892,750,32767,-32768,124
1731315123.5753014,RIGHT_HAND,-1296,29088,20856,3800,32767,-32164,125
1731315123.620151,RIGHT_HAND,4944,24428,21548,10643,32767,-29190,126
1731315123.6208668,RIGHT_HAND,10484,18360,15732,16022,30541,-28014,127
1731315123.6653295,RIGHT_HAND,13376,13264,14040,17178,22802,-23845,128
1731315123.7103992,RIGHT_HAND,13760,4316,7440,20669,10873,-19523,129
1731315123.7111604,RIGHT_HAND,10260,-476,2728,11915,-3127,-15110,130
1731315123.7553165,RIGHT_HAND,5804,-2888,1876,1514,-12315,-11785,131
1731315123.8003924,RIGHT_HAND,-544,-2780,124,-131,-10121,-7272,132
1731315123.8011563,RIGHT_HAND,-4904,-4752,-3068,549,-7897,-3343,133
1731315123.8453288,RIGHT_HAND,-7472,-6536,-3648,2689,-5189,-1606,134
1731315123.890458,RIGHT_HAND,-9852,-6776,-4188,2396,-8563,-1034,135
1731315123.8912241,RIGHT_HAND,-11412,-6996,-3824,3159,-7129,-245,136
1731315123.9358616,RIGHT_HAND,-12232,-7436,-1660,4236,-6621,-487,137
1731315124.0253527,RIGHT_HAND,-12688,-7436,-360,1404,-5285,130,138
1731315124.0262039,RIGHT_HAND,-13300,-6628,-752,-2803,-2537,198,139
1731315124.070393,RIGHT_HAND,-13492,-6524,-1576,-1271,-1774,260,140
1731315124.071061,RIGHT_HAND,-12688,-6176,-1404,-942,-957,391,141
1731315124.0717282,RIGHT_HAND,-12048,-5708,-2084,-3609,-264,762,142
1731315124.1154761,RIGHT_HAND,-11212,-5320,-2868,-4065,1954,869,143
1731315124.160447,RIGHT_HAND,-10312,-4320,-2448,-5555,1332,775,144
1731315124.1612012,RIGHT_HAND,-9832,-4060,-2080,-6561,-1517,809,145
1731315124.2052333,RIGHT_HAND,-9680,-3488,-2560,-6619,-3495,1428,146
1731315124.2501764,RIGHT_HAND,-9116,-2160,-2496,-9651,-858,2544,147
1731315124.2951303,RIGHT_HAND,-8664,-1204,-2480,-11829,391,3533,148
1731315124.2958302,RIGHT_HAND,-8920,-20,-2488,-9768,602,6403,149
1731315124.3403528,RIGHT_HAND,-9976,1440,-1768,-8025,3068,9154,150
1731315124.3854742,RIGHT_HAND,-10588,2136,-2280,-5641,4851,11399,151
1731315124.3862498,RIGHT_HAND,-10652,2548,-2548,-3722,6955,13362,152
1731315124.4307222,RIGHT_HAND,-10688,2960,-2072,-3157,9006,14371,153
1731315124.4753895,RIGHT_HAND,-10480,3956,-1620,-2501,9060,16510,154
1731315124.4761438,RIGHT_HAND,-10076,4548,-1424,-3360,3870,17473,155
1731315124.520795,RIGHT_HAND,-10480,5156,-1576,-2347,-4899,19336,156
1731315124.5656881,RIGHT_HAND,-11160,7156,-728,-4697,-12238,20090,157
1731315124.566528,RIGHT_HAND,-13436,9224,764,-4974,-17223,23181,158
1731315124.6104825,RIGHT_HAND,-16408,11356,268,-4010,-15146,25229,159
1731315124.6553278,RIGHT_HAND,-16628,14048,1424,-4758,-10527,26702,160
1731315124.6561015,RIGHT_HAND,-16652,14180,2796,-4622,-7593,27401,161
1731315124.700444,RIGHT_HAND,-17684,15776,1904,-7237,-6708,27551,162
1731315124.7455127,RIGHT_HAND,-16288,17976,2488,-10083,-1451,26288,163
1731315124.7463083,RIGHT_HAND,-15144,19404,3472,-10540,-574,23697,164
1731315124.790408,RIGHT_HAND,-15676,21012,2572,-11119,-2962,21357,165
1731315124.8353558,RIGHT_HAND,-14428,21624,3672,-10810,-686,18353,166
1731315124.8361306,RIGHT_HAND,-12988,21420,4328,-9060,2607,14833,167
1731315124.9249725,RIGHT_HAND,-11496,19424,4216,-6602,3737,11211,168
1731315124.970502,RIGHT_HAND,-9764,17064,3528,-6268,3718,8240,169
1731315124.9712512,RIGHT_HAND,-8016,15560,3080,-7503,1812,5475,170
1731315125.0154178,RIGHT_HAND,-7232,15780,3264,-7538,-2521,2897,171
1731315125.0604067,RIGHT_HAND,-6992,15824,3720,-5521,-6166,1500,172
1731315125.1053147,RIGHT_HAND,-7076,15376,4152,-2797,-8019,1060,173
1731315125.10611,RIGHT_HAND,-6652,15140,3760,-1364,-8675,1042,174
1731315125.150305,RIGHT_HAND,-6232,15928,4064,-1084,-13315,-2440,175
1731315125.1955376,RIGHT_HAND,-6116,17812,5260,4272,-21167,-4597,176
1731315125.1962929,RIGHT_HAND,-8108,16144,3716,7597,-24394,-5040,177
1731315125.2405086,RIGHT_HAND,-8844,13956,1452,3220,-12207,-3150,178
1731315125.285867,RIGHT_HAND,-7676,13460,2712,-1402,2174,-1422,179
1731315125.2866547,RIGHT_HAND,-5728,15036,4708,-1670,10548,624,180
1731315125.3304005,RIGHT_HAND,-4700,16348,5700,-76,13559,2134,181
1731315125.375342,RIGHT_HAND,-3636,16628,6292,1303,13419,3063,182
1731315125.376115,RIGHT_HAND,-3076,15712,6248,2266,12056,2425,183
1731315125.4208212,RIGHT_HAND,-2200,14708,5508,1879,9154,649,184
1731315125.4654057,RIGHT_HAND,-1644,14476,4844,7,5766,-973,185
1731315125.4661605,RIGHT_HAND,-1720,14908,4480,-1298,3024,-2219,186
1731315125.510478,RIGHT_HAND,-2180,15672,4472,-893,28,-2851,187
1731315125.5556598,RIGHT_HAND,-2564,15904,4372,-348,-1639,-2829,188
1731315125.5564473,RIGHT_HAND,-2784,15884,4100,-39,-2236,-2200,189
1731315125.6013932,RIGHT_HAND,-3012,15648,3640,216,-1972,-1426,190
1731315125.6454554,RIGHT_HAND,-3208,15624,3324,-206,-807,-507,191
1731315125.6461995,RIGHT_HAND,-3304,15972,3504,-1037,751,572,192
1731315125.6904233,RIGHT_HAND,-3016,15980,3724,-511,1143,1238,193
1731315125.7357726,RIGHT_HAND,-2804,15624,3912,-125,263,1424,194
1731315125.7365701,RIGHT_HAND,-2936,15528,3936,-7,-1029,1230,195
1731315125.7804592,RIGHT_HAND,-3016,15888,3948,107,-2238,982,196
1731315125.8255012,RIGHT_HAND,-3448,15580,3804,314,-2553,848,197
1731315125.8262799,RIGHT_HAND,-3516,15568,3548,97,-2254,873,198
