time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317185.9362383,RIGHT_HAND,-20704,17404,-1404,26232,16479,-26236,13
1731317185.9817848,RIGHT_HAND,-15648,9832,-2280,28877,32767,-27535,15
1731317186.0713959,RIGHT_HAND,-10952,5996,568,32767,32767,-27500,17
1731317186.161187,RIGHT_HAND,-1136,1696,6344,32767,32767,-16068,19
1731317186.1638014,RIGHT_HAND,9128,-13968,4404,32767,32767,-5222,21
1731317186.2511785,RIGHT_HAND,4772,-8332,19884,-6932,-22001,-7643,23
1731317186.2519152,RIGHT_HAND,-708,-3400,11148,-22378,-32768,-7820,24
1731317186.2962193,RIGHT_HAND,3852,-1972,19828,-32768,-32768,-4797,25
1731317186.341192,RIGHT_HAND,-5064,5224,24208,-32768,-21854,343,26
1731317186.3419266,RIGHT_HAND,-6920,10228,15528,-32768,-20562,2918,27
1731317186.3862145,RIGHT_HAND,-6840,23584,15164,-32768,7324,-108,28
1731317186.4312012,RIGHT_HAND,-4884,32767,30352,-32768,-7908,-28,29
1731317186.4319263,RIGHT_HAND,-3532,32767,21664,-24295,-32521,-12,30
1731317186.476245,RIGHT_HAND,-24504,32767,-32768,29938,-17578,-27626,31
1731317186.5211802,RIGHT_HAND,-7980,32767,-32768,-16024,11998,-13014,32
1731317186.521913,RIGHT_HAND,-2464,32767,-28304,14579,14101,-11193,33
1731317186.5662272,RIGHT_HAND,576,32767,-28232,32767,-4423,-12102,34
1731317186.6112,RIGHT_HAND,-5732,32767,-30988,32767,-12390,-17633,35
1731317186.61193,RIGHT_HAND,-16496,32767,-16220,32767,-20091,-24109,36
1731317186.6562212,RIGHT_HAND,-27396,32767,-10536,32767,-8710,-32768,37
1731317186.7012186,RIGHT_HAND,-26820,26508,-9384,32767,23451,-32768,38
1731317186.746198,RIGHT_HAND,-21084,25468,772,32767,32767,-23051,39
1731317186.7469008,RIGHT_HAND,-18040,20684,9404,32767,32767,-19238,40
1731317186.7912278,RIGHT_HAND,-15804,14104,4976,32767,32767,-16671,41
1731317186.836214,RIGHT_HAND,-13504,12648,7096,32767,32767,-10466,42
1731317186.8369396,RIGHT_HAND,-11984,10728,13068,32767,32767,-3027,43
1731317186.9262173,RIGHT_HAND,-7932,8544,13440,32767,32767,2877,44
1731317186.9714816,RIGHT_HAND,-1976,4076,17304,32767,32767,7407,45
1731317186.9721885,RIGHT_HAND,1396,-3596,19420,32767,32767,5295,46
1731317187.0172203,RIGHT_HAND,224,-8576,22804,32767,9639,4046,47
1731317187.0612042,RIGHT_HAND,992,-13096,21292,25546,-867,922,48
1731317187.0619018,RIGHT_HAND,-852,-15832,24312,15017,2986,-286,49
1731317187.1062202,RIGHT_HAND,-468,-18572,24916,11358,11116,-547,50
1731317187.1508286,RIGHT_HAND,-1136,-18832,25552,2049,6663,-657,51
1731317187.152976,RIGHT_HAND,-1208,-20164,25452,1345,-1862,-1596,52
1731317187.1961575,RIGHT_HAND,-996,-21644,23956,-1373,-7022,-1759,53
1731317187.2411315,RIGHT_HAND,-936,-19788,28896,-11476,-1787,-1254,54
1731317187.2418087,RIGHT_HAND,-536,-17156,27604,-21404,-4502,-1173,55
1731317187.2866058,RIGHT_HAND,-500,-12100,29780,-32768,-4843,-2340,56
1731317187.3311338,RIGHT_HAND,-144,-5776,29452,-32768,-7191,-3586,57
1731317187.3318264,RIGHT_HAND,-88,3288,13692,-32768,-12574,-3800,58
1731317187.3761334,RIGHT_HAND,-4140,9880,9040,-32768,-8617,-6283,59
1731317187.4207895,RIGHT_HAND,-3364,23880,11812,-32768,-20799,-440,60
1731317187.4211862,RIGHT_HAND,-3568,32767,-2800,-32768,10978,16105,61
1731317187.4662967,RIGHT_HAND,2372,14880,-18756,32767,28228,7826,62
1731317187.5111728,RIGHT_HAND,8088,-1592,-13984,32767,32767,11405,63
1731317187.556136,RIGHT_HAND,-3216,6808,-3760,32767,32767,5903,64
1731317187.5568337,RIGHT_HAND,12384,-10832,-2280,-14692,-26458,-5627,65
1731317187.6013887,RIGHT_HAND,5420,-7464,-3916,-6859,-30000,-8173,66
1731317187.6462164,RIGHT_HAND,5828,-3332,-6328,5104,-26519,-7515,67
1731317187.6469471,RIGHT_HAND,1708,-6872,-2112,9163,-14390,-7582,68
1731317187.6913276,RIGHT_HAND,2868,-7092,-1568,8408,-5946,-9912,69
1731317187.736201,RIGHT_HAND,3040,-4376,2140,-2587,-13425,-11674,70
1731317187.7369437,RIGHT_HAND,3388,-5060,-684,575,-17614,-12192,71
1731317187.7812257,RIGHT_HAND,3616,-6468,-5104,2195,-10244,-9028,72
1731317187.8262086,RIGHT_HAND,3456,-9216,-2904,-6667,-9768,-3821,73
1731317187.8269453,RIGHT_HAND,2460,-9220,-2860,-14734,-17680,-1755,74
1731317187.8712327,RIGHT_HAND,1692,-8736,-8640,-21789,-18304,-44,75
1731317187.9162023,RIGHT_HAND,888,-6696,-11372,-23647,-16178,3478,76
1731317187.9169307,RIGHT_HAND,-1308,-4216,-5372,-31404,-25427,5720,77
1731317187.9612284,RIGHT_HAND,-4496,-2852,-9288,-32356,-32768,7578,78
1731317188.0062106,RIGHT_HAND,-6136,1184,-18208,-32768,-26961,11021,79
1731317188.006908,RIGHT_HAND,-8764,5600,-16036,-32768,-30284,11332,80
1731317188.0512354,RIGHT_HAND,-10596,9872,-13600,-32768,-30986,12216,81
1731317188.0961924,RIGHT_HAND,-12132,15216,-17864,-32768,-22562,16233,82
1731317188.096922,RIGHT_HAND,-14636,14560,-19692,-32768,-25624,14890,83
1731317188.141218,RIGHT_HAND,-12616,18064,-12832,-32768,-8713,16544,84
1731317188.1862047,RIGHT_HAND,-11288,22704,-10188,-32768,-7683,14423,85
1731317188.1869469,RIGHT_HAND,-7696,27048,-11656,-32047,-1277,14898,86
1731317188.2312298,RIGHT_HAND,-4716,24848,-4448,-19278,-528,14613,87
1731317188.276215,RIGHT_HAND,-4396,21056,-3372,-15572,-9985,11547,88
1731317188.2770557,RIGHT_HAND,-4984,21308,-2260,-16906,-17024,6519,89
1731317188.322248,RIGHT_HAND,-6128,21852,-1092,-13620,-24765,3203,90
1731317188.3658633,RIGHT_HAND,-8156,20220,-1388,-10659,-21836,4650,91
1731317188.3662553,RIGHT_HAND,-7624,19864,840,-7980,-13795,4797,92
1731317188.4111366,RIGHT_HAND,-6220,19692,2028,-5171,-13136,3974,93
1731317188.4561496,RIGHT_HAND,-5996,18308,2908,-809,-17150,1420,94
1731317188.456885,RIGHT_HAND,-6128,15816,2688,1025,-17259,-1081,95
1731317188.5012367,RIGHT_HAND,-5860,15168,1872,-966,-13917,-1890,96
1731317188.5474267,RIGHT_HAND,-5388,16156,1568,-1666,-8915,-2550,97
