time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317191.6501834,RIGHT_LEG,16336,-4012,1096,-592,24,-244,241
1731317191.7398393,RIGHT_LEG,16608,-4008,1608,-939,-755,-423,243
1731317191.7844083,RIGHT_LEG,16460,-3988,1140,-1335,-1709,-310,245
1731317191.8301816,RIGHT_LEG,15928,-3664,456,-615,-1279,-448,247
1731317191.9192994,RIGHT_LEG,16624,-3768,32,26,-548,-730,249
1731317191.9649086,RIGHT_LEG,16012,-4288,-124,-334,-80,-970,250
1731317191.9657931,RIGHT_LEG,15924,-3040,980,380,398,-1095,251
1731317192.009581,RIGHT_LEG,16608,-3320,-404,259,1079,-1262,252
1731317192.0543115,RIGHT_LEG,15904,-3436,-304,965,1700,-1441,253
1731317192.0552025,RIGHT_LEG,16132,-3532,-156,833,2540,-1754,254
1731317192.0990117,RIGHT_LEG,17208,-3216,1600,497,2118,-1751,255
1731317192.1444068,RIGHT_LEG,15776,-2948,1484,-435,2520,-1534,1
1731317192.145258,RIGHT_LEG,16364,-2352,1176,-203,2852,-1540,2
1731317192.2343943,RIGHT_LEG,17024,-2296,2200,-775,3703,-1346,3
1731317192.279471,RIGHT_LEG,17532,-900,2568,777,2557,-138,4
1731317192.2802987,RIGHT_LEG,16776,-1348,3740,652,1330,1036,5
1731317192.2808194,RIGHT_LEG,15996,-3640,4324,178,17,1522,6
1731317192.324792,RIGHT_LEG,16564,-4272,2800,-419,-911,1023,7
1731317192.325572,RIGHT_LEG,16904,-3200,2356,-1198,-1677,585,8
1731317192.369427,RIGHT_LEG,16592,-2488,2680,-1429,-2108,908,9
1731317192.4143913,RIGHT_LEG,15956,-2556,2444,-1142,-2427,1549,10
1731317192.4152443,RIGHT_LEG,16292,-3180,1600,-1070,-2323,1848,11
1731317192.4594188,RIGHT_LEG,17136,-3548,752,-1289,-2217,1905,12
1731317192.504318,RIGHT_LEG,16268,-3328,1800,-930,-2332,2076,13
1731317192.5052087,RIGHT_LEG,15864,-4160,1916,-1707,-2319,1884,14
1731317192.5493007,RIGHT_LEG,16076,-3632,1300,-1939,-2331,1886,15
1731317192.5947971,RIGHT_LEG,16628,-4208,476,-1742,-2350,1809,16
1731317192.5955858,RIGHT_LEG,15928,-4440,444,-1439,-1918,1260,17
1731317192.6394622,RIGHT_LEG,15912,-4748,1028,-730,-1806,742,18
1731317192.6844628,RIGHT_LEG,15544,-4084,1176,-709,-1639,440,19
1731317192.7294283,RIGHT_LEG,15968,-4408,28,-630,-1094,252,20
1731317192.7744012,RIGHT_LEG,16552,-4476,-688,-680,-608,-189,21
1731317192.77527,RIGHT_LEG,17020,-3892,-856,-15,-384,-122,22
1731317192.820043,RIGHT_LEG,16988,-3724,0,-965,-431,233,23
1731317192.8210483,RIGHT_LEG,16888,-4588,904,-1016,-785,317,24
1731317192.8644931,RIGHT_LEG,15876,-3856,976,-720,-917,367,25
1731317192.9546394,RIGHT_LEG,16304,-4112,860,-966,-1130,449,26
1731317192.9555364,RIGHT_LEG,16324,-4424,892,-1224,-1529,481,27
1731317192.9569695,RIGHT_LEG,16200,-4648,76,-1817,-1314,470,28
1731317192.957682,RIGHT_LEG,16416,-3756,-684,-913,-1250,357,29
1731317192.9994946,RIGHT_LEG,16036,-4596,-564,-792,-805,124,30
1731317193.0445504,RIGHT_LEG,16280,-4932,-256,-972,-497,85,31
1731317193.1344469,RIGHT_LEG,16152,-4312,88,-626,-334,-128,32
1731317193.1352935,RIGHT_LEG,15708,-3944,204,-417,-280,-310,33
1731317193.179691,RIGHT_LEG,15996,-4396,576,-558,-307,-470,34
1731317193.180452,RIGHT_LEG,16572,-3564,796,-1001,-631,-231,35
1731317193.1812532,RIGHT_LEG,15772,-3252,112,-1290,-609,7,36
1731317193.2243402,RIGHT_LEG,16488,-3448,-660,311,-713,84,37
1731317193.2696724,RIGHT_LEG,16612,-3988,-676,105,-391,174,38
1731317193.2704554,RIGHT_LEG,16252,-4620,-100,516,-405,208,39
1731317193.31432,RIGHT_LEG,15844,-4280,352,-432,-29,-17,40
1731317193.359448,RIGHT_LEG,16896,-4340,576,-953,-328,111,41
1731317193.4042873,RIGHT_LEG,17096,-4012,280,-1371,-1063,309,42
1731317193.405109,RIGHT_LEG,16168,-4292,-184,-1228,-1237,479,43
1731317193.449283,RIGHT_LEG,15892,-4088,-584,-1023,-886,184,44
1731317193.4943054,RIGHT_LEG,16472,-4484,-680,-951,-464,-25,45
1731317193.495193,RIGHT_LEG,16188,-4308,-420,-664,-362,-218,46
1731317193.5394495,RIGHT_LEG,16016,-4360,396,-227,-434,-345,47
1731317193.5842934,RIGHT_LEG,16576,-3556,176,-651,-703,-134,48
1731317193.5851755,RIGHT_LEG,16128,-4104,-384,-447,-730,-56,49
1731317193.6294,RIGHT_LEG,15600,-4084,-436,465,-412,-302,50
1731317193.67446,RIGHT_LEG,16928,-4712,-308,317,-636,-151,51
1731317193.7192972,RIGHT_LEG,16640,-3712,-316,-32,-669,14,52
1731317193.7201467,RIGHT_LEG,16564,-3700,-1016,-69,-671,169,53
1731317193.7644339,RIGHT_LEG,16132,-3968,-852,452,-316,157,54
1731317193.7652998,RIGHT_LEG,16140,-4576,-600,819,204,-59,55
1731317193.8095312,RIGHT_LEG,16944,-3652,-812,94,487,132,56
1731317193.854532,RIGHT_LEG,16244,-3612,-40,372,267,381,57
1731317193.899453,RIGHT_LEG,16320,-4608,44,328,108,388,58
1731317193.9444818,RIGHT_LEG,16260,-4964,300,485,-401,194,59
1731317194.034305,RIGHT_LEG,16236,-4224,120,-68,-533,216,60
1731317194.0351105,RIGHT_LEG,16264,-4064,-204,-196,-598,278,61
1731317194.0796661,RIGHT_LEG,16328,-4268,-244,157,-638,233,62
1731317194.0805516,RIGHT_LEG,16156,-4448,-252,-90,-550,207,63
1731317194.0827355,RIGHT_LEG,16404,-4200,-148,-517,-694,216,64
1731317194.1244338,RIGHT_LEG,16244,-4160,280,-208,-961,295,65
1731317194.1694252,RIGHT_LEG,16336,-4292,-216,-271,-1160,317,66
1731317194.1702728,RIGHT_LEG,16120,-4396,-320,-180,-1141,275,67
1731317194.2594986,RIGHT_LEG,16364,-4544,-520,-373,-1020,169,68
1731317194.304345,RIGHT_LEG,16300,-4164,-456,-360,-1004,156,69
