time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317370.2128499,RIGHT_HAND,-10256,14388,6080,624,-15905,-10924,187
1731317370.302233,RIGHT_HAND,-19508,12048,14244,2884,-32768,-30556,189
1731317370.3479054,RIGHT_HAND,-25336,12092,30004,-14858,-32768,-32768,191
1731317370.4375994,RIGHT_HAND,-24716,15288,32767,-32768,-32768,-32768,193
1731317370.4822636,RIGHT_HAND,-16268,22336,32767,-32768,10371,-25452,195
1731317370.572288,RIGHT_HAND,-4236,15076,26392,-32768,10806,-23535,197
1731317370.5730283,RIGHT_HAND,-1044,17148,18144,-32768,-3547,-24742,198
1731317370.6171072,RIGHT_HAND,852,17840,6872,-32768,-11317,-19142,199
1731317370.6178324,RIGHT_HAND,-508,14572,-3532,-32768,-13843,-12679,200
1731317370.6622376,RIGHT_HAND,-556,12920,-15024,-27794,-4755,-8084,201
1731317370.7072568,RIGHT_HAND,1436,10264,-18196,-9123,1505,-5657,202
1731317370.7526224,RIGHT_HAND,2264,9068,-21692,7193,2694,-404,203
1731317370.7536235,RIGHT_HAND,3472,8524,-17000,19816,8277,5311,204
1731317370.7979586,RIGHT_HAND,4980,10464,-11032,30340,5484,12786,205
1731317370.8422806,RIGHT_HAND,3920,14640,-6696,32767,442,22128,206
1731317370.8431501,RIGHT_HAND,884,18108,8976,32767,-4136,30794,207
1731317370.8885472,RIGHT_HAND,-2652,27884,16652,32767,-12569,32767,208
1731317370.9322584,RIGHT_HAND,-10220,32767,20104,32767,-20695,32767,209
1731317370.9331179,RIGHT_HAND,-16092,32767,28096,32767,-19897,32767,210
1731317370.9772685,RIGHT_HAND,-16864,32767,32767,32767,-9855,32767,211
1731317371.0671885,RIGHT_HAND,-14308,32767,32767,32767,-826,32767,212
1731317371.1123087,RIGHT_HAND,-10636,32767,32767,32767,-11182,31671,213
1731317371.1132622,RIGHT_HAND,-8052,32767,32767,32767,-27342,23533,214
1731317371.1569655,RIGHT_HAND,-9732,32767,32767,32767,-28600,18246,215
1731317371.1578448,RIGHT_HAND,-11924,32767,32767,32767,-23417,15296,216
1731317371.202287,RIGHT_HAND,-12156,32767,32767,32767,-15411,14492,217
1731317371.2472513,RIGHT_HAND,-13048,27116,32767,32767,-9634,15767,218
1731317371.248136,RIGHT_HAND,-15468,13656,32767,32767,-15612,15007,219
1731317371.2918804,RIGHT_HAND,-16452,4168,32767,32767,-17781,8203,220
1731317371.2932405,RIGHT_HAND,-18460,-8608,32767,32767,-9229,2629,221
1731317371.3822937,RIGHT_HAND,-18172,-12448,32767,4803,-12009,-1548,222
1731317371.3841715,RIGHT_HAND,-15940,-4552,32596,-28191,-2666,-4635,223
1731317371.3849094,RIGHT_HAND,-13120,2644,27204,-32768,14968,-7186,224
1731317371.4276397,RIGHT_HAND,-11052,10436,26168,-32768,21073,-11102,225
1731317371.4722974,RIGHT_HAND,-10392,18552,29068,-32768,21706,-15937,226
1731317371.5175247,RIGHT_HAND,-10572,30288,32767,-32768,19914,-22277,227
1731317371.5183263,RIGHT_HAND,-10416,32767,32767,-32768,15928,-23708,228
1731317371.562157,RIGHT_HAND,-10420,32767,32767,-32768,13515,-28217,229
1731317371.607116,RIGHT_HAND,-11544,32767,32767,-32768,5423,-32768,230
1731317371.60784,RIGHT_HAND,-11868,32767,32767,-32768,-1274,-32768,231
1731317371.6521482,RIGHT_HAND,-14744,32767,32767,-32768,-6838,-31337,232
1731317371.698151,RIGHT_HAND,-15688,32767,32767,-32768,-4207,-27049,233
1731317371.7425447,RIGHT_HAND,-16064,32767,31940,-32768,2176,-21528,234
1731317371.7434728,RIGHT_HAND,-13804,32767,29848,-32768,7125,-20211,235
1731317371.7872877,RIGHT_HAND,-11536,32244,20508,-32768,4167,-16728,236
1731317371.8322494,RIGHT_HAND,-10304,22380,9408,-26157,1092,-12938,237
1731317371.833118,RIGHT_HAND,-8172,12644,5052,-16483,2997,-8407,238
1731317371.877268,RIGHT_HAND,-6592,3524,2876,-2831,1209,-5656,239
1731317371.9221163,RIGHT_HAND,-5856,-5984,1956,7417,-2113,-2563,240
1731317371.9228473,RIGHT_HAND,-4608,-9416,4160,7548,-3239,-918,241
1731317371.9671357,RIGHT_HAND,-4932,-5992,5876,808,-10861,3549,242
1731317372.012151,RIGHT_HAND,-8440,-3648,3764,688,-4924,9469,243
1731317372.0128877,RIGHT_HAND,-9516,1500,6236,8806,3826,13408,244
1731317372.0573099,RIGHT_HAND,-7228,4024,12372,15295,7006,17364,245
1731317372.102413,RIGHT_HAND,-7028,6308,13820,20220,2359,22261,246
1731317372.103164,RIGHT_HAND,-8236,10440,14268,19578,-6559,26011,247
1731317372.1471457,RIGHT_HAND,-10840,16252,15404,19361,-8211,30048,248
1731317372.1921272,RIGHT_HAND,-10972,23904,21052,18940,-3066,32767,249
1731317372.192861,RIGHT_HAND,-10728,32072,25504,28821,-341,32767,250
1731317372.2371538,RIGHT_HAND,-12548,32767,29732,32767,-10040,32767,251
1731317372.282157,RIGHT_HAND,-15756,32124,28808,32767,-13087,32767,252
1731317372.2829041,RIGHT_HAND,-14468,26908,26868,32767,-4780,32767,253
1731317372.3271549,RIGHT_HAND,-11448,18872,22596,32767,-2705,27254,254
1731317372.3721237,RIGHT_HAND,-8848,14248,13648,22390,-9666,18212,255
1731317372.3728569,RIGHT_HAND,-8592,15160,11304,5185,-11670,12090,1
1731317372.417176,RIGHT_HAND,-9176,18816,12596,1998,-6910,10360,2
1731317372.4621606,RIGHT_HAND,-8900,17780,11616,12021,-2651,11657,3
1731317372.5072129,RIGHT_HAND,-8364,12176,8660,18255,-3865,11350,4
1731317372.5079553,RIGHT_HAND,-8108,7668,8176,18563,-4883,9682,5
1731317372.5522497,RIGHT_HAND,-8952,5632,6924,15323,-6978,7117,6
1731317372.5971324,RIGHT_HAND,-10136,5712,4472,9058,-2908,4471,7
1731317372.5978768,RIGHT_HAND,-9692,5908,3680,1771,5066,-97,8
1731317372.6422467,RIGHT_HAND,-7152,6764,5064,-4384,9468,-4613,9
1731317372.6871247,RIGHT_HAND,-4716,9404,4224,-8772,8801,-7102,10
1731317372.6879237,RIGHT_HAND,-3872,11900,2848,-11189,9997,-8227,11
1731317372.7321594,RIGHT_HAND,-3276,13888,3044,-11550,12591,-8866,12
1731317372.7771487,RIGHT_HAND,-1536,14284,4940,-9358,14369,-8879,13
1731317372.7778819,RIGHT_HAND,-864,14204,5772,-8338,10558,-9648,14
1731317372.822157,RIGHT_HAND,-1460,15376,3436,-10811,7370,-11878,15
1731317372.8673444,RIGHT_HAND,-2216,17176,3728,-12150,11654,-11108,16
