time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317245.9643867,RIGHT_LEG,16516,-3064,780,-601,-12,-16,13
1731317246.009399,RIGHT_LEG,16540,-2828,828,-606,-346,94,15
1731317246.0543816,RIGHT_LEG,16680,-3020,352,-116,-147,24,17
1731317246.1453965,RIGHT_LEG,16472,-3068,644,-477,-79,121,19
1731317246.1895506,RIGHT_LEG,16432,-2888,612,-532,291,38,21
1731317246.234342,RIGHT_LEG,16644,-3040,812,-415,186,-50,22
1731317246.2350693,RIGHT_LEG,16496,-3320,728,-466,118,-158,23
1731317246.2804654,RIGHT_LEG,16568,-3044,1020,-350,88,-233,24
1731317246.3244135,RIGHT_LEG,16680,-2964,1080,-869,-51,-154,25
1731317246.3694017,RIGHT_LEG,16412,-2916,840,-977,-340,-20,26
1731317246.3701525,RIGHT_LEG,16456,-3156,360,-418,-142,-57,27
1731317246.4143922,RIGHT_LEG,16756,-2568,948,-349,-107,-25,28
1731317246.4604206,RIGHT_LEG,16464,-2856,1236,-497,-248,115,29
1731317246.4611716,RIGHT_LEG,16572,-3260,760,310,-353,223,30
1731317246.5054631,RIGHT_LEG,15988,-2696,668,662,-77,202,31
1731317246.5496771,RIGHT_LEG,16776,-1708,404,827,413,434,32
1731317246.5504508,RIGHT_LEG,16724,-2892,820,86,518,660,33
1731317246.5957956,RIGHT_LEG,16288,-2428,120,695,1138,1027,34
1731317246.639006,RIGHT_LEG,16600,-3032,512,-243,1977,1156,35
1731317246.6396906,RIGHT_LEG,16644,-3136,1052,-719,2184,1575,36
1731317246.685456,RIGHT_LEG,17000,-2900,920,-124,2437,2175,37
1731317246.7307088,RIGHT_LEG,16976,-3504,1844,-239,2372,2503,38
1731317246.731496,RIGHT_LEG,16652,-4992,3524,-1775,1738,2479,39
1731317246.7744238,RIGHT_LEG,17916,-4952,3188,-2564,569,2489,40
1731317246.8207738,RIGHT_LEG,17488,-5676,2416,-3228,-869,2303,41
1731317246.821581,RIGHT_LEG,16500,-5328,2348,-3622,-3350,1734,42
1731317246.8657897,RIGHT_LEG,16216,-3468,3988,-5027,-593,1934,43
1731317246.9104407,RIGHT_LEG,17340,1592,5580,-4429,243,3039,44
1731317246.9112225,RIGHT_LEG,18828,10876,20956,2444,7893,733,45
1731317246.9554186,RIGHT_LEG,20192,16624,24404,-7913,25303,-8389,46
1731317247.0007312,RIGHT_LEG,19768,17320,18416,-11303,32767,-14855,47
1731317247.001518,RIGHT_LEG,15228,18872,12084,-4362,32767,-20279,48
1731317247.0469158,RIGHT_LEG,14756,17952,5552,6065,31057,-26059,49
1731317247.1807134,RIGHT_LEG,13492,13128,1324,4455,25962,-32562,50
1731317247.1814108,RIGHT_LEG,10556,11776,-112,-581,17076,-32768,51
1731317247.1820655,RIGHT_LEG,12616,10484,-1240,2048,8173,-32768,52
1731317247.2250588,RIGHT_LEG,17004,12968,588,5032,-886,-32768,53
1731317247.225929,RIGHT_LEG,19044,6396,2748,2324,-6324,-32342,54
1731317247.2700157,RIGHT_LEG,20484,6208,7512,-2871,-9255,-25953,55
1731317247.2704637,RIGHT_LEG,23868,-2972,2376,-4997,-4549,-17468,56
1731317247.3156679,RIGHT_LEG,21260,-1216,4328,-11771,-5155,-9071,57
