time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317787.013234,RIGHT_LEG,16372,-3712,948,-635,-295,384,160
1731317787.1023562,RIGHT_LEG,16336,-3892,1188,-658,-360,354,162
1731317787.1512918,RIGHT_LEG,16316,-3824,972,-565,-442,336,164
1731317787.1930861,RIGHT_LEG,16352,-3900,916,-694,-503,223,166
1731317787.2822318,RIGHT_LEG,16296,-3988,932,-386,-422,51,168
1731317787.327285,RIGHT_LEG,16268,-4072,988,-398,-432,-95,169
1731317787.3280535,RIGHT_LEG,16296,-4192,944,-423,-443,-308,170
1731317787.3719513,RIGHT_LEG,16176,-3804,1028,-184,-455,-492,171
1731317787.4175003,RIGHT_LEG,16332,-3696,832,-390,-385,-605,172
1731317787.418462,RIGHT_LEG,16384,-3380,1000,-506,-424,-602,173
1731317787.462434,RIGHT_LEG,16448,-3604,1176,-659,-521,-513,174
1731317787.5073872,RIGHT_LEG,16428,-3380,896,-722,-504,-369,175
1731317787.5082254,RIGHT_LEG,16436,-3276,748,-707,-508,-120,176
1731317787.5525982,RIGHT_LEG,16380,-3588,616,-483,-496,96,177
1731317787.5972857,RIGHT_LEG,16388,-3660,640,-214,-413,205,178
1731317787.5980518,RIGHT_LEG,16288,-3716,584,-214,-272,197,179
1731317787.6430168,RIGHT_LEG,16444,-3592,656,-177,-215,264,180
1731317787.6879568,RIGHT_LEG,16400,-3692,868,-278,-228,284,181
1731317787.6888359,RIGHT_LEG,16596,-3656,796,-295,-280,283,182
1731317787.7328517,RIGHT_LEG,16084,-3760,876,-212,-264,210,183
1731317787.777452,RIGHT_LEG,16308,-3872,1040,-368,-165,167,184
1731317787.7782974,RIGHT_LEG,16320,-3836,980,-283,-246,240,185
1731317787.8221931,RIGHT_LEG,16480,-3744,768,-277,-186,171,186
1731317787.8675885,RIGHT_LEG,16256,-3840,800,-256,-242,124,187
1731317787.868593,RIGHT_LEG,16296,-3628,1144,-325,-219,77,188
1731317787.912244,RIGHT_LEG,16540,-3756,1020,-251,-260,161,189
1731317787.9569616,RIGHT_LEG,16172,-3744,784,-381,-173,130,190
1731317787.9577656,RIGHT_LEG,16392,-3760,868,-260,-10,103,191
1731317788.0025034,RIGHT_LEG,16556,-3772,900,-294,-136,191,192
1731317788.0470598,RIGHT_LEG,16324,-3940,784,-388,-142,184,193
1731317788.0919347,RIGHT_LEG,16348,-3688,996,-251,-32,148,194
1731317788.0924785,RIGHT_LEG,16416,-3880,988,-386,-81,159,195
1731317788.1369853,RIGHT_LEG,16232,-3836,972,-501,-91,86,196
1731317788.1823049,RIGHT_LEG,16564,-3684,956,-400,-118,76,197
1731317788.1831138,RIGHT_LEG,16528,-3888,1092,-489,-202,79,198
1731317788.2274678,RIGHT_LEG,16160,-3744,1140,-521,-254,69,199
1731317788.2723017,RIGHT_LEG,16524,-3816,996,-488,-296,78,200
1731317788.273055,RIGHT_LEG,16524,-3840,916,-420,-324,79,201
1731317788.3177986,RIGHT_LEG,16288,-3724,920,-430,-222,78,202
1731317788.362759,RIGHT_LEG,16368,-3612,1088,-413,-258,155,203
1731317788.363571,RIGHT_LEG,16520,-3704,796,-301,-285,244,204
1731317788.4524333,RIGHT_LEG,16384,-4064,1180,-441,-257,107,205
1731317788.497321,RIGHT_LEG,16304,-3604,1192,-616,-310,118,206
1731317788.4981434,RIGHT_LEG,16304,-4160,1012,-601,-322,17,207
1731317788.5424225,RIGHT_LEG,16284,-3956,928,-581,-320,-55,208
1731317788.5431607,RIGHT_LEG,16400,-3936,1024,-475,-388,-48,209
1731317788.5438917,RIGHT_LEG,16288,-4004,944,-429,-379,-92,210
1731317788.587407,RIGHT_LEG,16236,-3832,688,-379,-271,-156,211
1731317788.6327415,RIGHT_LEG,16420,-3916,1052,-304,-213,-199,212
1731317788.63353,RIGHT_LEG,16352,-3760,1152,-264,-249,-174,213
1731317788.6778097,RIGHT_LEG,16280,-3720,996,-292,-249,-147,214
1731317788.722431,RIGHT_LEG,16340,-3740,1112,-375,-344,-77,215
1731317788.7231863,RIGHT_LEG,16428,-3756,1156,-362,-392,-80,216
1731317788.7678325,RIGHT_LEG,16288,-3712,1048,-440,-369,-73,217
1731317788.8125372,RIGHT_LEG,16276,-3696,1176,-392,-359,-25,218
1731317788.857359,RIGHT_LEG,16416,-3624,1132,-404,-324,7,219
1731317788.8581383,RIGHT_LEG,16280,-3848,1004,-359,-321,23,220
1731317788.9025307,RIGHT_LEG,16416,-3668,912,-319,-337,47,221
1731317788.947406,RIGHT_LEG,16416,-3748,984,-275,-324,69,222
1731317788.9481847,RIGHT_LEG,16212,-3768,1108,-331,-288,38,223
1731317788.9924169,RIGHT_LEG,16372,-3728,912,-391,-300,44,224
1731317789.0377057,RIGHT_LEG,16388,-3752,1060,-395,-354,50,225
1731317789.0384948,RIGHT_LEG,16364,-3608,1032,-457,-364,47,226
1731317789.082884,RIGHT_LEG,16316,-3660,916,-490,-412,42,227
1731317789.127669,RIGHT_LEG,16412,-3700,1040,-497,-350,43,228
