time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317920.3947942,RIGHT_HAND,-11556,24824,-3300,-380,-7047,-12526,112
1731317920.440103,RIGHT_HAND,-16292,32767,-436,13991,-15900,-32768,114
1731317920.5301173,RIGHT_HAND,-21044,29188,5532,20039,-7469,-32768,116
1731317920.5752954,RIGHT_HAND,-19104,27308,11628,15186,12206,-32768,118
1731317920.6207547,RIGHT_HAND,-14640,21228,12064,20834,16287,-32768,120
1731317920.7101297,RIGHT_HAND,-11096,16684,8152,26095,23684,-32768,122
1731317920.7107973,RIGHT_HAND,-10288,13944,4652,31488,31379,-32768,123
1731317920.755106,RIGHT_HAND,-8180,11028,7044,31486,32767,-32768,124
1731317920.7557669,RIGHT_HAND,-4828,8192,15116,22874,32767,-32768,125
1731317920.7990525,RIGHT_HAND,1368,5484,23628,18893,32767,-32768,126
1731317920.8451457,RIGHT_HAND,4024,608,27412,20118,32767,-30725,127
1731317920.890132,RIGHT_HAND,4232,-2928,24096,12152,10053,-28599,128
1731317920.8908646,RIGHT_HAND,9220,-6060,9824,-3653,7369,-27292,129
1731317920.9351676,RIGHT_HAND,20232,-7504,4552,-2070,32767,-18436,130
1731317920.9803534,RIGHT_HAND,27148,-8184,31220,16241,32767,7400,131
1731317920.9810863,RIGHT_HAND,25624,-23640,32767,2733,11670,16143,132
1731317921.0252151,RIGHT_HAND,3784,-18760,21916,-12006,-32768,15088,133
1731317921.0703206,RIGHT_HAND,2236,-24424,8696,9168,-32768,11702,134
1731317921.071095,RIGHT_HAND,-5352,-19712,2584,13871,-32768,-233,135
1731317921.1151412,RIGHT_HAND,-4112,-21220,5692,194,23147,-5951,136
1731317921.1601837,RIGHT_HAND,2764,-17936,11192,4777,32767,-7347,137
1731317921.1609123,RIGHT_HAND,6624,-17656,16852,8990,26604,-7380,138
1731317921.205166,RIGHT_HAND,8744,-20128,20856,6175,-17669,-3708,139
1731317921.250134,RIGHT_HAND,4348,-21368,17188,11442,-32768,354,140
1731317921.29518,RIGHT_HAND,6904,-19752,13824,1942,-32520,3237,141
1731317921.295903,RIGHT_HAND,5920,-18104,14376,-10790,-13380,5300,142
1731317921.3407333,RIGHT_HAND,4008,-16140,13556,-15086,-6754,9007,143
1731317921.3851843,RIGHT_HAND,3836,-12860,12644,-23696,-8566,11464,144
1731317921.3859103,RIGHT_HAND,1688,-10168,13116,-30298,-14398,13288,145
1731317921.4302487,RIGHT_HAND,1028,-5224,6856,-32768,-12229,17197,146
1731317921.4754038,RIGHT_HAND,-736,740,3000,-32768,3012,20574,147
1731317921.4761548,RIGHT_HAND,40,3292,3852,-32768,4562,24160,148
1731317921.5201957,RIGHT_HAND,-1608,10224,-996,-32768,-3215,25681,149
1731317921.5660243,RIGHT_HAND,-3704,11836,-12836,-32768,20653,28315,150
1731317921.5667455,RIGHT_HAND,1820,8456,-9064,-20730,26563,13013,151
1731317921.6102629,RIGHT_HAND,10404,3836,-14452,15042,25131,-3596,152
1731317921.6552,RIGHT_HAND,14148,-11888,-14720,32767,15943,-3255,153
1731317921.6559327,RIGHT_HAND,9184,-26848,-15468,24610,12221,-2785,154
1731317921.7002015,RIGHT_HAND,6932,-11988,-15368,-24800,-17242,4927,155
1731317921.7451704,RIGHT_HAND,4180,-8820,-22056,-14528,-13286,4017,156
1731317921.7459114,RIGHT_HAND,-2088,-7792,-17352,9011,-10173,1317,157
1731317921.7899783,RIGHT_HAND,-3128,-11904,-16052,5096,1442,-1304,158
1731317921.8351634,RIGHT_HAND,-1052,-11004,-14052,-7054,9695,-39,159
1731317921.8358905,RIGHT_HAND,964,-8892,-11760,177,5644,-909,160
1731317921.8802063,RIGHT_HAND,1908,-11580,-11400,4491,-1642,-305,161
1731317921.9251735,RIGHT_HAND,216,-11516,-11288,-2015,-3802,852,162
1731317921.925863,RIGHT_HAND,-1256,-10400,-11176,-172,-3228,682,163
1731317921.9701922,RIGHT_HAND,-1560,-11108,-10684,1318,-1651,81,164
1731317922.0151978,RIGHT_HAND,-1288,-11656,-10596,-977,808,-227,165
1731317922.0602014,RIGHT_HAND,-60,-10616,-10580,-1386,3297,-658,166
1731317922.06093,RIGHT_HAND,724,-10584,-10192,-541,1037,-482,167
1731317922.105242,RIGHT_HAND,496,-10804,-10548,33,-2192,-310,168
1731317922.150176,RIGHT_HAND,716,-10660,-9624,-753,-936,-314,169
1731317922.1509047,RIGHT_HAND,972,-9248,-9436,-1974,-803,-349,170
1731317922.1949704,RIGHT_HAND,844,-9112,-7928,-768,81,-1354,171
1731317922.2402139,RIGHT_HAND,1368,-10584,-7056,983,-876,-3534,172
1731317922.2409453,RIGHT_HAND,1920,-7696,-6480,-4609,1939,-3314,173
1731317922.285235,RIGHT_HAND,2500,-5040,-4416,-6527,3551,-3086,174
1731317922.3301945,RIGHT_HAND,2452,-6568,-6084,1728,-4096,-4816,175
1731317922.3309345,RIGHT_HAND,2304,-6580,-7044,-3475,-4633,-4500,176
1731317922.3751593,RIGHT_HAND,2088,-6480,-5456,-6765,313,-3398,177
1731317922.42022,RIGHT_HAND,1840,-6824,-6772,-4707,-5953,-2681,178
1731317922.420952,RIGHT_HAND,1236,-5572,-8920,-12466,-3975,112,179
1731317922.4651682,RIGHT_HAND,0,-5976,-7660,-9843,-6853,2095,180
1731317922.5405998,RIGHT_HAND,-888,-4332,-9636,-14745,-12172,4348,181
1731317922.541377,RIGHT_HAND,-2844,-3320,-10920,-15707,-11640,5496,182
1731317922.600109,RIGHT_HAND,-3924,-1828,-13052,-16860,-12173,7254,183
1731317922.6008024,RIGHT_HAND,-4460,-716,-10960,-19472,-10196,8883,184
