time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318122.7161195,RIGHT_HAND,-3140,4420,-15896,32586,-10561,-7554,193
1731318122.8051963,RIGHT_HAND,14012,-32768,-9268,30170,32767,-433,195
1731318122.850317,RIGHT_HAND,11548,-15500,-14288,-25799,-32768,22417,197
1731318122.8958836,RIGHT_HAND,-9348,-17700,-17768,2187,-23524,34,199
1731318122.9851632,RIGHT_HAND,-9008,-13008,-18140,-4277,12612,-12118,201
1731318123.0302408,RIGHT_HAND,1132,-8848,-15944,-1902,30514,-10120,203
1731318123.0762997,RIGHT_HAND,6156,-9944,-14736,4712,28352,-4551,204
1731318123.0771222,RIGHT_HAND,8284,-13220,-12836,5711,22679,2482,205
1731318123.1654987,RIGHT_HAND,6296,-14220,-12420,-664,13521,8269,206
1731318123.2104216,RIGHT_HAND,2264,-13484,-9036,-4469,-3517,8914,207
1731318123.211277,RIGHT_HAND,-2864,-10584,-12640,-11929,-13970,10641,208
1731318123.2121246,RIGHT_HAND,-5740,-2708,-16184,-16265,-14666,15813,209
1731318123.255466,RIGHT_HAND,-4732,2792,-14452,-15715,9142,21718,210
1731318123.3001227,RIGHT_HAND,-764,7240,-6300,-23717,26162,28466,211
1731318123.3008358,RIGHT_HAND,1572,17516,-5880,-32768,18047,25983,212
1731318123.345214,RIGHT_HAND,6872,10628,-3448,-32768,-9716,7523,213
1731318123.390432,RIGHT_HAND,-232,32767,-3668,-23579,-16869,-3360,214
1731318123.3914444,RIGHT_HAND,988,20544,-4424,32767,-1305,-15284,215
1731318123.4351752,RIGHT_HAND,2868,11312,-16584,32767,19199,1490,216
1731318123.4801705,RIGHT_HAND,10552,-8512,-9600,32767,21874,5213,217
1731318123.4808981,RIGHT_HAND,16680,-14624,-10904,1109,23191,-2101,218
1731318123.570239,RIGHT_HAND,7676,-1968,-16076,-21233,-32768,536,219
1731318123.5721037,RIGHT_HAND,2896,8008,-15700,-16993,-7371,-2765,220
1731318123.5730138,RIGHT_HAND,2132,8836,-16564,-5339,2098,324,221
1731318123.615232,RIGHT_HAND,2988,2972,-14208,4626,-1580,1107,222
1731318123.6159549,RIGHT_HAND,2532,2628,-14240,10069,-4302,254,223
1731318123.6614046,RIGHT_HAND,4696,744,-14420,935,6119,74,224
1731318123.7054052,RIGHT_HAND,6556,3148,-10884,-3861,2423,568,225
1731318123.750209,RIGHT_HAND,6808,4108,-6364,-4360,-2888,-380,226
1731318123.7509823,RIGHT_HAND,6504,5288,-4628,-3152,-2408,-330,227
1731318123.7951984,RIGHT_HAND,5184,4384,-1196,-6404,704,309,228
1731318123.840484,RIGHT_HAND,3988,3276,-1224,-5395,-13046,176,229
1731318123.841324,RIGHT_HAND,2764,4592,-5140,-12975,-7081,1242,230
1731318123.8856215,RIGHT_HAND,360,6456,-1796,-19432,-5618,4479,231
1731318123.9302037,RIGHT_HAND,28,10148,-8956,-21477,-8571,5185,232
1731318123.9309425,RIGHT_HAND,-536,12488,-6224,-26437,-1987,4179,233
1731318123.9751863,RIGHT_HAND,-724,14928,-4804,-26149,-15952,2070,234
1731318124.0201497,RIGHT_HAND,-2048,18212,-10212,-26886,-16129,1835,235
1731318124.0652056,RIGHT_HAND,-5468,18324,-5176,-24933,-22376,3175,236
1731318124.0659554,RIGHT_HAND,-6360,20756,-11276,-29767,-13346,5204,237
1731318124.110141,RIGHT_HAND,-5420,21876,-6920,-32768,-5963,6020,238
