time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318396.8102798,RIGHT_HAND,-24972,11968,11452,3748,12639,-8675,7
1731318396.8997855,RIGHT_HAND,-21844,15780,20988,-18057,32767,-23796,9
1731318396.944406,RIGHT_HAND,-20948,26568,31076,-32768,32767,-32768,11
1731318396.9908342,RIGHT_HAND,-14100,29692,24680,-26983,32767,-32768,13
1731318397.0795226,RIGHT_HAND,2292,24688,16376,-9649,32767,-30019,15
1731318397.125444,RIGHT_HAND,3780,12420,5008,1590,-6154,-29506,17
1731318397.1693373,RIGHT_HAND,-2624,10028,-5104,442,-32476,-30150,18
1731318397.2143562,RIGHT_HAND,-9224,7664,-10080,4956,-22397,-19451,19
1731318397.2152786,RIGHT_HAND,-8468,1572,-5568,5172,10148,-12377,20
1731318397.2595117,RIGHT_HAND,-10348,-648,-9888,-768,262,-6986,21
1731318397.3045387,RIGHT_HAND,-10548,728,-8324,-984,-942,-1569,22
1731318397.305026,RIGHT_HAND,-11896,-96,-6592,1004,2703,810,23
1731318397.3492815,RIGHT_HAND,-11912,-1920,-6856,3873,-1162,1646,24
1731318397.3939004,RIGHT_HAND,-13972,-3764,-4804,3836,-3964,1323,25
1731318397.3947558,RIGHT_HAND,-14440,-2984,-4388,3058,-4557,835,26
1731318397.4393313,RIGHT_HAND,-14572,-3388,-5072,546,-2277,926,27
1731318397.484253,RIGHT_HAND,-14028,-3140,-5176,-1951,2236,516,28
1731318397.4850237,RIGHT_HAND,-14072,-2416,-4596,-2501,-74,818,29
1731318397.5289414,RIGHT_HAND,-13124,-756,-5620,-1048,689,753,30
1731318397.5749662,RIGHT_HAND,-8448,-88,-8968,1107,5290,3339,31
1731318397.5754328,RIGHT_HAND,-404,2044,-9548,525,21647,11161,32
1731318397.6189673,RIGHT_HAND,4820,5664,-4360,-5334,32208,24560,33
1731318397.6646442,RIGHT_HAND,7768,9828,-2188,-13448,11488,32172,34
1731318397.708927,RIGHT_HAND,6404,16060,6108,-14542,-10148,32767,35
1731318397.7093544,RIGHT_HAND,52,23308,11156,-8061,-32768,32767,36
1731318397.754084,RIGHT_HAND,-8196,28208,14264,-1144,-32768,32767,37
1731318397.7545583,RIGHT_HAND,-11964,28900,24812,7538,-32768,29209,38
1731318397.7991216,RIGHT_HAND,-18216,30972,23940,18211,-32768,30202,39
1731318397.844278,RIGHT_HAND,-20268,28484,22304,18795,-32768,32430,40
1731318397.8897853,RIGHT_HAND,-19448,24248,27612,19922,-32768,27676,41
1731318397.8907006,RIGHT_HAND,-20896,22832,16084,15663,-32768,25401,42
1731318397.9793851,RIGHT_HAND,-21784,18332,14248,13477,-20656,23999,43
1731318397.9821699,RIGHT_HAND,-17096,13004,9868,12289,-5478,11818,44
1731318397.9829242,RIGHT_HAND,-11932,10336,8052,3757,734,2841,45
1731318398.0242684,RIGHT_HAND,-6984,12000,8364,-7071,-659,-1735,46
1731318398.0696902,RIGHT_HAND,-5172,15228,10560,-7687,-10772,-3169,47
1731318398.070334,RIGHT_HAND,-5908,15136,10580,1537,-19982,-3314,48
1731318398.1147807,RIGHT_HAND,-7052,12200,7972,3924,-23708,-3131,49
1731318398.1594455,RIGHT_HAND,-7680,11320,6956,-2243,-22171,-3683,50
1731318398.2493026,RIGHT_HAND,-7884,13912,5976,-9202,-17569,-4607,51
1731318398.2500715,RIGHT_HAND,-8264,16548,3564,-10206,-9789,-3750,52
1731318398.294427,RIGHT_HAND,-7284,17344,3840,-8472,907,-3091,53
1731318398.2951334,RIGHT_HAND,-32,19556,-4408,-5578,3906,-4024,54
1731318398.3393538,RIGHT_HAND,732,21040,1484,1255,-930,-924,55
1731318398.3858166,RIGHT_HAND,-1772,16088,1796,5534,-13867,-924,56
1731318398.3865979,RIGHT_HAND,-4324,15240,848,620,-9420,-1195,57
1731318398.4754844,RIGHT_HAND,-5232,16116,3884,-3585,3576,748,58
1731318398.520805,RIGHT_HAND,-4376,16032,6912,-1254,8875,1658,59
1731318398.5215087,RIGHT_HAND,-2416,14756,6148,191,10788,1774,60
1731318398.5222166,RIGHT_HAND,-588,14580,6484,-1941,8399,1556,61
1731318398.565797,RIGHT_HAND,-556,15316,7652,-1764,1666,400,62
1731318398.5666099,RIGHT_HAND,-1144,15460,6040,105,-589,-526,63
1731318398.6095052,RIGHT_HAND,-1144,15272,4944,-337,994,426,64
1731318398.6544638,RIGHT_HAND,-1628,15548,6040,-1468,-102,195,65
1731318398.655241,RIGHT_HAND,-1756,16112,5296,-506,-663,34,66
1731318398.6992934,RIGHT_HAND,-1780,15844,4772,-58,925,611,67
1731318398.745292,RIGHT_HAND,-2000,15528,5276,-382,-969,10,68
1731318398.7460752,RIGHT_HAND,-2096,15616,4584,-522,963,241,69
1731318398.7905374,RIGHT_HAND,-1936,15700,5140,-883,2061,516,70
1731318398.8342874,RIGHT_HAND,-1776,15912,5644,-510,968,276,71
1731318398.8794672,RIGHT_HAND,-1388,15592,4968,-92,1165,-11,72
1731318398.8802269,RIGHT_HAND,-948,15332,5288,-372,482,210,73
1731318398.9244757,RIGHT_HAND,-1492,15560,5676,-809,-1063,87,74
1731318398.9697034,RIGHT_HAND,-2344,15848,5076,-496,-1392,-242,75
1731318398.9704838,RIGHT_HAND,-1972,15816,4772,-680,1757,256,76
1731318399.01449,RIGHT_HAND,-1824,15624,5456,-753,662,104,77
1731318399.059756,RIGHT_HAND,-1904,15568,4944,-392,95,-174,78
1731318399.0605333,RIGHT_HAND,-1756,15632,5364,-778,856,38,79
1731318399.104395,RIGHT_HAND,-1696,15736,5420,-742,609,-143,80
1731318399.1492648,RIGHT_HAND,-1760,15728,5276,-472,607,-143,81
1731318399.1499836,RIGHT_HAND,-1556,15520,5052,-693,378,-539,82
1731318399.1944056,RIGHT_HAND,-1464,15600,5368,-712,-274,-276,83
1731318399.2409003,RIGHT_HAND,-2004,15696,5408,-568,-1138,-207,84
1731318399.241655,RIGHT_HAND,-1920,15596,4816,-447,8,-186,85
1731318399.284453,RIGHT_HAND,-1696,15660,5088,-892,633,6,86
1731318399.3296576,RIGHT_HAND,-1880,15676,5152,-535,-954,-327,87
1731318399.330549,RIGHT_HAND,-1948,15684,4944,-405,-374,-104,88
1731318399.3754966,RIGHT_HAND,-2248,15828,4976,-788,-498,-125,89
1731318399.4198022,RIGHT_HAND,-2312,15780,5216,-565,258,-136,90
1731318399.4211125,RIGHT_HAND,-1908,15656,4888,-641,1785,260,91
