time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318694.6682177,RIGHT_LEG,22056,-7148,-20180,7317,-12164,3429,63
1731318694.6696799,RIGHT_LEG,31576,-10892,-22060,11366,-26344,10133,65
1731318694.7138834,RIGHT_LEG,32767,-16536,-20308,-756,-32768,14697,67
1731318694.8031478,RIGHT_LEG,32767,-17432,-12200,-25965,-32768,17151,69
1731318694.848282,RIGHT_LEG,32767,-10180,-3376,-8179,-32768,11025,71
1731318694.8931773,RIGHT_LEG,32767,-5852,3176,-8002,-32768,9444,72
1731318694.893911,RIGHT_LEG,32767,-1964,12072,-4207,-32768,7709,73
1731318694.9382582,RIGHT_LEG,25440,2656,13832,1157,-27108,5409,74
1731318694.9831827,RIGHT_LEG,17532,1420,18176,7445,-22896,4718,75
1731318694.983914,RIGHT_LEG,11244,2352,22872,268,-15120,3823,76
1731318695.0281765,RIGHT_LEG,6656,5376,25424,-3544,-6405,1854,77
1731318695.073162,RIGHT_LEG,1572,3232,25648,-855,1315,-143,78
1731318695.073877,RIGHT_LEG,1796,3352,22148,3243,9546,-1725,79
1731318695.1182098,RIGHT_LEG,4764,1872,16384,1914,16352,-2777,80
1731318695.207296,RIGHT_LEG,6476,-332,11272,2280,18944,-3506,81
1731318695.209258,RIGHT_LEG,10836,-528,6664,658,21695,-3982,82
1731318695.210123,RIGHT_LEG,17300,-688,2768,805,25676,-4375,83
1731318695.253189,RIGHT_LEG,21568,-3308,-1704,1334,27093,-5097,84
1731318695.2984343,RIGHT_LEG,23344,-2980,-4428,167,27366,-5250,85
1731318695.2991977,RIGHT_LEG,27336,-4424,-6884,1084,29295,-4975,86
1731318695.3434682,RIGHT_LEG,32767,-3540,-8296,6799,31983,-6232,87
1731318695.388112,RIGHT_LEG,32767,-6568,-6468,9800,32110,-7965,88
1731318695.3888338,RIGHT_LEG,32767,-6156,-11696,10164,32767,-9494,89
1731318695.4331272,RIGHT_LEG,32767,-7956,-13068,13754,32767,-11697,90
1731318695.5232167,RIGHT_LEG,28728,-9540,-10228,13075,25462,-11077,91
1731318695.5239682,RIGHT_LEG,32767,-8468,-19252,-3585,20587,-7704,92
1731318695.5683298,RIGHT_LEG,24136,-8088,-20248,3951,13251,-6214,93
1731318695.6131487,RIGHT_LEG,23728,-20316,-27260,-17034,7614,-6449,94
1731318695.613827,RIGHT_LEG,23340,-20648,-31896,-29421,-7866,1761,95
1731318695.6145523,RIGHT_LEG,25192,1532,-7192,-10919,-18777,2885,96
1731318695.6581464,RIGHT_LEG,9616,-9816,-7596,8311,-1051,-1187,97
1731318695.703156,RIGHT_LEG,17020,3992,-6508,-5011,-699,-1050,98
1731318695.7038796,RIGHT_LEG,15904,376,-172,1598,1659,-1892,99
1731318695.748131,RIGHT_LEG,15676,-3184,2540,5235,685,-1127,100
1731318695.7488756,RIGHT_LEG,17160,-3572,204,3484,1323,-1075,101
1731318695.793145,RIGHT_LEG,16908,-2304,-352,831,861,-1102,102
1731318695.8382223,RIGHT_LEG,16688,-3336,796,-644,1611,-1130,103
1731318695.8389604,RIGHT_LEG,17252,-1908,780,116,1181,-1078,104
1731318695.8831506,RIGHT_LEG,16576,-2160,1440,-316,429,-959,105
1731318695.9281414,RIGHT_LEG,16332,-2172,848,-762,414,-995,106
1731318695.9288735,RIGHT_LEG,16740,-2232,324,72,198,-895,107
1731318695.9731507,RIGHT_LEG,17292,-1956,580,-56,1,-912,108
1731318696.0181382,RIGHT_LEG,16808,-2028,1592,-295,-321,-754,109
1731318696.0631802,RIGHT_LEG,16952,-1796,1044,-707,-767,-609,110
1731318696.0639024,RIGHT_LEG,16392,-2068,1260,-1251,-1110,-631,111
1731318696.1081598,RIGHT_LEG,16588,-1908,516,-1002,-1379,-673,112
1731318696.1533923,RIGHT_LEG,16572,-1804,616,-633,-1390,-681,113
1731318696.1981268,RIGHT_LEG,16416,-1300,240,-697,-1181,-689,114
1731318696.1988466,RIGHT_LEG,16708,-1988,-112,-270,-927,-850,115
1731318696.2433507,RIGHT_LEG,16832,-1768,-100,-387,-861,-1030,116
1731318696.2441432,RIGHT_LEG,16800,-1892,580,-143,-855,-1130,117
1731318696.2881444,RIGHT_LEG,16556,-1284,140,136,-779,-1248,118
1731318696.3331265,RIGHT_LEG,16376,-1072,-272,1160,-574,-1317,119
1731318696.3338437,RIGHT_LEG,16596,-1488,-696,1097,-22,-1525,120
1731318696.3781502,RIGHT_LEG,16372,-1648,-84,2099,244,-1804,121
1731318696.423103,RIGHT_LEG,17100,-760,600,1131,416,-1803,122
1731318696.4238229,RIGHT_LEG,17312,-612,868,604,7,-1365,123
1731318696.4681497,RIGHT_LEG,17364,236,532,341,-337,-813,124
1731318696.5131328,RIGHT_LEG,17180,160,532,785,-995,74,125
1731318696.513868,RIGHT_LEG,17000,-336,808,-16,-1261,570,126
1731318696.55816,RIGHT_LEG,16848,-728,980,425,-1730,1045,127
1731318696.6031275,RIGHT_LEG,16816,-1128,1028,-285,-2246,1053,128
1731318696.6038516,RIGHT_LEG,16948,-1092,504,-168,-2659,1141,129
1731318696.672034,RIGHT_LEG,17476,-456,-36,-746,-2947,1448,130
1731318696.6931214,RIGHT_LEG,16908,-1024,-1164,-156,-2656,1708,131
1731318696.6938658,RIGHT_LEG,16396,-1536,-2668,230,-1644,1440,132
1731318696.7381234,RIGHT_LEG,16628,-1964,-2744,423,-259,979,133
1731318696.7832906,RIGHT_LEG,16280,-2156,-1028,1,1124,514,134
1731318696.82812,RIGHT_LEG,16268,-1012,-452,-773,2128,390,135
1731318696.8288496,RIGHT_LEG,16564,-1212,340,-1285,1709,460,136
1731318696.873157,RIGHT_LEG,16444,-1776,1036,-1194,1034,430,137
1731318696.9181237,RIGHT_LEG,16844,-1672,372,-352,517,444,138
1731318696.918882,RIGHT_LEG,16856,-1400,-252,-419,407,455,139
1731318696.9636834,RIGHT_LEG,16988,-1308,-352,-548,402,503,140
1731318697.0085273,RIGHT_LEG,16368,-1788,-40,-852,698,365,141
1731318697.009291,RIGHT_LEG,16636,-1812,76,-740,968,170,142
1731318697.0981314,RIGHT_LEG,16720,-1576,496,-890,1013,76,143
1731318697.0988343,RIGHT_LEG,16940,-1504,732,-563,678,123,144
1731318697.0995214,RIGHT_LEG,16684,-1836,888,-659,375,146,145
1731318697.1431036,RIGHT_LEG,16752,-1952,588,-499,161,86,146
