time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318865.3538911,RIGHT_LEG,17800,-2516,1512,-242,4695,-3041,68
1731318865.4434693,RIGHT_LEG,15252,-2520,6148,1449,4266,-2688,70
1731318865.533177,RIGHT_LEG,16532,-1564,5372,-1334,3892,-3396,72
1731318865.5358415,RIGHT_LEG,16824,-276,5716,-732,2223,-2384,74
1731318865.6234257,RIGHT_LEG,15688,-1280,7788,-570,1390,-1055,76
1731318865.6243076,RIGHT_LEG,16760,0,5692,-683,-393,-204,77
1731318865.6682417,RIGHT_LEG,15868,-416,6308,-846,-1333,723,78
1731318865.7134347,RIGHT_LEG,16124,-1128,6228,-385,-1950,1367,79
1731318865.7142155,RIGHT_LEG,15928,-1888,5524,-362,-2706,1635,80
1731318865.7581336,RIGHT_LEG,16360,-1696,5444,-140,-3388,1736,81
1731318865.804109,RIGHT_LEG,16124,-1620,4720,-501,-3707,1895,82
1731318865.804852,RIGHT_LEG,16332,-1396,4612,-381,-4001,2259,83
1731318865.848517,RIGHT_LEG,16156,-1360,4284,-616,-3896,2694,84
1731318865.8930898,RIGHT_LEG,16780,-1816,4060,-473,-3591,2911,85
1731318865.8938794,RIGHT_LEG,16504,-2264,3760,-618,-4150,3160,86
1731318865.9380145,RIGHT_LEG,16660,-2084,3656,-554,-4140,3463,87
1731318866.028989,RIGHT_LEG,16600,-2280,3652,-990,-4486,3820,88
1731318866.0300095,RIGHT_LEG,15840,-2120,3688,-555,-5060,4537,89
1731318866.0731075,RIGHT_LEG,15780,-3700,3556,-507,-5130,4797,90
1731318866.074019,RIGHT_LEG,15804,-4584,3476,-143,-5711,4692,91
1731318866.119195,RIGHT_LEG,16204,-4660,1624,-1488,-4889,4041,92
1731318866.1200123,RIGHT_LEG,15960,-3780,1408,-1318,-4835,3897,93
1731318866.1645153,RIGHT_LEG,15804,-6232,296,-1219,-4119,2710,94
1731318866.2082117,RIGHT_LEG,16588,-4512,516,-1909,-3514,2056,95
1731318866.2089465,RIGHT_LEG,15656,-4572,600,-1271,-3177,1676,96
1731318866.25312,RIGHT_LEG,15828,-5252,-16,-1106,-2581,1263,97
1731318866.3432178,RIGHT_LEG,16120,-4660,-192,-360,-1807,904,98
1731318866.3440304,RIGHT_LEG,16236,-4956,-288,-81,-1332,627,99
1731318866.345278,RIGHT_LEG,16192,-4968,800,165,-1208,404,100
1731318866.345827,RIGHT_LEG,15588,-5604,908,-559,-1043,179,101
1731318866.3881278,RIGHT_LEG,16036,-4812,368,-1330,-722,185,102
1731318866.4334319,RIGHT_LEG,16260,-5328,12,-1401,-752,153,103
