time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589444.5525434,RIGHT_HAND,-284,17220,-6016,503,-657,-196,60
1729589444.5972278,RIGHT_HAND,-2028,20364,-10616,2701,4784,-383,62
1729589444.732907,RIGHT_HAND,-4940,23572,-13428,15746,-4597,-1628,64
1729589444.777827,RIGHT_HAND,-8816,27264,-18508,21734,2321,-7487,66
1729589444.779854,RIGHT_HAND,-10852,27340,-12328,32767,9205,-13797,68
1729589444.867404,RIGHT_HAND,-7808,19716,-8796,32767,13418,-18024,70
1729589444.86797,RIGHT_HAND,-4392,14840,-6652,32767,16154,-17545,71
1729589444.9127426,RIGHT_HAND,-2668,10704,-4896,32767,16239,-15917,72
1729589444.958054,RIGHT_HAND,-184,5912,-2892,32767,18129,-12123,73
1729589444.9589567,RIGHT_HAND,840,1992,-764,32767,18314,-6008,74
1729589445.0026057,RIGHT_HAND,2488,-10292,-1316,32767,6713,-10915,75
1729589445.0472403,RIGHT_HAND,4440,-10660,-172,18443,9857,-8988,76
1729589445.047746,RIGHT_HAND,3176,-4840,8212,-871,-2903,-8748,77
1729589445.0927017,RIGHT_HAND,2732,-3824,10292,1422,-12831,-7386,78
1729589445.1379282,RIGHT_HAND,532,-5184,10860,-12594,-11674,-4441,79
1729589445.1390152,RIGHT_HAND,-1360,-1580,11380,-32768,-9479,-1475,80
1729589445.1827598,RIGHT_HAND,-1700,4000,10556,-32768,-12417,-139,81
1729589445.2279162,RIGHT_HAND,-2392,6396,6908,-32768,-12652,693,82
1729589445.228975,RIGHT_HAND,-5132,12132,-2940,-32768,-18676,689,83
1729589445.274685,RIGHT_HAND,-7700,18168,-12524,-32768,-16330,-2090,84
1729589445.317514,RIGHT_HAND,-4064,28136,-8344,-32768,1420,-3661,85
1729589445.3183267,RIGHT_HAND,-1672,32767,-2316,-32768,-4901,-2079,86
1729589445.3625445,RIGHT_HAND,-3956,32767,-11364,-32768,-7336,-3153,87
1729589445.4076064,RIGHT_HAND,-3076,32767,-14772,-18100,-4896,-1720,88
1729589445.452487,RIGHT_HAND,-2928,31988,-14708,-5148,-14549,-3206,89
1729589445.453295,RIGHT_HAND,-6032,26320,-17884,6268,-15917,-3193,90
1729589445.4979398,RIGHT_HAND,-7600,21272,-17472,11724,-5336,-1381,91
1729589445.5425358,RIGHT_HAND,-7304,20076,-16692,11515,3031,-291,92
1729589445.5433285,RIGHT_HAND,-6372,21220,-13764,11554,3097,-714,93
1729589445.5877001,RIGHT_HAND,-6448,25704,-12420,15020,1284,-2790,94
1729589445.6322885,RIGHT_HAND,-8168,29028,-12552,25417,-960,-4608,95
1729589445.6328235,RIGHT_HAND,-8800,30048,-14124,32565,3072,-5894,96
1729589445.677609,RIGHT_HAND,-11044,31564,-13844,32767,1725,-6854,97
1729589445.7678893,RIGHT_HAND,-11288,28924,-14044,32767,4375,-8944,98
1729589445.7689624,RIGHT_HAND,-9108,19976,-14280,32767,13600,-10620,99
1729589445.81292,RIGHT_HAND,-8292,15636,-13752,32767,18073,-8263,100
1729589445.813955,RIGHT_HAND,-4916,10884,-6368,32767,26259,-5129,101
1729589445.8575714,RIGHT_HAND,-4672,6392,-3464,32767,27987,-3881,102
1729589445.858356,RIGHT_HAND,-2456,2020,-300,32767,31459,-421,103
1729589445.9029083,RIGHT_HAND,-1768,-5084,488,32767,28330,6453,104
1729589445.9479756,RIGHT_HAND,684,-12468,2324,32767,15371,-6074,105
1729589445.9921715,RIGHT_HAND,1712,-14496,3252,29515,21795,-3971,106
1729589445.9926138,RIGHT_HAND,1900,-10312,3740,27901,7544,-3449,107
1729589446.0824835,RIGHT_HAND,1248,-11292,5056,32767,1529,-5061,108
1729589446.083219,RIGHT_HAND,2196,-17092,9792,28864,6388,-6124,109
1729589446.1274905,RIGHT_HAND,2152,-19824,13044,17208,15839,-5350,110
1729589446.128218,RIGHT_HAND,3976,-19108,16500,7369,16009,-3505,111
1729589446.1725755,RIGHT_HAND,4500,-20040,19368,2259,9319,-2541,112
1729589446.262785,RIGHT_HAND,4316,-21752,24968,-6724,163,-2087,113
1729589446.2639668,RIGHT_HAND,3476,-22508,23500,-20521,-9495,-2255,114
1729589446.309511,RIGHT_HAND,3176,-15596,17476,-32768,-4826,-1989,115
1729589446.3110266,RIGHT_HAND,1768,-9344,11796,-32768,-9334,-638,116
1729589446.311755,RIGHT_HAND,-276,2208,4652,-32768,-7883,-298,117
1729589446.3526793,RIGHT_HAND,-5384,10068,5336,-32768,-8732,-3808,118
1729589446.3979218,RIGHT_HAND,-3192,19636,384,-32768,-13016,-6376,119
1729589446.399707,RIGHT_HAND,-2740,24844,-12676,-32768,2800,2096,120
1729589446.4452162,RIGHT_HAND,-180,13184,-11688,7244,27182,3029,121
1729589446.487545,RIGHT_HAND,8052,-10032,-14224,32767,16321,12311,122
1729589446.5362337,RIGHT_HAND,14892,-26488,-21956,-346,16835,-325,123
1729589446.5369146,RIGHT_HAND,16036,-4756,-19452,-24064,19492,-7467,124
1729589446.577897,RIGHT_HAND,16632,1384,-18172,-3537,761,-4018,125
1729589446.6675644,RIGHT_HAND,13464,-5404,-16824,15311,-5707,2561,126
