time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589499.0494885,RIGHT_LEG,15380,-3132,6048,-477,-268,74,127
1729589499.1394014,RIGHT_LEG,15452,-3028,6060,-404,-232,114,129
1729589499.1851096,RIGHT_LEG,15548,-3000,6216,-489,-329,70,131
1729589499.2740877,RIGHT_LEG,15516,-3008,5884,-422,-327,137,133
1729589499.319518,RIGHT_LEG,15368,-3176,6076,-445,-260,161,135
1729589499.364901,RIGHT_LEG,15412,-3100,6120,-379,-238,172,136
1729589499.365604,RIGHT_LEG,15384,-3012,6072,-542,-282,104,137
1729589499.4095476,RIGHT_LEG,15444,-3220,6204,-560,-280,138,138
1729589499.4548733,RIGHT_LEG,15416,-3192,6308,-466,-248,129,139
1729589499.455523,RIGHT_LEG,15312,-3008,5852,-482,-330,71,140
1729589499.4993923,RIGHT_LEG,15516,-3292,6184,-503,-362,-13,141
1729589499.500135,RIGHT_LEG,15324,-3080,6008,-527,-344,-60,142
1729589499.5439844,RIGHT_LEG,15792,-3280,5968,-558,-407,-157,143
1729589499.5893776,RIGHT_LEG,15408,-3036,5988,-463,-407,-186,144
1729589499.6344492,RIGHT_LEG,15528,-3120,5876,-437,-392,-202,145
1729589499.678837,RIGHT_LEG,15496,-3076,5920,-430,-366,-230,146
1729589499.6795604,RIGHT_LEG,15304,-3016,5788,-409,-216,-204,147
1729589499.7253332,RIGHT_LEG,15348,-3140,6012,-288,-90,-198,148
1729589499.7693365,RIGHT_LEG,15472,-2916,6012,-258,-17,-201,149
1729589499.770151,RIGHT_LEG,15492,-2996,6088,-282,-39,-213,150
1729589499.8143992,RIGHT_LEG,15592,-2784,6084,-402,-36,-158,151
1729589499.8599524,RIGHT_LEG,15460,-2704,6208,-459,16,39,152
1729589499.8612041,RIGHT_LEG,15484,-2908,6256,-418,21,156,153
1729589499.9045422,RIGHT_LEG,15312,-2976,6312,-431,-90,269,154
1729589499.905377,RIGHT_LEG,15468,-3108,6432,-353,-319,282,155
1729589499.9493778,RIGHT_LEG,15444,-2888,6228,-439,-416,321,156
1729589499.9948168,RIGHT_LEG,15336,-3136,6204,-387,-500,349,157
1729589500.0401394,RIGHT_LEG,15304,-3164,6224,-507,-475,231,158
1729589500.0843647,RIGHT_LEG,15384,-3028,6224,-461,-464,123,159
1729589500.0850263,RIGHT_LEG,15460,-3064,6088,-485,-429,87,160
1729589500.1301103,RIGHT_LEG,15552,-2960,6012,-501,-391,61,161
1729589500.1311514,RIGHT_LEG,15512,-3092,6072,-560,-336,30,162
1729589500.1752892,RIGHT_LEG,15432,-2980,5976,-566,-261,10,163
1729589500.219232,RIGHT_LEG,15444,-3192,6016,-564,-218,44,164
1729589500.219838,RIGHT_LEG,15380,-3024,5972,-592,-182,46,165
1729589500.2668846,RIGHT_LEG,15572,-2956,6048,-499,-71,159,166
1729589500.3088055,RIGHT_LEG,15280,-3204,6316,-506,47,166,167
1729589500.3095634,RIGHT_LEG,15272,-3088,5832,-642,28,209,168
1729589500.3553529,RIGHT_LEG,15348,-3104,6276,-604,25,201,169
1729589500.399388,RIGHT_LEG,15392,-3256,6244,-588,-17,194,170
1729589500.4002194,RIGHT_LEG,15256,-3148,6264,-659,-114,153,171
1729589500.4444354,RIGHT_LEG,15304,-3196,6136,-590,-178,151,172
1729589500.4893444,RIGHT_LEG,15408,-3100,6304,-520,-155,165,173
1729589500.5360582,RIGHT_LEG,15436,-3172,6076,-466,-134,210,174
1729589500.5389247,RIGHT_LEG,15416,-3160,6196,-472,-138,241,175
1729589500.5835333,RIGHT_LEG,15296,-3256,6340,-520,-180,251,176
1729589500.6243434,RIGHT_LEG,15308,-3200,6160,-507,-257,248,177
1729589500.6250527,RIGHT_LEG,15364,-3352,6288,-496,-328,212,178
1729589500.6698582,RIGHT_LEG,15304,-3440,6160,-447,-390,167,179
1729589500.7136712,RIGHT_LEG,15296,-3532,6400,-315,-470,25,180
1729589500.7160518,RIGHT_LEG,15496,-3248,6384,-214,-637,-83,181
1729589500.7593565,RIGHT_LEG,15184,-3172,6340,-290,-825,-80,182
1729589500.8048358,RIGHT_LEG,15616,-3132,6216,-453,-810,-61,183
1729589500.8505023,RIGHT_LEG,15520,-3304,5912,-490,-722,-90,184
1729589500.851314,RIGHT_LEG,15348,-3048,5852,-356,-462,77,185
1729589500.8939753,RIGHT_LEG,15672,-3180,5880,-371,-214,183,186
1729589500.9396071,RIGHT_LEG,15748,-3368,5988,-394,-122,211,187
1729589500.9403934,RIGHT_LEG,15252,-3220,5816,-372,131,113,188
1729589500.9845736,RIGHT_LEG,15180,-3564,5732,-145,398,142,189
1729589500.985461,RIGHT_LEG,15404,-3572,6008,81,392,5,190
1729589501.0337157,RIGHT_LEG,15232,-3488,6656,-35,162,-353,191
1729589501.074723,RIGHT_LEG,15392,-3036,6536,-70,4,-400,192
1729589501.075233,RIGHT_LEG,15412,-3032,6504,-230,-149,-334,193
1729589501.119477,RIGHT_LEG,15124,-2836,6336,-344,-228,-228,194
1729589501.1645699,RIGHT_LEG,15256,-2944,6324,-303,-312,-19,195
1729589501.2094536,RIGHT_LEG,15344,-3152,6280,-330,-297,65,196
1729589501.2545514,RIGHT_LEG,15432,-3296,6296,-229,-304,57,197
1729589501.3001654,RIGHT_LEG,15476,-3048,6220,-299,-258,40,198
1729589501.3008912,RIGHT_LEG,15276,-3064,6264,-244,-243,125,199
1729589501.3485372,RIGHT_LEG,15396,-3104,6312,-316,-167,166,200
1729589501.34946,RIGHT_LEG,15396,-3032,6400,-381,-133,139,201
1729589501.3893776,RIGHT_LEG,15324,-3248,6436,-505,-204,-12,202
1729589501.3901253,RIGHT_LEG,15260,-3328,6440,-557,-290,-79,203
1729589501.4352467,RIGHT_LEG,15336,-3132,6412,-548,-337,-108,204
1729589501.479432,RIGHT_LEG,15312,-3292,6280,-495,-358,-133,205
1729589501.4802442,RIGHT_LEG,15300,-3184,6400,-478,-460,-198,206
1729589501.5243464,RIGHT_LEG,15324,-3128,6440,-382,-462,-221,207
1729589501.5693605,RIGHT_LEG,15336,-3024,6260,-385,-466,-198,208
1729589501.5700881,RIGHT_LEG,15404,-2968,6212,-365,-438,-164,209
1729589501.6147752,RIGHT_LEG,15496,-3184,6396,-324,-469,-143,210
