time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590385.150606,RIGHT_HAND,-2236,16272,-856,-989,1348,-192,123
1729590385.195572,RIGHT_HAND,-1560,15912,-2152,-1254,316,-745,125
1729590385.242272,RIGHT_HAND,-1812,16688,-3604,12,-7922,-2607,127
1729590385.3305569,RIGHT_HAND,-8364,17408,-3780,5941,-25504,-11424,129
1729590385.3751943,RIGHT_HAND,-23440,15940,-2188,17792,-32768,-28187,131
1729590385.4654577,RIGHT_HAND,-30472,12612,5944,3374,-26744,-32768,133
1729590385.466218,RIGHT_HAND,-31804,13684,8040,-9127,-9592,-32768,134
1729590385.5104055,RIGHT_HAND,-28612,13824,14836,-16058,-879,-32768,135
1729590385.5555127,RIGHT_HAND,-25440,14144,15880,-16911,-10415,-32768,136
1729590385.5562818,RIGHT_HAND,-21296,11236,11860,-17314,-6395,-32768,137
1729590385.600735,RIGHT_HAND,-17488,8344,8936,-21469,-6414,-32768,138
1729590385.6455014,RIGHT_HAND,-14064,6808,6128,-24232,-4994,-32768,139
1729590385.6462824,RIGHT_HAND,-11492,6060,3392,-24005,-1813,-32768,140
1729590385.690403,RIGHT_HAND,-8848,5232,608,-20341,2626,-27098,141
1729590385.7355897,RIGHT_HAND,-6040,4540,-1420,-14908,4415,-20841,142
1729590385.736432,RIGHT_HAND,-2980,2892,-4576,-9522,7439,-14876,143
1729590385.7803507,RIGHT_HAND,-1164,3996,-6248,-4746,5245,-10189,144
1729590385.8254151,RIGHT_HAND,260,4380,-6396,-777,3580,-3888,145
1729590385.8261414,RIGHT_HAND,1088,4944,-5556,2944,6907,3004,146
1729590385.8704562,RIGHT_HAND,1252,5532,-2936,5323,9046,9694,147
1729590385.9154925,RIGHT_HAND,628,6180,-392,8621,6400,16545,148
1729590385.9606037,RIGHT_HAND,-1084,7024,1004,10978,3104,22926,149
1729590385.96136,RIGHT_HAND,-3944,8428,1460,12332,-491,28724,150
1729590386.0055728,RIGHT_HAND,-7080,11388,3436,13774,-683,32767,151
1729590386.0956116,RIGHT_HAND,-10224,15872,6984,16281,-2730,32767,152
1729590386.0963778,RIGHT_HAND,-13392,20900,8344,19982,-6808,32767,153
1729590386.140223,RIGHT_HAND,-16516,26396,15196,25447,-12220,32767,154
1729590386.1406384,RIGHT_HAND,-21036,30976,18496,32256,-24960,32767,155
1729590386.1412733,RIGHT_HAND,-23720,32767,20100,32767,-24249,32767,156
1729590386.1859202,RIGHT_HAND,-23800,32767,24796,32767,-20597,32767,157
1729590386.230585,RIGHT_HAND,-23896,32767,25564,32767,-26370,32767,158
1729590386.2313735,RIGHT_HAND,-23864,32444,22764,32767,-24236,32767,159
1729590386.2755842,RIGHT_HAND,-22676,26540,18356,32767,-16852,26909,160
1729590386.3205886,RIGHT_HAND,-19988,21588,14840,27090,-8313,20174,161
1729590386.321206,RIGHT_HAND,-16312,19668,13500,19001,-2416,15771,162
1729590386.3655553,RIGHT_HAND,-14460,17068,13916,17954,-2737,15235,163
1729590386.411591,RIGHT_HAND,-14220,12300,12496,19415,-4695,15237,164
1729590386.4124465,RIGHT_HAND,-14632,6760,10824,18960,-5251,13970,165
1729590386.4566753,RIGHT_HAND,-15148,2196,9156,12572,-3900,10207,166
1729590386.501136,RIGHT_HAND,-14708,-668,7824,708,2644,3105,167
1729590386.502006,RIGHT_HAND,-14444,2464,10268,-12051,6506,-3291,168
1729590386.5456748,RIGHT_HAND,-13688,6492,9132,-17711,7767,-9430,169
1729590386.5915294,RIGHT_HAND,-13576,12084,11380,-21500,6892,-14168,170
1729590386.592289,RIGHT_HAND,-15204,18200,12960,-25578,-794,-18494,171
1729590386.6367114,RIGHT_HAND,-18184,24700,15820,-26398,-5404,-21702,172
1729590386.6806471,RIGHT_HAND,-21520,30100,16676,-27100,-8143,-24978,173
1729590386.6813915,RIGHT_HAND,-23496,32767,18560,-32768,-1446,-27410,174
1729590386.7251651,RIGHT_HAND,-22804,32767,22108,-32768,5358,-30087,175
1729590386.771004,RIGHT_HAND,-20580,32767,24208,-32768,4783,-32768,176
1729590386.7717643,RIGHT_HAND,-19404,32767,22676,-32768,2226,-32768,177
1729590386.8157556,RIGHT_HAND,-17264,32767,19232,-32768,7935,-32768,178
1729590386.8607137,RIGHT_HAND,-12384,32767,15332,-32768,11485,-32768,179
1729590386.8615007,RIGHT_HAND,-8292,32767,4640,-32768,18757,-25491,180
1729590386.906756,RIGHT_HAND,-4692,26968,4636,-22684,26359,-18522,181
1729590386.9516528,RIGHT_HAND,-968,20300,5604,-14694,27248,-14937,182
1729590386.9961078,RIGHT_HAND,3256,16116,528,-10155,22574,-12719,183
1729590386.9968622,RIGHT_HAND,4612,11888,-172,-4524,15652,-8056,184
1729590387.0416625,RIGHT_HAND,5100,7112,-3548,-1077,10098,-3540,185
1729590387.08571,RIGHT_HAND,4384,3424,-5208,-1498,6966,159,186
1729590387.086471,RIGHT_HAND,2756,2576,-4852,-2419,3881,3527,187
1729590387.1305249,RIGHT_HAND,1796,4652,-4280,-3496,4048,6595,188
1729590387.1757057,RIGHT_HAND,940,6644,-2672,-293,3531,11404,189
1729590387.1764836,RIGHT_HAND,-1732,7572,-1732,2574,-3412,16411,190
1729590387.2206738,RIGHT_HAND,-4860,9696,-324,1331,-6157,18920,191
1729590387.2661524,RIGHT_HAND,-8688,12660,1176,3175,-8983,21822,192
1729590387.2674417,RIGHT_HAND,-12368,15040,2272,6618,-10491,23932,193
1729590387.3109217,RIGHT_HAND,-14412,16924,4428,8772,-5657,25929,194
1729590387.400531,RIGHT_HAND,-19472,15836,7352,10442,-6637,27123,195
1729590387.4015164,RIGHT_HAND,-19884,16412,6232,7584,-2950,24905,196
1729590387.4024875,RIGHT_HAND,-21456,16864,6076,4471,-194,24960,197
1729590387.403355,RIGHT_HAND,-19820,18232,3196,3195,2225,21148,198
1729590387.4453735,RIGHT_HAND,-17724,19532,7288,3140,6644,22999,199
1729590387.4903312,RIGHT_HAND,-18400,19560,5672,5790,-1425,23905,200
1729590387.535334,RIGHT_HAND,-18320,18552,2328,5983,731,21980,201
1729590387.5361047,RIGHT_HAND,-16276,18928,3132,3406,5272,21725,202
1729590387.5803804,RIGHT_HAND,-15992,19116,3200,3781,3450,21635,203
1729590387.6256478,RIGHT_HAND,-16124,17036,668,7160,3315,21396,204
1729590387.6264021,RIGHT_HAND,-16472,14372,-12,4888,7862,19541,205
1729590387.716743,RIGHT_HAND,-14572,12792,-388,1571,13590,16039,206
1729590387.7606757,RIGHT_HAND,-11928,12492,-564,-17,17072,12049,207
