time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590327.3294775,RIGHT_LEG,15736,-2588,5500,-493,-89,128,238
1729590327.3734825,RIGHT_LEG,15644,-2880,5688,-545,-126,168,240
1729590327.463123,RIGHT_LEG,15628,-2848,5608,-340,-130,196,242
1729590327.5085793,RIGHT_LEG,15656,-2816,5876,-428,-211,218,244
1729590327.5984704,RIGHT_LEG,15564,-2876,6000,-361,-250,143,246
1729590327.5992856,RIGHT_LEG,15664,-3036,5672,-271,-263,120,247
1729590327.6435463,RIGHT_LEG,15588,-2976,5840,-317,-293,13,248
1729590327.7333734,RIGHT_LEG,15552,-2736,5756,-337,-266,-23,249
1729590327.734036,RIGHT_LEG,15680,-3072,5824,-386,-284,-65,250
1729590327.7785237,RIGHT_LEG,15816,-2960,5560,-474,-235,-212,251
1729590327.779352,RIGHT_LEG,15608,-2844,5992,-234,-187,-66,252
1729590327.7801406,RIGHT_LEG,15720,-2680,5640,-649,-157,-244,253
1729590327.8234658,RIGHT_LEG,15672,-2828,5488,-359,-56,-3,254
1729590327.868441,RIGHT_LEG,15704,-3420,6220,-354,-199,-44,255
1729590327.8691204,RIGHT_LEG,15732,-2800,5436,-563,-83,-168,1
1729590327.913368,RIGHT_LEG,15648,-2792,5528,-411,69,26,2
1729590327.95835,RIGHT_LEG,15452,-2476,5984,-651,179,110,3
1729590327.9590127,RIGHT_LEG,15140,-3448,6148,-614,138,129,4
1729590328.0484679,RIGHT_LEG,16004,-2160,5464,-677,383,242,5
1729590328.0491226,RIGHT_LEG,15468,-2156,6016,-359,532,1072,6
1729590328.0497642,RIGHT_LEG,15296,-2348,6156,-1067,652,1206,7
1729590328.0934894,RIGHT_LEG,15284,-2864,6008,-1214,613,1492,8
1729590328.138369,RIGHT_LEG,15560,-2920,6020,-1293,460,1690,9
1729590328.183433,RIGHT_LEG,15512,-2592,6404,-973,494,2444,10
1729590328.1841066,RIGHT_LEG,15492,-2680,6164,-1632,639,2753,11
1729590328.2284229,RIGHT_LEG,16940,-1272,4808,-2153,1027,3724,12
1729590328.273552,RIGHT_LEG,15860,-4988,8064,-1521,-79,4414,13
1729590328.274329,RIGHT_LEG,15628,-6004,8168,-1955,-1796,3230,14
1729590328.318379,RIGHT_LEG,19672,-8280,8188,-6660,-6488,-362,15
1729590328.3634338,RIGHT_LEG,15220,-6688,6664,-10167,-3302,-928,16
1729590328.3641484,RIGHT_LEG,13820,-5288,8724,-8085,-1789,-1681,17
1729590328.409362,RIGHT_LEG,12140,-52,12456,-10744,2369,-748,18
1729590328.4534159,RIGHT_LEG,7920,-7512,32767,-8644,12740,1739,19
1729590328.4541373,RIGHT_LEG,12200,-4448,22012,-19773,24584,870,20
1729590328.4984288,RIGHT_LEG,10816,-8640,19504,-27589,32767,3259,21
