time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591040.287591,RIGHT_HAND,-2988,17384,-3340,-1127,-85,-3000,204
1729591040.333917,RIGHT_HAND,-3880,21024,-10248,89,2820,-3073,206
1729591040.3796828,RIGHT_HAND,172,29140,-15160,5009,21421,1901,208
1729591040.4677176,RIGHT_HAND,6724,32767,-14880,19814,10317,7296,210
1729591040.5125916,RIGHT_HAND,-104,32767,-10336,30389,-10181,10847,212
1729591040.602513,RIGHT_HAND,-7428,30152,-4980,32767,-6298,11146,214
1729591040.6033149,RIGHT_HAND,-8328,24080,-2644,32767,-9485,10613,215
1729591040.6927245,RIGHT_HAND,-8684,18452,-1988,32767,-8692,8957,216
1729591040.6936567,RIGHT_HAND,-8616,13744,144,32767,-6038,6929,217
1729591040.7383535,RIGHT_HAND,-8268,9052,2808,32767,-2192,5762,218
1729591040.7390938,RIGHT_HAND,-6648,4996,3884,32767,2046,4057,219
1729591040.8286455,RIGHT_HAND,-3940,756,4852,28118,3256,3483,220
1729591040.8296752,RIGHT_HAND,-1256,-2372,2448,21682,3607,3354,221
1729591040.9185877,RIGHT_HAND,-2720,-4684,4836,12638,1594,1915,222
1729591040.9195795,RIGHT_HAND,-1520,-5544,3404,3413,3056,-149,223
1729591040.9624803,RIGHT_HAND,-808,-4380,2464,-5172,1498,-1988,224
1729591040.9632335,RIGHT_HAND,-616,-2844,1484,-10628,-974,-2785,225
1729591041.0071507,RIGHT_HAND,-840,-1784,-412,-14007,-1418,-2037,226
1729591041.0075924,RIGHT_HAND,-532,-476,-1748,-20601,483,-1768,227
1729591041.0529373,RIGHT_HAND,-744,1880,-2132,-27446,124,-1715,228
1729591041.053892,RIGHT_HAND,-432,4868,-4916,-32768,-4683,-1322,229
1729591041.0977263,RIGHT_HAND,-1548,9756,-8228,-32768,-6221,-798,230
1729591041.1427085,RIGHT_HAND,-2812,14456,-8244,-32768,-2999,1239,231
1729591041.143741,RIGHT_HAND,-3252,19176,-7952,-32768,-5290,3696,232
1729591041.1875067,RIGHT_HAND,-3800,22248,-14136,-31153,-6671,4777,233
1729591041.232571,RIGHT_HAND,-5220,23256,-10324,-31411,-4156,5077,234
1729591041.2776482,RIGHT_HAND,-5456,25132,-12316,-28373,-5111,3757,235
1729591041.2787554,RIGHT_HAND,-5748,24768,-14464,-25486,-1710,1977,236
1729591041.3228104,RIGHT_HAND,-5328,25232,-11940,-25321,3616,-394,237
1729591041.4137037,RIGHT_HAND,-3744,25540,-12700,-20240,4968,-1570,238
1729591041.4144702,RIGHT_HAND,-2056,23376,-12748,-17694,5183,-2948,239
1729591041.4574823,RIGHT_HAND,-1500,23516,-12132,-17409,4014,-3931,240
1729591041.4582455,RIGHT_HAND,-1436,23360,-9348,-12674,2642,-3852,241
1729591041.4589906,RIGHT_HAND,-1700,20720,-6860,-8156,463,-4264,242
1729591041.5037017,RIGHT_HAND,-2264,19312,-6692,-7654,-3147,-5479,243
1729591041.592692,RIGHT_HAND,-3416,18848,-6100,-7397,-3697,-6162,244
