time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591028.9503577,RIGHT_LEG,15348,-3204,5860,-323,-170,151,17
1729591028.9966137,RIGHT_LEG,15584,-3052,5896,-325,-303,290,19
1729591029.0853522,RIGHT_LEG,15488,-3208,5980,-606,-442,399,21
1729591029.1303782,RIGHT_LEG,15536,-3124,5868,-860,-834,313,23
1729591029.176054,RIGHT_LEG,15572,-3236,5592,-912,-802,396,25
1729591029.2210832,RIGHT_LEG,15628,-3200,5480,-920,-676,541,26
1729591029.2653465,RIGHT_LEG,15476,-3284,5308,-890,-501,635,27
1729591029.266014,RIGHT_LEG,15596,-3392,5208,-770,-307,755,28
1729591029.3103635,RIGHT_LEG,15444,-3596,5520,-684,-163,715,29
1729591029.3110251,RIGHT_LEG,15552,-3688,5636,-614,-171,636,30
1729591029.355388,RIGHT_LEG,15584,-3664,5660,-657,-238,450,31
1729591029.4003649,RIGHT_LEG,15464,-3844,5504,-450,-193,393,32
1729591029.4453447,RIGHT_LEG,15400,-3952,5700,-357,-214,253,33
1729591029.4461033,RIGHT_LEG,15396,-3844,5676,-417,-232,96,34
1729591029.49036,RIGHT_LEG,15400,-3812,5688,-428,-227,23,35
1729591029.580317,RIGHT_LEG,15448,-3692,5572,-458,-287,-62,36
1729591029.5819445,RIGHT_LEG,15616,-3692,5472,-477,-285,-123,37
1729591029.6252902,RIGHT_LEG,15484,-3776,5548,-452,-263,-185,38
1729591029.6260207,RIGHT_LEG,15440,-3624,5648,-388,-287,-175,39
1729591029.6704772,RIGHT_LEG,15508,-3672,5648,-368,-311,-178,40
1729591029.7154903,RIGHT_LEG,15524,-3608,5632,-333,-280,-186,41
1729591029.7604568,RIGHT_LEG,15548,-3528,5788,-371,-353,-200,42
1729591029.8054345,RIGHT_LEG,15488,-3500,5660,-447,-350,-168,43
1729591029.806159,RIGHT_LEG,15608,-3508,5824,-454,-363,-119,44
1729591029.8503532,RIGHT_LEG,15536,-3584,5708,-406,-321,-141,45
1729591029.8510425,RIGHT_LEG,15484,-3436,5488,-345,-280,-119,46
1729591029.8954625,RIGHT_LEG,15644,-3500,5456,-251,-215,-52,47
1729591029.9403837,RIGHT_LEG,15540,-3444,5564,-154,-136,7,48
1729591029.9849029,RIGHT_LEG,15548,-3356,5620,-130,-125,32,49
1729591029.9856014,RIGHT_LEG,15512,-3464,5584,-207,-177,69,50
1729591030.030414,RIGHT_LEG,15624,-3344,5472,-195,-134,111,51
1729591030.075462,RIGHT_LEG,15572,-3432,5640,-199,-176,189,52
1729591030.0761876,RIGHT_LEG,15476,-3544,5720,-257,-216,258,53
1729591030.1204927,RIGHT_LEG,15400,-3484,5936,-302,-200,297,54
1729591030.1655552,RIGHT_LEG,15548,-3408,5808,-363,-213,382,55
1729591030.1663513,RIGHT_LEG,15576,-3524,5772,-424,-198,436,56
1729591030.2104747,RIGHT_LEG,15568,-3528,5784,-449,-193,444,57
1729591030.255458,RIGHT_LEG,15492,-3588,5852,-483,-187,514,58
1729591030.256143,RIGHT_LEG,15372,-3624,5828,-617,-314,422,59
1729591030.300413,RIGHT_LEG,15460,-3948,6060,-670,-449,357,60
1729591030.3458745,RIGHT_LEG,15524,-3732,5956,-627,-479,401,61
1729591030.3904603,RIGHT_LEG,15440,-3664,5760,-778,-597,340,62
1729591030.3911421,RIGHT_LEG,15472,-3780,5428,-814,-563,268,63
1729591030.4354014,RIGHT_LEG,15496,-3748,5472,-722,-491,274,64
1729591030.4807322,RIGHT_LEG,15560,-3776,5512,-750,-533,199,65
1729591030.4814992,RIGHT_LEG,15520,-3856,5528,-729,-468,191,66
1729591030.5254095,RIGHT_LEG,15484,-3940,5432,-671,-340,217,67
1729591030.5704615,RIGHT_LEG,15496,-3708,5480,-517,-314,241,68
1729591030.5711892,RIGHT_LEG,15364,-3860,5560,-541,-361,193,69
