time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591326.6716552,RIGHT_HAND,-2188,16040,-7708,-769,757,-2040,78
1729591326.717782,RIGHT_HAND,-4608,21572,-11684,-2495,9825,-1007,80
1729591326.7617626,RIGHT_HAND,-5280,29048,-15508,17540,4240,-5100,82
1729591326.8521125,RIGHT_HAND,-8612,32444,-16196,26863,1296,-11807,84
1729591326.8963451,RIGHT_HAND,-10424,32767,-11052,32767,14126,-14589,86
1729591326.8979676,RIGHT_HAND,-7104,26728,-4240,32767,18370,-13141,88
1729591326.9414914,RIGHT_HAND,-5072,20272,-1184,32767,18305,-12121,89
1729591326.94218,RIGHT_HAND,-4196,15572,-1368,32767,14474,-10085,90
1729591326.9428968,RIGHT_HAND,-3616,11936,-464,32767,13111,-8075,91
1729591326.9865656,RIGHT_HAND,-3108,7816,1244,32767,12474,-5938,92
1729591327.0319326,RIGHT_HAND,-2728,3964,508,32767,9909,-3718,93
1729591327.076672,RIGHT_HAND,-1976,96,-2816,32767,9230,-837,94
1729591327.0775025,RIGHT_HAND,-2076,-3540,-4360,32754,10445,818,95
1729591327.1216688,RIGHT_HAND,-1820,-5340,-4412,26504,12557,2651,96
1729591327.166552,RIGHT_HAND,-1972,-7676,-2144,22336,15396,4677,97
1729591327.1673968,RIGHT_HAND,-1352,-9364,-1564,20702,15974,6855,98
1729591327.211975,RIGHT_HAND,-1916,-11984,36,20204,14987,8191,99
1729591327.2566783,RIGHT_HAND,-772,-14236,-1196,18234,14709,8942,100
1729591327.3015623,RIGHT_HAND,-1440,-15808,1324,13848,16248,8963,101
1729591327.3023415,RIGHT_HAND,-2280,-16572,1968,12128,14351,9000,102
1729591327.3466482,RIGHT_HAND,-1984,-16444,1304,10549,14502,8533,103
1729591327.3918633,RIGHT_HAND,-2144,-16588,3020,10778,13601,8275,104
1729591327.4814165,RIGHT_HAND,-2376,-16924,4156,10267,9471,7340,105
1729591327.4821508,RIGHT_HAND,-2156,-16196,3544,8971,7563,6846,106
1729591327.48288,RIGHT_HAND,-2852,-15972,5392,9916,5353,6497,107
1729591327.5261576,RIGHT_HAND,-3192,-16752,5776,10583,749,5601,108
1729591327.5265617,RIGHT_HAND,-3412,-16852,4964,9594,-470,4377,109
1729591327.5269556,RIGHT_HAND,-3652,-16476,5988,9554,-379,3774,110
1729591327.5714262,RIGHT_HAND,-4044,-16840,6576,9846,-897,3162,111
1729591327.7065332,RIGHT_HAND,-4088,-17356,7724,9610,-2372,2261,112
1729591327.7073216,RIGHT_HAND,-4272,-17676,8920,8529,-3648,1282,113
1729591327.752137,RIGHT_HAND,-4896,-18108,10664,8584,-5312,163,114
1729591327.7529674,RIGHT_HAND,-5012,-19008,12080,8037,-6523,-1221,115
1729591327.796567,RIGHT_HAND,-5388,-18712,13808,5749,-6807,-2646,116
1729591327.7974744,RIGHT_HAND,-5836,-17672,14848,4890,-7415,-3416,117
1729591327.7982578,RIGHT_HAND,-5072,-17384,14264,6343,-10382,-3763,118
1729591327.8411562,RIGHT_HAND,-4436,-18592,14448,6985,-11393,-4269,119
1729591327.841838,RIGHT_HAND,-3916,-19236,16208,8157,-11642,-4117,120
1729591327.8863325,RIGHT_HAND,-4212,-19436,18068,9861,-16162,-3333,121
1729591327.9314828,RIGHT_HAND,-5500,-20032,20364,9947,-23019,-2721,122
1729591327.9323366,RIGHT_HAND,-5260,-19276,21244,7850,-26831,-1421,123
1729591327.9769742,RIGHT_HAND,-4924,-18416,23176,2117,-22622,1933,124
1729591328.021609,RIGHT_HAND,-5512,-15884,21924,-6681,-24084,4825,125
1729591328.0223749,RIGHT_HAND,-2380,-11272,21604,-21196,-19547,8072,126
