time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591321.1392148,RIGHT_LEG,15640,-3180,5512,-290,-836,-338,164
1729591321.1850936,RIGHT_LEG,15592,-3196,5612,-410,-329,98,166
1729591321.2731109,RIGHT_LEG,15520,-3380,5776,-616,-209,236,168
1729591321.3183403,RIGHT_LEG,15472,-3412,5836,-672,-358,241,170
1729591321.4083767,RIGHT_LEG,15468,-3528,5824,-706,-550,302,172
1729591321.409283,RIGHT_LEG,15456,-3684,5748,-829,-579,176,173
1729591321.4534056,RIGHT_LEG,15460,-3372,5628,-724,-624,154,174
1729591321.4983368,RIGHT_LEG,15612,-3500,5508,-745,-587,146,175
1729591321.4990313,RIGHT_LEG,15464,-3488,5388,-660,-530,223,176
1729591321.543375,RIGHT_LEG,15540,-3460,5528,-637,-429,249,177
1729591321.5884738,RIGHT_LEG,15568,-3564,5492,-586,-340,248,178
1729591321.5891714,RIGHT_LEG,15484,-3764,5576,-518,-280,217,179
1729591321.6350229,RIGHT_LEG,15520,-3796,5568,-460,-264,173,180
1729591321.6795094,RIGHT_LEG,15488,-3692,5628,-458,-224,154,181
1729591321.6803517,RIGHT_LEG,15488,-3668,5676,-462,-228,135,182
1729591321.7234795,RIGHT_LEG,15456,-3576,5644,-468,-215,108,183
1729591321.768676,RIGHT_LEG,15404,-3692,5648,-484,-141,125,184
1729591321.769419,RIGHT_LEG,15540,-3688,5496,-567,-106,77,185
1729591321.8134475,RIGHT_LEG,15496,-3808,5524,-470,-50,93,186
1729591321.8583229,RIGHT_LEG,15588,-3668,5596,-414,-3,129,187
1729591321.9037242,RIGHT_LEG,15420,-3724,5756,-355,-5,136,188
1729591321.9044173,RIGHT_LEG,15452,-3640,5804,-306,-37,155,189
1729591321.9484112,RIGHT_LEG,15500,-3788,5804,-240,-105,152,190
1729591321.9933858,RIGHT_LEG,15500,-3672,5700,-237,-76,140,191
1729591321.9940546,RIGHT_LEG,15368,-3640,5864,-262,-148,139,192
1729591322.038372,RIGHT_LEG,15316,-3704,5860,-419,-225,115,193
1729591322.1283667,RIGHT_LEG,15492,-3760,5732,-399,-255,113,194
1729591322.1290317,RIGHT_LEG,15408,-3668,5548,-282,-185,90,195
1729591322.1303594,RIGHT_LEG,15468,-3632,5604,-217,-109,70,196
1729591322.1310163,RIGHT_LEG,15380,-3600,5784,-230,-6,115,197
1729591322.1734166,RIGHT_LEG,15372,-3680,5780,-236,36,136,198
1729591322.2186835,RIGHT_LEG,15424,-3672,5748,-183,179,199,199
1729591322.2633946,RIGHT_LEG,15400,-3596,5636,-54,305,239,200
1729591322.2640755,RIGHT_LEG,15384,-3592,5872,-183,289,185,201
1729591322.3087602,RIGHT_LEG,15408,-3708,5868,-166,214,178,202
1729591322.3534532,RIGHT_LEG,15416,-3828,6192,-134,161,188,203
1729591322.3541243,RIGHT_LEG,15088,-3660,6328,-230,39,153,204
1729591322.3988938,RIGHT_LEG,15284,-3568,6332,-426,-139,84,205
1729591322.443382,RIGHT_LEG,15372,-3928,5996,-531,-316,10,206
1729591322.4440525,RIGHT_LEG,15332,-3804,6144,-465,-346,-37,207
1729591322.4884288,RIGHT_LEG,15304,-3668,6300,-499,-445,-117,208
1729591322.5339797,RIGHT_LEG,15424,-3836,6112,-631,-600,-257,209
1729591322.6236393,RIGHT_LEG,15348,-3772,5752,-501,-532,-245,210
1729591322.6243894,RIGHT_LEG,15276,-3604,5760,-343,-317,-215,211
1729591322.6253183,RIGHT_LEG,15492,-3608,5724,-216,-42,-62,212
1729591322.6259768,RIGHT_LEG,15584,-3432,5692,-143,266,57,213
1729591322.6691325,RIGHT_LEG,15436,-3564,5832,4,537,147,214
1729591322.713253,RIGHT_LEG,15284,-3784,6000,278,708,232,215
1729591322.71378,RIGHT_LEG,15264,-3560,6124,497,782,222,216
1729591322.75809,RIGHT_LEG,15572,-3640,6352,594,797,263,217
1729591322.8031378,RIGHT_LEG,15036,-3688,6416,499,708,219,218
1729591322.8481028,RIGHT_LEG,14932,-3384,6916,343,535,262,219
1729591322.8485675,RIGHT_LEG,14872,-3652,6980,16,191,197,220
1729591322.93837,RIGHT_LEG,15012,-3848,6688,-145,-67,56,221
1729591322.9833128,RIGHT_LEG,15128,-3468,6768,-167,-198,9,222
1729591322.984018,RIGHT_LEG,15132,-3564,6696,-180,-293,72,223
1729591323.0283473,RIGHT_LEG,15172,-3596,6600,-414,-271,62,224
1729591323.0303156,RIGHT_LEG,15156,-3624,6616,-574,-297,39,225
1729591323.073483,RIGHT_LEG,15092,-3616,6660,-596,-380,40,226
