time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591815.252568,RIGHT_HAND,-2708,17872,-7200,-764,9288,5176,189
1729591815.2540255,RIGHT_HAND,-10852,20400,-13284,5118,3503,1109,191
1729591815.3436701,RIGHT_HAND,-14576,24528,-9772,10561,14676,-5336,193
1729591815.4325356,RIGHT_HAND,-13312,26664,-6528,18161,12334,-9600,195
1729591815.477562,RIGHT_HAND,-14448,27220,-4272,21379,20237,-12345,197
1729591815.5229135,RIGHT_HAND,-9840,24412,-1048,24230,19024,-15230,199
1729591815.658605,RIGHT_HAND,-6492,22460,1328,24198,19771,-17567,200
1729591815.6595192,RIGHT_HAND,-3148,19176,2384,26439,18581,-17459,201
1729591815.7036748,RIGHT_HAND,-1352,14836,220,26831,15476,-16306,202
1729591815.7046037,RIGHT_HAND,1492,11060,-948,20799,16886,-13624,203
1729591815.7471433,RIGHT_HAND,2392,8436,-1724,15520,16483,-10359,204
1729591815.74754,RIGHT_HAND,4784,7064,-3228,10083,16595,-8403,205
1729591815.750422,RIGHT_HAND,6084,6032,-3568,8310,15648,-6855,206
1729591815.750769,RIGHT_HAND,7776,6260,-7388,6658,6840,-3710,207
1729591815.8375607,RIGHT_HAND,10680,5636,-9548,-267,19458,988,208
1729591815.8824627,RIGHT_HAND,6856,3404,-4628,1439,23727,-3237,209
1729591815.8832202,RIGHT_HAND,7016,4368,-9384,1173,5594,-6376,210
1729591815.884312,RIGHT_HAND,3816,4864,-12188,2051,-11538,-9127,211
1729591815.885755,RIGHT_HAND,-440,5440,-14308,3087,-18113,-13109,212
1729591815.9726636,RIGHT_HAND,-3204,6384,-17816,2569,-12891,-16539,213
1729591816.017299,RIGHT_HAND,-5736,6348,-18580,2672,-3464,-18133,214
1729591816.0195215,RIGHT_HAND,-8148,5252,-16588,4366,-1047,-19347,215
1729591816.0205255,RIGHT_HAND,-4280,2436,-20468,3990,13408,-19193,216
1729591816.0621605,RIGHT_HAND,408,-252,-18644,4254,26360,-16249,217
1729591816.1072013,RIGHT_HAND,428,-1728,-17580,2343,16684,-16123,218
1729591816.1076689,RIGHT_HAND,4692,-880,-21508,-2929,12736,-19421,219
1729591816.1525788,RIGHT_HAND,8788,-232,-18460,-752,19915,-17129,220
1729591816.1971436,RIGHT_HAND,11812,3620,-20408,-837,20131,-13461,221
1729591816.1975982,RIGHT_HAND,9608,5080,-20216,-2953,16743,-11791,222
1729591816.2875779,RIGHT_HAND,10740,5808,-16252,3317,13240,-8267,223
1729591816.290994,RIGHT_HAND,12888,5424,-13220,8243,18243,-5868,224
1729591816.291736,RIGHT_HAND,17412,3788,-5440,9112,21904,-1840,225
1729591816.3772132,RIGHT_HAND,19092,1008,-9844,6534,16852,3195,226
1729591816.3790793,RIGHT_HAND,20844,-2232,-3580,-2927,7380,4476,227
1729591816.4236083,RIGHT_HAND,22564,-1900,-32,-12159,-397,6156,228
1729591816.4675398,RIGHT_HAND,20792,196,-2260,-15226,-10150,12327,229
1729591816.4683824,RIGHT_HAND,16048,984,-7848,-20605,-15714,16229,230
1729591816.5136018,RIGHT_HAND,12840,2484,-11888,-24504,-18717,18015,231
1729591816.5575447,RIGHT_HAND,9056,6328,-14684,-25482,-16239,20457,232
1729591816.558303,RIGHT_HAND,6764,9876,-16272,-24972,-11219,23163,233
1729591816.602656,RIGHT_HAND,6200,13944,-18464,-24242,-8544,24842,234
1729591816.6033933,RIGHT_HAND,3936,15364,-12424,-20853,-8600,23190,235
1729591816.6486602,RIGHT_HAND,4156,14908,-9552,-9217,-19778,17750,236
1729591816.6935813,RIGHT_HAND,1624,10464,-14856,12,-32768,11451,237
1729591816.6943026,RIGHT_HAND,-2764,7168,-16780,3045,-32768,8354,238
1729591816.7387793,RIGHT_HAND,-7280,5708,-20120,2011,-29645,5317,239
1729591816.739901,RIGHT_HAND,-7324,4852,-22152,806,-3981,1568,240
1729591816.7825441,RIGHT_HAND,-2628,4480,-18664,2,12220,316,241
1729591816.828704,RIGHT_HAND,1316,4052,-17728,1126,10990,529,242
1729591816.9174073,RIGHT_HAND,3800,3584,-15504,1605,7849,381,243
1729591816.9181645,RIGHT_HAND,4640,3040,-14600,1608,963,335,244
1729591816.9193645,RIGHT_HAND,4288,3072,-16096,1133,-5708,-748,245
1729591816.9623773,RIGHT_HAND,3740,3268,-15024,623,-3990,-1322,246
1729591817.0077333,RIGHT_HAND,3416,3500,-15252,518,-3783,-1113,247
1729591817.0093827,RIGHT_HAND,2596,3728,-14740,461,-2871,-1262,248
1729591817.0107906,RIGHT_HAND,3116,3208,-12784,657,1079,-868,249
1729591817.0527277,RIGHT_HAND,3740,3064,-12496,-23,-222,-302,250
1729591817.098812,RIGHT_HAND,3048,2668,-12680,-2127,-3236,116,251
1729591817.1426861,RIGHT_HAND,2556,2796,-12184,-4054,-2339,113,252
1729591817.1891108,RIGHT_HAND,2252,3348,-11388,-6054,-715,1031,253
1729591817.189879,RIGHT_HAND,2540,3568,-11960,-7907,-1580,1785,254
1729591817.2327223,RIGHT_HAND,2020,4524,-11516,-10088,-1883,2507,255
1729591817.2776709,RIGHT_HAND,1972,5156,-11204,-12349,-2020,2641,1
1729591817.278425,RIGHT_HAND,1876,6588,-11244,-13190,-3126,2659,2
1729591817.323666,RIGHT_HAND,1292,7964,-9812,-14948,-7157,3387,3
1729591817.3685892,RIGHT_HAND,1004,9504,-11432,-17557,-10571,3732,4
1729591817.369374,RIGHT_HAND,-428,11520,-9488,-19276,-12483,3280,5
1729591817.4137628,RIGHT_HAND,-2060,13128,-8072,-19997,-19294,4197,6
1729591817.4575918,RIGHT_HAND,-3632,15296,-12892,-21291,-18313,4396,7
1729591817.4585154,RIGHT_HAND,-3584,17340,-8728,-21791,-9496,4727,8
1729591817.5040662,RIGHT_HAND,-3024,19052,-5108,-19756,-12613,6757,9
1729591817.5476377,RIGHT_HAND,-3728,19564,-11064,-17443,-19253,8136,10
1729591817.6383357,RIGHT_HAND,-4592,19864,-7312,-19593,-12494,7372,11
1729591817.63923,RIGHT_HAND,-4316,21960,-2160,-19613,-17494,7102,12
1729591817.6824806,RIGHT_HAND,-5124,22944,-6316,-14326,-25976,6387,13
1729591817.6832848,RIGHT_HAND,-7308,20504,-6384,-11822,-24511,5168,14
1729591817.7285972,RIGHT_HAND,-8176,20612,-4392,-12032,-21413,3046,15
1729591817.7726662,RIGHT_HAND,-8544,21636,-4420,-9129,-19741,2243,16
1729591817.7735603,RIGHT_HAND,-8648,19988,-4292,-4615,-15299,2170,17
1729591817.8177178,RIGHT_HAND,-7520,17448,-4076,-5080,-11891,1450,18
