time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449091.7049527,RIGHT_HAND,-5968,19180,3264,3608,10890,-3989,69
1730449091.7945528,RIGHT_HAND,-8544,20116,3000,10048,8594,-9689,71
1730449091.8397195,RIGHT_HAND,-7736,19788,2912,8068,12458,-10227,73
1730449091.883969,RIGHT_HAND,-6600,19020,3120,7865,13368,-11238,75
1730449092.0192027,RIGHT_HAND,-6136,17976,1156,7470,11293,-12702,77
1730449092.0205553,RIGHT_HAND,-6004,16964,-20,7786,9781,-12518,79
1730449092.109264,RIGHT_HAND,-6288,15564,-1912,7833,8453,-12879,80
1730449092.154502,RIGHT_HAND,-6552,14972,-2420,7076,8661,-12602,81
1730449092.1552489,RIGHT_HAND,-7092,14272,-3260,6812,8815,-12022,82
1730449092.1994944,RIGHT_HAND,-7232,13248,-3044,7375,9131,-11773,83
1730449092.2434757,RIGHT_HAND,-7204,12300,-3260,7082,9039,-11836,84
1730449092.2442224,RIGHT_HAND,-8228,11800,-2708,5224,8610,-12532,85
1730449092.2890897,RIGHT_HAND,-9736,11668,260,3615,7559,-15116,86
1730449092.3782277,RIGHT_HAND,-10724,11552,1172,2497,8161,-19208,87
1730449092.3790338,RIGHT_HAND,-11312,11748,1284,-139,13478,-23850,88
1730449092.3798206,RIGHT_HAND,-9544,11044,904,-3436,20201,-25673,89
1730449092.3804975,RIGHT_HAND,-7172,8832,-956,-4551,24630,-24535,90
1730449092.4242427,RIGHT_HAND,-6280,7564,-2892,-5424,24182,-22634,91
1730449092.4680796,RIGHT_HAND,-3016,5612,-7256,-6586,25025,-19054,92
1730449092.5142107,RIGHT_HAND,-716,4904,-11308,-6853,27308,-16665,93
1730449092.514976,RIGHT_HAND,1280,4892,-12220,-7422,25888,-15199,94
1730449092.5592744,RIGHT_HAND,5396,4812,-13824,-7022,23580,-11480,95
1730449092.6481354,RIGHT_HAND,7236,5404,-15708,-6613,20280,-10900,96
1730449092.6488543,RIGHT_HAND,16968,-1508,-12064,-9971,1606,-14722,97
1730449092.6499124,RIGHT_HAND,6436,5996,-16472,-8040,-15274,-3496,98
1730449092.6506155,RIGHT_HAND,2432,10616,-18568,-4115,-14476,-10451,99
1730449092.6942682,RIGHT_HAND,1892,9532,-22756,146,-8597,-652,100
1730449092.739728,RIGHT_HAND,2828,8184,-21532,3009,337,5372,101
1730449092.7835512,RIGHT_HAND,4604,6252,-19780,6786,6472,12972,102
1730449092.7843487,RIGHT_HAND,5636,3872,-17508,8044,8167,20456,103
1730449092.8293118,RIGHT_HAND,5316,1012,-14940,7339,3838,22653,104
