time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591675.9350803,RIGHT_LEG,15244,-2636,6556,-517,21,227,213
1729591675.9370258,RIGHT_LEG,15312,-2800,6968,-547,-209,134,215
1729591676.0253756,RIGHT_LEG,15192,-2836,6904,-846,-590,-164,217
1729591676.0702944,RIGHT_LEG,15300,-2912,6728,-759,-881,-494,219
1729591676.2061636,RIGHT_LEG,15380,-2728,6616,-646,-1238,-727,221
1729591676.207024,RIGHT_LEG,15488,-2388,6348,-618,-1263,-700,222
1729591676.2490864,RIGHT_LEG,15476,-2540,6216,-509,-1186,-594,223
1729591676.2494297,RIGHT_LEG,15424,-2572,6100,-453,-1110,-564,224
1729591676.2497907,RIGHT_LEG,15632,-2584,6268,-367,-950,-526,225
1729591676.2944963,RIGHT_LEG,15484,-2276,5992,-462,-852,-498,226
1729591676.3394532,RIGHT_LEG,15556,-2140,5932,-310,-754,-289,227
1729591676.38437,RIGHT_LEG,15500,-2396,6068,-260,-623,-202,228
1729591676.3850405,RIGHT_LEG,15664,-2196,5988,-246,-519,-189,229
1729591676.428564,RIGHT_LEG,15724,-2316,6076,-171,-442,-81,230
1729591676.4303248,RIGHT_LEG,15440,-2260,6020,-134,-363,-33,231
1729591676.475372,RIGHT_LEG,15600,-2112,5976,-167,-261,47,232
1729591676.5204551,RIGHT_LEG,15576,-2248,6020,-124,-144,177,233
1729591676.5672953,RIGHT_LEG,15564,-2372,6156,-139,-70,271,234
1729591676.6095252,RIGHT_LEG,15496,-2268,6180,-326,51,262,235
1729591676.6544259,RIGHT_LEG,15624,-2252,6156,-242,285,442,236
1729591676.699335,RIGHT_LEG,15508,-2300,6296,-276,416,502,237
1729591676.7000513,RIGHT_LEG,15464,-2356,6324,-491,382,454,238
1729591676.7443774,RIGHT_LEG,15468,-2572,6400,-573,310,425,239
1729591676.789334,RIGHT_LEG,15400,-2572,6412,-670,217,342,240
1729591676.790018,RIGHT_LEG,15356,-2780,6648,-673,9,228,241
1729591676.834392,RIGHT_LEG,15372,-2616,6432,-679,-145,54,242
1729591676.8804045,RIGHT_LEG,15328,-2616,6620,-630,-348,-25,243
1729591676.8811738,RIGHT_LEG,15432,-2632,6520,-617,-434,-102,244
1729591676.9243996,RIGHT_LEG,15432,-2624,6456,-515,-516,-103,245
1729591676.9694939,RIGHT_LEG,15364,-2524,6340,-630,-542,-238,246
1729591676.9702528,RIGHT_LEG,15468,-2536,6156,-537,-496,-183,247
1729591677.0146782,RIGHT_LEG,15568,-2416,6220,-408,-366,-90,248
1729591677.0598288,RIGHT_LEG,15464,-2632,6352,-416,-344,-23,249
1729591677.0605395,RIGHT_LEG,15412,-2440,6328,-391,-378,0,250
1729591677.1054015,RIGHT_LEG,15476,-2448,6528,-417,-407,4,251
1729591677.1494439,RIGHT_LEG,15376,-2544,6408,-400,-398,5,252
1729591677.194699,RIGHT_LEG,15484,-2468,6324,-332,-438,-14,253
1729591677.1955526,RIGHT_LEG,15484,-2500,6320,-329,-513,-23,254
1729591677.2393801,RIGHT_LEG,15420,-2484,6284,-371,-517,-61,255
1729591677.2843597,RIGHT_LEG,15528,-2436,6164,-366,-503,-14,1
1729591677.285041,RIGHT_LEG,15412,-2408,6204,-379,-458,43,2
1729591677.3294005,RIGHT_LEG,15532,-2424,6180,-380,-366,90,3
1729591677.3755212,RIGHT_LEG,15436,-2356,6196,-350,-268,178,4
1729591677.3762736,RIGHT_LEG,15512,-2404,6160,-394,-228,192,5
1729591677.4193785,RIGHT_LEG,15408,-2368,6228,-413,-150,298,6
1729591677.4643607,RIGHT_LEG,15456,-2372,6280,-473,-94,385,7
1729591677.465086,RIGHT_LEG,15488,-2456,6316,-554,-81,368,8
1729591677.5095544,RIGHT_LEG,15332,-2568,6268,-567,-63,368,9
