time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448999.8599095,RIGHT_LEG,15072,4032,5884,-24,-303,-13,170
1730448999.949948,RIGHT_LEG,15024,3840,5476,-8,-638,-160,172
1730448999.9949214,RIGHT_LEG,15168,3628,5388,252,-751,-308,174
1730449000.0406597,RIGHT_LEG,15180,3912,5304,493,-708,-304,176
1730449000.1302361,RIGHT_LEG,15192,3880,5244,600,-554,-317,178
1730449000.131264,RIGHT_LEG,15324,3920,5212,709,-494,-331,179
1730449000.174679,RIGHT_LEG,15224,3668,5336,786,-498,-394,180
1730449000.220011,RIGHT_LEG,15084,4012,5280,548,-519,-562,181
1730449000.220708,RIGHT_LEG,15232,4284,5280,267,-560,-598,182
1730449000.2662268,RIGHT_LEG,15320,4284,4828,30,-577,-504,183
1730449000.3099804,RIGHT_LEG,15268,4292,4788,25,-448,-446,184
1730449000.3106725,RIGHT_LEG,15256,4344,4924,380,-131,-163,185
1730449000.3552365,RIGHT_LEG,15328,4280,4984,375,17,-61,186
1730449000.3999276,RIGHT_LEG,15096,4196,5000,307,48,101,187
1730449000.4006217,RIGHT_LEG,15176,4236,5020,337,137,210,188
1730449000.445075,RIGHT_LEG,15240,4168,4948,305,213,291,189
1730449000.4899433,RIGHT_LEG,15136,4248,5096,161,303,326,190
1730449000.4906309,RIGHT_LEG,15228,4184,5060,25,355,399,191
1730449000.5352986,RIGHT_LEG,15192,4164,5040,-175,311,368,192
1730449000.6249144,RIGHT_LEG,15120,4052,5552,72,344,451,193
1730449000.6256115,RIGHT_LEG,15272,4096,5508,-299,66,287,194
1730449000.6268077,RIGHT_LEG,15332,3744,5480,-244,-140,95,195
1730449000.6274822,RIGHT_LEG,15140,3628,5468,-154,-275,-22,196
1730449000.671438,RIGHT_LEG,15160,3808,5688,-109,-455,-177,197
1730449000.7149248,RIGHT_LEG,15176,3964,5324,-36,-451,-225,198
1730449000.759967,RIGHT_LEG,15096,4068,5416,-150,-443,-263,199
1730449000.8059604,RIGHT_LEG,15104,4036,5220,122,-260,-156,200
1730449000.8066337,RIGHT_LEG,15108,4064,5296,267,-184,-95,201
1730449000.8504434,RIGHT_LEG,15104,3868,4928,20,-288,-129,202
1730449000.939884,RIGHT_LEG,15428,3968,5264,123,-229,-109,203
1730449000.9405806,RIGHT_LEG,15388,3824,5396,207,-149,-198,204
1730449000.9418156,RIGHT_LEG,15320,4016,5400,387,-189,-242,205
1730449000.942484,RIGHT_LEG,15072,3916,5244,378,-211,-315,206
1730449000.9848652,RIGHT_LEG,15304,3928,5256,551,-159,-197,207
1730449001.0298753,RIGHT_LEG,15248,3792,5408,593,-145,-208,208
1730449001.0748587,RIGHT_LEG,15180,4144,5444,706,-134,-135,209
1730449001.0755477,RIGHT_LEG,15068,4232,5068,533,-192,-92,210
1730449001.120428,RIGHT_LEG,15180,4304,5256,461,-88,-26,211
1730449001.1648617,RIGHT_LEG,15124,4132,5104,484,111,145,212
1730449001.1655524,RIGHT_LEG,15276,4268,5128,513,256,232,213
1730449001.2098787,RIGHT_LEG,15236,4200,4920,359,459,308,214
1730449001.2548735,RIGHT_LEG,15160,4112,5164,325,582,409,215
1730449001.2555666,RIGHT_LEG,15088,4116,5620,192,509,430,216
1730449001.2998786,RIGHT_LEG,14972,4160,5656,11,465,321,217
1730449001.3448637,RIGHT_LEG,15168,3908,5740,90,405,300,218
1730449001.3455606,RIGHT_LEG,15112,4040,5596,-91,250,103,219
1730449001.3898802,RIGHT_LEG,15140,3816,5684,-169,99,46,220
1730449001.435561,RIGHT_LEG,15148,3900,5856,-204,-43,-60,221
1730449001.5248592,RIGHT_LEG,15016,3928,5536,-146,-136,-36,222
1730449001.5255442,RIGHT_LEG,15256,3416,5576,133,-61,-69,223
1730449001.5698843,RIGHT_LEG,15024,3696,5504,-71,-132,-139,224
1730449001.6153429,RIGHT_LEG,15152,3860,5740,18,-219,-67,225
1730449001.6160047,RIGHT_LEG,15192,3740,5612,144,-268,-87,226
1730449001.6599278,RIGHT_LEG,15072,3964,5472,63,-294,-133,227
1730449001.7048783,RIGHT_LEG,15060,4104,5452,159,-179,-74,228
