time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729592124.3617063,RIGHT_HAND,-4560,15708,-2300,-2862,-3184,-288,91
1729592124.4972954,RIGHT_HAND,-9684,15852,-8468,-4785,7758,1084,93
1729592124.542691,RIGHT_HAND,-14708,17224,-2036,72,10178,-476,95
1729592124.5874243,RIGHT_HAND,-20564,15796,556,10279,5102,-10533,97
1729592124.589016,RIGHT_HAND,-24852,17148,4920,2948,16824,-22341,99
1729592124.6777399,RIGHT_HAND,-26600,24116,12784,-10247,32767,-32768,101
1729592124.7215471,RIGHT_HAND,-21984,25704,12904,-10196,32767,-32768,102
1729592124.7223372,RIGHT_HAND,-15696,23952,12736,-5619,32767,-32768,103
1729592124.766694,RIGHT_HAND,-7960,21148,9296,-1238,32767,-32768,104
1729592124.8116906,RIGHT_HAND,-3592,17148,6996,2140,32767,-30467,105
1729592124.8125627,RIGHT_HAND,-360,13136,3752,3625,24947,-26463,106
1729592124.8577135,RIGHT_HAND,524,10516,964,2290,14282,-22759,107
1729592124.9466782,RIGHT_HAND,-96,9024,-3016,-413,1911,-19920,108
1729592124.9474628,RIGHT_HAND,-1992,8496,-6904,-1208,-12,-16350,109
1729592124.9916732,RIGHT_HAND,-4256,6752,-7684,-418,-1526,-12589,110
1729592124.994109,RIGHT_HAND,-5828,5840,-11484,-1138,-3364,-9704,111
1729592125.0366628,RIGHT_HAND,-3656,5228,-13032,-1021,7639,-6962,112
1729592125.0390441,RIGHT_HAND,-5076,4248,-12108,-1871,77,-5020,113
1729592125.0431015,RIGHT_HAND,-6916,3952,-15404,-2622,-5931,-3501,114
1729592125.081597,RIGHT_HAND,-8648,3312,-15504,-1086,-1464,-2494,115
1729592125.1273606,RIGHT_HAND,-7260,2984,-16100,-362,3427,-1447,116
1729592125.1725714,RIGHT_HAND,-5380,2760,-15000,890,4073,867,117
1729592125.2163587,RIGHT_HAND,-5556,2392,-14884,2900,260,4020,118
1729592125.2171187,RIGHT_HAND,-7480,2168,-15716,2942,-1994,5988,119
1729592125.261718,RIGHT_HAND,-9004,2204,-14560,2475,-965,6283,120
1729592125.306419,RIGHT_HAND,-10436,2584,-14060,3555,-2445,6454,121
1729592125.3073132,RIGHT_HAND,-11800,2416,-13188,5056,-1238,6650,122
1729592125.3525956,RIGHT_HAND,-11104,1848,-13148,5457,2376,5930,123
1729592125.3970602,RIGHT_HAND,-6988,2472,-15100,3442,7069,5502,124
1729592125.3978465,RIGHT_HAND,-3904,3876,-11248,2709,10284,7731,125
1729592125.441586,RIGHT_HAND,-1764,4432,-10416,4133,7126,12569,126
1729592125.4865925,RIGHT_HAND,-972,4612,-12220,4039,3235,17204,127
1729592125.487354,RIGHT_HAND,-1848,4948,-11112,2014,-608,20160,128
1729592125.5316522,RIGHT_HAND,-2444,6776,-12572,-679,-6845,21880,129
1729592125.577504,RIGHT_HAND,-4856,9656,-11752,-1985,-9352,24048,130
1729592125.578267,RIGHT_HAND,-5708,11968,-10404,-1191,-7417,26400,131
1729592125.622663,RIGHT_HAND,-4944,13476,-8204,-15,-6413,28590,132
1729592125.6663291,RIGHT_HAND,-4408,14232,-4084,557,-9843,31418,133
1729592125.6667747,RIGHT_HAND,-5476,14988,-1016,-1457,-17549,32767,134
1729592125.7117126,RIGHT_HAND,-6756,17704,448,-5135,-26599,32475,135
1729592125.8026614,RIGHT_HAND,-8720,21100,4024,-6077,-32768,30448,136
1729592125.8466947,RIGHT_HAND,-11112,21412,6704,-3299,-32768,27870,137
1729592125.8477466,RIGHT_HAND,-14236,21428,2552,-4912,-32768,25015,138
