time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449396.4468331,RIGHT_HAND,-7760,17504,3220,-594,-499,1857,147
1730449396.5367258,RIGHT_HAND,-11652,16496,9288,5492,7075,-2668,149
1730449396.5819426,RIGHT_HAND,-15440,14624,16872,1870,5195,-17209,151
1730449396.6276333,RIGHT_HAND,-16420,14876,24876,-16588,15745,-23325,153
1730449396.7619855,RIGHT_HAND,-14632,16420,26180,-26129,32767,-25075,155
1730449396.8079412,RIGHT_HAND,-7272,14696,20896,-30865,32767,-24190,157
1730449396.8086886,RIGHT_HAND,-3244,13188,16612,-27121,32767,-24586,158
1730449396.8516943,RIGHT_HAND,-1332,12336,13276,-24977,30494,-23301,159
1730449396.8521428,RIGHT_HAND,-2124,11616,9008,-23173,18399,-20899,160
1730449396.8968902,RIGHT_HAND,-5060,12068,6464,-22604,5662,-19251,161
1730449396.9420006,RIGHT_HAND,-6732,10976,296,-18171,2230,-16503,162
1730449396.9428358,RIGHT_HAND,-8584,10168,-976,-14841,3187,-12776,163
1730449396.9871714,RIGHT_HAND,-14200,7052,19704,-14548,11887,-13845,164
1730449397.0319822,RIGHT_HAND,-9740,4860,-10192,-2952,-748,1264,165
1730449397.032717,RIGHT_HAND,-13644,7712,-7248,1341,4717,580,166
1730449397.0768929,RIGHT_HAND,-7804,3284,-6824,1280,9137,1060,167
1730449397.1219063,RIGHT_HAND,-7372,3468,-5432,6192,-322,545,168
1730449397.1226473,RIGHT_HAND,-10276,1132,104,7740,-14441,3210,169
1730449397.1666572,RIGHT_HAND,-13640,460,120,11647,-22023,1681,170
1730449397.2118874,RIGHT_HAND,-15568,148,-1568,11411,-20198,1319,171
1730449397.2126362,RIGHT_HAND,-15828,1060,-1592,4955,-8795,3204,172
1730449397.25692,RIGHT_HAND,-14144,2876,-724,3732,-3246,5572,173
1730449397.3023345,RIGHT_HAND,-12468,4444,124,5253,-531,8857,174
1730449397.3030553,RIGHT_HAND,-10952,5700,1296,7950,371,11163,175
1730449397.3470087,RIGHT_HAND,-10288,6436,3724,10549,-3367,13065,176
1730449397.3923175,RIGHT_HAND,-10020,6120,5276,13442,-9395,13152,177
1730449397.3932064,RIGHT_HAND,-9144,5772,4672,14912,-14131,14084,178
1730449397.4369183,RIGHT_HAND,-11796,7236,8400,13243,-17990,15770,179
1730449397.4825752,RIGHT_HAND,-12620,9280,8056,11211,-17776,17258,180
1730449397.4832337,RIGHT_HAND,-11492,10532,7204,12196,-12029,17865,181
1730449397.5269582,RIGHT_HAND,-12144,11124,10764,10907,-12218,19701,182
1730449397.5719852,RIGHT_HAND,-11004,12300,10080,8515,-15053,21006,183
1730449397.6172416,RIGHT_HAND,-10116,14448,9924,8877,-14671,20814,184
1730449397.6178892,RIGHT_HAND,-10040,16092,10468,9136,-13909,21495,185
1730449397.661863,RIGHT_HAND,-9260,17104,10980,8338,-14149,22346,186
1730449397.7069705,RIGHT_HAND,-7656,18064,12052,7940,-13735,21155,187
1730449397.7076824,RIGHT_HAND,-6340,18328,13128,6387,-16784,18569,188
1730449397.7522771,RIGHT_HAND,-6172,17984,14076,5805,-22440,14260,189
1730449397.7969682,RIGHT_HAND,-7692,16664,13088,5353,-26133,8754,190
1730449397.7976544,RIGHT_HAND,-9112,15840,11204,2808,-24629,4652,191
1730449397.8419578,RIGHT_HAND,-9392,14616,10176,843,-17495,1338,192
1730449397.8869686,RIGHT_HAND,-8636,14336,9364,-1586,-9337,364,193
1730449397.887665,RIGHT_HAND,-6188,14768,8628,-3548,-1526,658,194
1730449397.9319675,RIGHT_HAND,-4256,14060,8988,-3395,2048,294,195
1730449397.9769413,RIGHT_HAND,-2896,13372,8540,-3744,-101,779,196
1730449397.977632,RIGHT_HAND,-2716,13152,8392,-4295,-2315,736,197
1730449398.0222027,RIGHT_HAND,-3160,13344,8356,-4844,-3541,242,198
1730449398.0669768,RIGHT_HAND,-3780,14084,8316,-5825,-3298,-672,199
1730449398.0676684,RIGHT_HAND,-3640,15096,7832,-6629,-2531,-1741,200
1730449398.111992,RIGHT_HAND,-564,21316,1252,-4956,-3804,-2846,201
1730449398.157216,RIGHT_HAND,988,21528,-520,5902,-1342,-2625,202
