time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449340.4206889,RIGHT_LEG,15452,3552,5076,382,-325,34,119
1730449340.4650168,RIGHT_LEG,15552,3980,4864,-101,-659,-276,121
1730449340.5101986,RIGHT_LEG,15488,3472,4788,275,-799,-317,123
1730449340.5553188,RIGHT_LEG,15556,3828,4364,378,-827,-268,125
1730449340.6014037,RIGHT_LEG,15296,4532,4344,22,-740,-239,127
1730449340.64513,RIGHT_LEG,15456,3912,4376,261,-625,-271,128
1730449340.6902058,RIGHT_LEG,15508,4096,4480,123,-582,-321,129
1730449340.6910667,RIGHT_LEG,15424,4320,4516,257,-501,-262,130
1730449340.7355106,RIGHT_LEG,15480,4216,4380,277,-411,-226,131
1730449340.7801738,RIGHT_LEG,15708,4160,4308,309,-329,-164,132
1730449340.7810414,RIGHT_LEG,15340,4288,4192,98,-192,-176,133
1730449340.8272655,RIGHT_LEG,15376,4276,4220,108,-37,-90,134
1730449340.8705213,RIGHT_LEG,15496,4364,4316,161,119,-30,135
1730449340.871313,RIGHT_LEG,15360,4288,4480,283,212,11,136
1730449340.9153028,RIGHT_LEG,15448,4200,4300,178,213,36,137
1730449340.9606402,RIGHT_LEG,15144,4264,4588,397,197,108,138
1730449340.961478,RIGHT_LEG,15452,4132,4788,472,154,98,139
1730449341.005698,RIGHT_LEG,15304,4028,4644,416,54,67,140
1730449341.050315,RIGHT_LEG,15528,4128,4624,350,21,22,141
1730449341.095229,RIGHT_LEG,15504,4204,4568,350,-27,6,142
1730449341.095991,RIGHT_LEG,15516,3968,4660,271,-21,58,143
1730449341.140328,RIGHT_LEG,15232,4188,4644,177,-11,-13,144
1730449341.1852047,RIGHT_LEG,15248,4288,4732,319,-4,62,145
1730449341.1859696,RIGHT_LEG,15480,4216,4628,334,-36,72,146
1730449341.2301536,RIGHT_LEG,15492,4260,4624,352,-88,43,147
1730449341.2754488,RIGHT_LEG,15528,3952,4596,260,-89,46,148
1730449341.3201387,RIGHT_LEG,15344,4108,4552,279,-57,25,149
1730449341.320903,RIGHT_LEG,15312,4196,4492,317,-32,50,150
1730449341.3651927,RIGHT_LEG,15316,4116,4684,260,-22,19,151
1730449341.365958,RIGHT_LEG,15492,3992,4448,325,29,13,152
1730449341.4106832,RIGHT_LEG,15528,4080,4660,348,63,10,153
1730449341.4556475,RIGHT_LEG,15404,4116,4648,209,16,-55,154
1730449341.456492,RIGHT_LEG,15332,4128,4516,286,70,-44,155
1730449341.5002484,RIGHT_LEG,15300,4128,4528,292,103,3,156
1730449341.5452201,RIGHT_LEG,15352,4152,4660,279,121,69,157
1730449341.5460155,RIGHT_LEG,15452,4272,4788,406,192,141,158
1730449341.5906358,RIGHT_LEG,15352,4172,4580,427,280,218,159
1730449341.6352217,RIGHT_LEG,15276,4228,4644,483,349,305,160
1730449341.6359384,RIGHT_LEG,15340,4184,4684,478,397,368,161
1730449341.6801612,RIGHT_LEG,15384,3964,4792,540,435,417,162
1730449341.7254968,RIGHT_LEG,15404,3864,4972,413,343,359,163
1730449341.7263381,RIGHT_LEG,15432,4012,4992,219,230,329,164
1730449341.772312,RIGHT_LEG,15176,4052,4624,235,261,345,165
1730449341.8152153,RIGHT_LEG,15240,4240,4792,471,340,445,166
1730449341.8604574,RIGHT_LEG,15576,3860,4976,454,209,323,167
1730449341.861273,RIGHT_LEG,15628,3444,5252,-156,-35,80,168
1730449341.9052372,RIGHT_LEG,15264,3824,5084,222,-12,170,169
1730449341.9502218,RIGHT_LEG,15508,3924,4988,61,-53,-26,170
1730449341.9510732,RIGHT_LEG,15220,4056,5056,71,-84,-39,171
1730449341.99522,RIGHT_LEG,15408,3568,4856,170,-20,-40,172
1730449342.0402036,RIGHT_LEG,15336,3868,5044,198,-5,-22,173
1730449342.0410602,RIGHT_LEG,15248,3836,5096,98,-81,-139,174
1730449342.0852194,RIGHT_LEG,15424,3952,5024,123,-147,-139,175
1730449342.1301897,RIGHT_LEG,15268,3880,4972,31,-182,-127,176
1730449342.1310542,RIGHT_LEG,15276,4112,4944,137,-145,-120,177
1730449342.1770828,RIGHT_LEG,15304,3792,5124,214,-192,-131,178
1730449342.220585,RIGHT_LEG,15324,3832,5060,115,-278,-189,179
1730449342.2214246,RIGHT_LEG,15340,3848,5240,437,-280,-150,180
1730449342.2650511,RIGHT_LEG,15316,3732,4960,309,-256,-203,181
1730449342.3114743,RIGHT_LEG,15312,4180,4956,265,-212,-220,182
1730449342.3121462,RIGHT_LEG,15208,4128,4900,109,-132,-127,183
1730449342.3557007,RIGHT_LEG,15384,4052,5092,98,-27,-96,184
1730449342.4005778,RIGHT_LEG,15444,3900,4932,241,78,-55,185
1730449342.4013577,RIGHT_LEG,15208,3864,4920,79,105,-69,186
1730449342.4901361,RIGHT_LEG,15296,4048,5328,242,77,-43,187
1730449342.5352037,RIGHT_LEG,15308,3780,4964,120,6,-45,188
1730449342.535936,RIGHT_LEG,15172,3980,5164,348,23,-60,189
1730449342.5366757,RIGHT_LEG,15240,3888,5064,264,43,-51,190
1730449342.6256914,RIGHT_LEG,15276,3920,5208,352,62,22,191
1730449342.6722274,RIGHT_LEG,15372,3920,4952,300,12,-35,192
1730449342.6728704,RIGHT_LEG,15216,4040,5036,382,59,-34,193
1730449342.7154825,RIGHT_LEG,15308,3776,5096,382,52,-31,194
1730449342.7600594,RIGHT_LEG,15268,3848,5040,381,50,-72,195
1730449342.760845,RIGHT_LEG,15252,3964,5112,388,-24,-99,196
1730449342.8050897,RIGHT_LEG,15280,3596,5224,229,-128,-145,197
1730449342.85002,RIGHT_LEG,15312,4024,5056,252,-86,-91,198
1730449342.8507962,RIGHT_LEG,15336,3960,5072,339,-30,-71,199
1730449342.89504,RIGHT_LEG,15200,3804,5248,278,-62,-87,200
1730449342.9398687,RIGHT_LEG,15276,3948,5196,289,-83,-132,201
1730449342.9403932,RIGHT_LEG,15252,4036,5248,290,-70,-53,202
