time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729592233.0398712,RIGHT_LEG,15460,-2588,6356,-586,-129,117,216
1729592233.0846095,RIGHT_LEG,15392,-2768,6556,-680,-376,-33,218
1729592233.1295345,RIGHT_LEG,15396,-2784,6340,-607,-678,-288,220
1729592233.2204373,RIGHT_LEG,15472,-2696,6300,-534,-929,-506,222
1729592233.3096492,RIGHT_LEG,15612,-2512,6184,-572,-1023,-682,224
1729592233.3543532,RIGHT_LEG,15744,-2380,5904,-504,-968,-707,225
1729592233.3550646,RIGHT_LEG,15700,-2512,5880,-582,-948,-730,226
1729592233.3993719,RIGHT_LEG,15660,-2232,5684,-587,-785,-746,227
1729592233.4443998,RIGHT_LEG,15640,-2056,5648,-463,-609,-568,228
1729592233.4451332,RIGHT_LEG,15740,-2084,5488,-186,-409,-253,229
1729592233.489462,RIGHT_LEG,15688,-2180,5908,-110,-202,-88,230
1729592233.5344782,RIGHT_LEG,15716,-1920,5620,-168,44,133,231
1729592233.5352778,RIGHT_LEG,15676,-1960,5924,-24,292,421,232
1729592233.5795252,RIGHT_LEG,15580,-2484,5996,2,323,458,233
1729592233.6254904,RIGHT_LEG,15572,-2312,6396,-144,245,365,234
1729592233.6263297,RIGHT_LEG,15540,-2256,6132,-154,242,377,235
1729592233.6695373,RIGHT_LEG,15552,-2332,6164,-238,135,328,236
1729592233.714397,RIGHT_LEG,15424,-2392,6440,-285,-26,260,237
1729592233.7594793,RIGHT_LEG,15468,-2380,6356,-291,-136,212,238
1729592233.760232,RIGHT_LEG,15540,-2504,6172,-360,-171,115,239
1729592233.8046122,RIGHT_LEG,15504,-2332,6236,-391,-268,66,240
1729592233.8493776,RIGHT_LEG,15596,-2356,6104,-395,-276,34,241
1729592233.8501308,RIGHT_LEG,15408,-2360,6164,-371,-320,39,242
1729592233.8944266,RIGHT_LEG,15504,-2440,6392,-384,-367,-28,243
1729592233.9394045,RIGHT_LEG,15540,-2216,6260,-388,-388,-62,244
1729592233.9401393,RIGHT_LEG,15456,-2356,6224,-351,-411,-34,245
1729592233.9845555,RIGHT_LEG,15664,-2368,6028,-418,-396,-88,246
1729592234.0294676,RIGHT_LEG,15644,-2392,6232,-354,-407,-67,247
1729592234.030206,RIGHT_LEG,15576,-2212,6184,-308,-369,-80,248
1729592234.0744278,RIGHT_LEG,15484,-2192,6144,-300,-373,-45,249
1729592234.1194317,RIGHT_LEG,15480,-2276,6012,-268,-389,-36,250
1729592234.1201606,RIGHT_LEG,15600,-2356,6128,-255,-350,0,251
1729592234.1654308,RIGHT_LEG,15648,-2208,6060,-264,-312,34,252
1729592234.2090895,RIGHT_LEG,15608,-2340,6032,-203,-314,73,253
1729592234.2094927,RIGHT_LEG,15488,-2160,6308,-299,-280,112,254
1729592234.254701,RIGHT_LEG,15520,-2004,6028,-243,-161,252,255
1729592234.2993395,RIGHT_LEG,15540,-2348,6036,-250,-169,279,1
1729592234.3000314,RIGHT_LEG,15568,-2228,6116,-318,-197,290,2
1729592234.3443272,RIGHT_LEG,15500,-2332,6060,-316,-218,320,3
1729592234.389313,RIGHT_LEG,15500,-2352,6184,-413,-255,196,4
1729592234.3899848,RIGHT_LEG,15564,-2328,6128,-414,-263,228,5
1729592234.4343457,RIGHT_LEG,15508,-2400,6260,-460,-228,254,6
1729592234.4794662,RIGHT_LEG,15568,-2296,6308,-534,-203,252,7
1729592234.524352,RIGHT_LEG,15476,-2376,6144,-594,-187,266,8
1729592234.5250125,RIGHT_LEG,15688,-2432,6132,-584,-198,272,9
1729592234.5693822,RIGHT_LEG,15472,-2380,6056,-556,-188,331,10
