time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589254.2456796,RIGHT_HAND,1236,17316,760,476,2208,4113,172
1729589254.2893796,RIGHT_HAND,3776,16708,4356,3899,2810,4431,174
1729589254.3797004,RIGHT_HAND,4312,16564,8112,1115,-4354,4426,176
1729589254.468154,RIGHT_HAND,1588,15756,6720,-2189,-21294,6320,178
1729589254.4688003,RIGHT_HAND,-5016,19244,2648,-9570,-30673,4884,180
1729589254.515857,RIGHT_HAND,-7256,16524,-3620,-8100,-17524,5015,182
1729589254.558718,RIGHT_HAND,-6684,16536,-3184,-8186,-12332,4822,183
1729589254.6048727,RIGHT_HAND,-6096,15492,-3548,-6673,-14922,4231,184
1729589254.605865,RIGHT_HAND,-6860,13928,-6132,-8390,-18105,2825,185
1729589254.6492832,RIGHT_HAND,-7552,14196,-8652,-11158,-13263,1348,186
1729589254.6931198,RIGHT_HAND,-7384,14292,-9780,-11017,-6155,744,187
1729589254.6935034,RIGHT_HAND,-6416,14756,-11944,-12237,-1294,-505,188
1729589254.7388947,RIGHT_HAND,-5344,16692,-13128,-12544,5161,-2451,189
1729589254.7833464,RIGHT_HAND,-4280,19956,-11164,-8908,9457,-4045,190
1729589254.8291097,RIGHT_HAND,-3232,22848,-7568,-1648,7493,-5005,191
1729589254.8298395,RIGHT_HAND,-2760,22612,-6744,7343,3248,-6250,192
1729589254.8735118,RIGHT_HAND,-2652,19860,-6968,10603,3805,-8209,193
1729589254.9188902,RIGHT_HAND,-2556,17916,-5360,10627,8645,-8207,194
1729589254.9199443,RIGHT_HAND,-1188,19020,-4280,7808,12487,-7273,195
1729589254.9639664,RIGHT_HAND,-1508,18636,-572,9863,10757,-5185,196
1729589255.0083084,RIGHT_HAND,-1352,15828,-2100,10250,9867,-4758,197
1729589255.0089405,RIGHT_HAND,-2000,15268,-1480,5902,10602,-4547,198
1729589255.0535324,RIGHT_HAND,-1864,17108,-2168,2089,11194,-2927,199
1729589255.098559,RIGHT_HAND,-2400,19372,-880,-477,12009,-1097,200
1729589255.0994143,RIGHT_HAND,-2808,19328,-20,2132,9644,-81,201
1729589255.1439517,RIGHT_HAND,-1708,17828,-1040,2834,11754,-685,202
1729589255.190527,RIGHT_HAND,-708,16912,-372,1658,13133,-1000,203
1729589255.1931655,RIGHT_HAND,636,16752,192,1574,12851,-892,204
1729589255.2346756,RIGHT_HAND,1676,16040,1620,2241,12986,-276,205
1729589255.3273454,RIGHT_HAND,2540,14920,2280,2582,7714,-10,206
1729589255.3280158,RIGHT_HAND,2276,14760,1264,719,115,-1093,207
1729589255.3689835,RIGHT_HAND,1084,16052,168,-1272,-3991,-1626,208
1729589255.370098,RIGHT_HAND,-156,15548,-1204,522,-4020,-619,209
1729589255.413807,RIGHT_HAND,-468,13580,-2956,404,-518,-500,210
1729589255.4147818,RIGHT_HAND,-400,13952,-2756,-2675,2138,-1829,211
1729589255.4582598,RIGHT_HAND,-708,16048,-1652,-2665,-744,-2156,212
1729589255.4587154,RIGHT_HAND,-1264,17080,-2424,-1699,-3312,-1520,213
1729589255.5036073,RIGHT_HAND,-2236,17388,-3240,-2785,-4419,-977,214
1729589255.5485117,RIGHT_HAND,-3380,16464,-3564,-2051,-4806,-598,215
1729589255.5935483,RIGHT_HAND,-4068,14644,-4516,-1253,-3487,-931,216
1729589255.594381,RIGHT_HAND,-4108,13896,-5660,-2765,-3,-1804,217
1729589255.6388476,RIGHT_HAND,-3660,16176,-6008,-3556,462,-1733,218
1729589255.6835158,RIGHT_HAND,-2872,16608,-5392,-70,1104,-72,219
1729589255.6844373,RIGHT_HAND,-3276,14740,-4808,930,-1372,765,220
1729589255.734105,RIGHT_HAND,-3780,14428,-5020,-898,-1840,669,221
1729589255.773083,RIGHT_HAND,-3940,15168,-4336,-315,-943,1036,222
1729589255.773435,RIGHT_HAND,-3856,14836,-3888,1027,-1826,1490,223
1729589255.8187523,RIGHT_HAND,-4160,14772,-3760,428,-2150,1115,224
1729589255.9089854,RIGHT_HAND,-4184,15236,-3276,-177,-1979,540,225
1729589255.9101548,RIGHT_HAND,-4156,15840,-3260,499,-3137,171,226
1729589255.9535508,RIGHT_HAND,-4468,15712,-3716,804,-3405,-327,227
1729589255.954662,RIGHT_HAND,-4352,15532,-3780,338,-2174,-917,228
1729589255.9555182,RIGHT_HAND,-3936,15696,-4124,-204,-1703,-1094,229
1729589255.9985323,RIGHT_HAND,-3820,15816,-4268,-758,142,-1178,230
1729589256.0435166,RIGHT_HAND,-2256,16060,-4732,-567,1316,-968,231
1729589256.0442784,RIGHT_HAND,-1048,15904,-4836,319,648,-671,232
1729589256.0905566,RIGHT_HAND,-1320,15684,-4988,617,-2407,-538,233
1729589256.1336882,RIGHT_HAND,-2368,15516,-4852,275,-2341,-204,234
1729589256.13454,RIGHT_HAND,-3100,15368,-4460,-383,-928,17,235
1729589256.1781788,RIGHT_HAND,-3716,15500,-4152,-365,88,28,236
1729589256.3134873,RIGHT_HAND,-3944,14928,-4176,80,-337,309,237
1729589256.3142536,RIGHT_HAND,-3664,14916,-4000,-726,-110,-63,238
1729589256.358593,RIGHT_HAND,-3404,15104,-4384,-1021,-584,-241,239
1729589256.3597066,RIGHT_HAND,-3376,15364,-4564,-580,-1086,-348,240
1729589256.4034789,RIGHT_HAND,-3300,15388,-5164,-580,-376,-465,241
1729589256.4042723,RIGHT_HAND,-3044,15588,-5116,-585,90,-551,242
1729589256.405025,RIGHT_HAND,-3012,15728,-4864,-780,743,-529,243
1729589256.4484773,RIGHT_HAND,-2980,15588,-4852,-836,1470,-359,244
1729589256.449253,RIGHT_HAND,-2588,15536,-4856,-1178,2267,-367,245
1729589256.495718,RIGHT_HAND,-2564,15720,-4644,-1279,2283,-329,246
1729589256.5386677,RIGHT_HAND,-3000,15648,-4372,-1195,1596,-350,247
1729589256.5394468,RIGHT_HAND,-3328,15572,-4544,-1193,2274,-494,248
1729589256.5835297,RIGHT_HAND,-3268,15476,-4608,-1589,3000,-551,249
1729589256.6742477,RIGHT_HAND,-2980,15512,-4428,-1775,3803,-441,250
1729589256.6747873,RIGHT_HAND,-2708,15332,-4620,-1696,3117,-316,251
1729589256.7181735,RIGHT_HAND,-2700,15560,-4672,-2310,3161,-376,252
