time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729588940.056568,RIGHT_LEG,32767,-3380,-996,32767,-4015,16184,241
1729588940.101407,RIGHT_LEG,32767,-5888,5636,-10144,-32768,-18912,243
1729588940.146396,RIGHT_LEG,32767,-11476,16876,6996,-32768,-18500,245
1729588940.192339,RIGHT_LEG,32767,-11540,18968,8179,-32768,-14167,247
1729588940.326374,RIGHT_LEG,32767,-10444,32767,15972,-32768,6582,249
1729588940.32707,RIGHT_LEG,11624,-2816,15764,13659,-31937,11062,250
1729588940.3715982,RIGHT_LEG,5612,-9260,13748,6817,-24292,10812,251
1729588940.372505,RIGHT_LEG,836,-3792,16196,-3718,-17772,6407,252
1729588940.4168546,RIGHT_LEG,-4628,2192,19360,1724,-14601,6141,253
1729588940.417723,RIGHT_LEG,-8704,292,17980,4211,-9636,1926,254
1729588940.4614565,RIGHT_LEG,-9984,-2012,14548,4525,-3727,-3209,255
1729588940.5070724,RIGHT_LEG,-9344,-532,13140,-2036,4760,-6643,1
1729588940.507797,RIGHT_LEG,-6436,-2000,12924,-5169,12586,-8547,2
1729588940.551471,RIGHT_LEG,-1708,-4096,11472,-7164,20016,-8552,3
1729588940.5964472,RIGHT_LEG,2296,-4972,8800,-8829,25574,-7699,4
1729588940.597182,RIGHT_LEG,7252,-5844,7276,-9075,26862,-6209,5
1729588940.6869016,RIGHT_LEG,13152,-6900,8180,-10683,27630,-6286,6
1729588940.7315776,RIGHT_LEG,18200,-8768,8904,-14072,28968,-5501,7
1729588940.7324603,RIGHT_LEG,26108,-8632,10284,-15127,30865,-2250,8
1729588940.7771618,RIGHT_LEG,28796,-5024,8512,-6348,29710,5903,9
1729588940.8663836,RIGHT_LEG,32767,-7208,9344,-446,28502,11036,10
1729588940.867159,RIGHT_LEG,32767,-8928,9612,152,29615,14119,11
1729588940.8685827,RIGHT_LEG,32767,-8396,8628,-5,29993,14500,12
1729588940.869303,RIGHT_LEG,32767,-9068,9208,-3700,29886,11206,13
1729588940.91109,RIGHT_LEG,32767,-5204,5260,-5139,27845,9375,14
1729588940.956513,RIGHT_LEG,27056,-4312,5072,-5060,25366,6865,15
1729588940.9569104,RIGHT_LEG,27848,-4264,6588,-9588,19257,1381,16
1729588941.0030825,RIGHT_LEG,28168,-988,2508,-15317,16802,-1975,17
1729588941.0474517,RIGHT_LEG,22840,1736,3592,-12143,11024,-4130,18
1729588941.092434,RIGHT_LEG,15548,-2536,3636,-9945,3357,-6653,19
1729588941.0931559,RIGHT_LEG,22388,1708,3072,-18972,1010,-12334,20
1729588941.1371574,RIGHT_LEG,32767,15456,-8924,-886,-8816,-16681,21
1729588941.1377,RIGHT_LEG,27752,5328,3532,-1955,-3693,-10677,22
1729588941.1811535,RIGHT_LEG,16844,-2024,6296,3315,-7045,-7795,23
1729588941.226668,RIGHT_LEG,22088,-10124,2544,-4654,-3091,-7947,24
1729588941.2713735,RIGHT_LEG,18996,-5472,4896,3182,-1670,-3173,25
1729588941.3613694,RIGHT_LEG,15176,-2612,7544,3804,-1138,-2878,26
1729588941.3620825,RIGHT_LEG,14296,-1316,8804,579,-1489,-3537,27
1729588941.3632977,RIGHT_LEG,14992,-2784,7288,-55,-2117,-2878,28
1729588941.3639894,RIGHT_LEG,14696,-3376,6680,651,-2578,-2203,29
1729588941.4068217,RIGHT_LEG,15296,-2492,7096,1225,-2941,-1759,30
1729588941.4514933,RIGHT_LEG,15700,-3316,6972,1172,-3511,-1650,31
1729588941.4965045,RIGHT_LEG,15624,-3364,6732,625,-3769,-1822,32
1729588941.4973695,RIGHT_LEG,15920,-2128,4580,-132,-3004,-1612,33
1729588941.541394,RIGHT_LEG,16412,-868,3680,-8,-1437,-435,34
1729588941.5865679,RIGHT_LEG,16268,-1432,4356,212,-48,676,35
1729588941.5872524,RIGHT_LEG,15368,-3128,6192,1,200,941,36
1729588941.6314082,RIGHT_LEG,15060,-3532,6852,-520,-293,420,37
1729588941.6775672,RIGHT_LEG,15308,-3036,6500,-599,-899,166,38
1729588941.6792917,RIGHT_LEG,15336,-2888,6464,-1004,-1397,-14,39
1729588941.721416,RIGHT_LEG,15920,-3028,6188,-1298,-1594,88,40
1729588941.766479,RIGHT_LEG,15544,-2880,5292,-1629,-1489,-26,41
1729588941.767333,RIGHT_LEG,15688,-2808,5044,-1466,-1266,-84,42
1729588941.8113613,RIGHT_LEG,15712,-3048,5556,-1613,-1273,-157,43
1729588941.8120503,RIGHT_LEG,15612,-2824,4856,-2695,-1183,-670,44
1729588941.8563495,RIGHT_LEG,15996,-2396,4184,-2116,-558,-121,45
1729588941.9013548,RIGHT_LEG,15752,-2824,4940,-1236,-180,431,46
1729588941.9020448,RIGHT_LEG,15908,-2912,5168,-1225,-78,435,47
1729588941.946438,RIGHT_LEG,15696,-3140,5364,-916,-94,522,48
1729588941.9910796,RIGHT_LEG,15700,-3480,5512,-863,-109,548,49
1729588942.0366924,RIGHT_LEG,15568,-3076,5084,-595,-18,599,50
1729588942.0829303,RIGHT_LEG,15644,-3072,5080,-209,67,716,51
1729588942.0836973,RIGHT_LEG,15664,-3316,5500,-145,27,725,52
1729588942.1264074,RIGHT_LEG,15464,-3508,5572,0,-14,683,53
1729588942.1271136,RIGHT_LEG,15648,-3288,5448,-22,-54,600,54
1729588942.1720145,RIGHT_LEG,15624,-3196,5248,-266,12,621,55
1729588942.2166102,RIGHT_LEG,15564,-3300,5368,-155,53,705,56
1729588942.261814,RIGHT_LEG,15608,-3388,5448,-300,146,718,57
1729588942.2628646,RIGHT_LEG,15704,-3252,5280,-385,314,679,58
1729588942.3064768,RIGHT_LEG,15504,-3460,5424,-300,434,795,59
1729588942.35161,RIGHT_LEG,15568,-3640,5656,-488,460,651,60
1729588942.3525794,RIGHT_LEG,15440,-3844,5564,-438,450,644,61
1729588942.3965113,RIGHT_LEG,15412,-3812,5792,-384,351,571,62
1729588942.3973362,RIGHT_LEG,15600,-3420,5696,-236,270,411,63
1729588942.440733,RIGHT_LEG,15408,-3780,6192,-15,54,440,64
1729588942.486737,RIGHT_LEG,15312,-3940,5896,-157,-5,203,65
1729588942.5315657,RIGHT_LEG,15604,-3452,5652,-87,-27,160,66
1729588942.5763597,RIGHT_LEG,15488,-3772,5808,-63,-43,197,67
1729588942.5770772,RIGHT_LEG,15328,-3824,5984,-123,-62,155,68
1729588942.622484,RIGHT_LEG,15328,-3856,6004,-217,-108,123,69
