time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449584.186522,RIGHT_HAND,-10788,14320,13948,5652,9353,-4536,98
1730449584.2312503,RIGHT_HAND,-7040,13112,18200,3265,15434,-10706,100
1730449584.3218672,RIGHT_HAND,-3800,12888,19356,-8426,9202,-14827,102
1730449584.3668787,RIGHT_HAND,-2568,14536,16340,-15069,6099,-15727,104
1730449584.456204,RIGHT_HAND,-1296,15792,13376,-18569,6238,-13458,106
1730449584.5022042,RIGHT_HAND,-772,15476,10180,-16335,2333,-11187,108
1730449584.546126,RIGHT_HAND,-896,14952,8320,-12950,-933,-9426,109
1730449584.591505,RIGHT_HAND,-1904,13620,6656,-10391,-4364,-6006,110
1730449584.5922916,RIGHT_HAND,-2248,12304,6100,-7854,-4912,-3207,111
1730449584.6362607,RIGHT_HAND,-3076,10968,7164,-4517,-4564,-1314,112
1730449584.6810412,RIGHT_HAND,-4568,10364,6568,-3046,-6575,1075,113
1730449584.6818447,RIGHT_HAND,-4728,9380,8204,-1333,-3658,2119,114
1730449584.7266717,RIGHT_HAND,-6808,8692,10816,993,-3561,3513,115
1730449584.7711604,RIGHT_HAND,-10176,8848,12500,3127,-5895,1941,116
1730449584.771936,RIGHT_HAND,-13540,8060,16872,2887,-11019,3259,117
1730449584.8162796,RIGHT_HAND,-19336,7776,23820,3015,-21780,-11,118
1730449584.861224,RIGHT_HAND,-24180,6148,28752,6293,-19243,-7677,119
1730449584.861989,RIGHT_HAND,-26120,6248,32520,2320,-9022,-10146,120
1730449584.9066978,RIGHT_HAND,-24088,1548,32767,-14592,4520,-6680,121
1730449584.9512165,RIGHT_HAND,-21844,12404,31872,-27145,18315,-11398,122
1730449584.95198,RIGHT_HAND,-17656,14720,28880,-25396,29047,-10619,123
1730449584.9962728,RIGHT_HAND,-12788,13852,24852,-20060,32767,-12864,124
1730449585.0412278,RIGHT_HAND,-8760,12560,20648,-21388,32767,-14741,125
1730449585.0420063,RIGHT_HAND,-4660,12128,17308,-20626,32767,-14294,126
1730449585.086568,RIGHT_HAND,-2484,10736,13088,-15586,32767,-15026,127
1730449585.1311672,RIGHT_HAND,376,8548,8116,-10807,31607,-16028,128
1730449585.1761727,RIGHT_HAND,2740,5312,4308,-4931,26932,-14726,129
1730449585.176935,RIGHT_HAND,3512,1016,2552,1281,23653,-13110,130
1730449585.2211328,RIGHT_HAND,2484,-2044,780,3085,18547,-11555,131
1730449585.2666376,RIGHT_HAND,6100,-3812,-1408,3970,17297,-7361,132
1730449585.2674234,RIGHT_HAND,6796,-4992,-2688,2591,11499,-4137,133
1730449585.3112907,RIGHT_HAND,7164,-4992,-3692,-257,4731,1231,134
1730449585.3562253,RIGHT_HAND,5880,-4492,-2064,-1584,-2738,4813,135
1730449585.3569975,RIGHT_HAND,3184,-4196,-1256,-1389,-10633,7754,136
1730449585.401237,RIGHT_HAND,196,-2944,-1712,-3029,-18164,11358,137
1730449585.4466443,RIGHT_HAND,-2204,-2116,564,-3056,-23141,12932,138
1730449585.4474266,RIGHT_HAND,-5788,-320,3020,-1557,-27904,14366,139
1730449585.4916704,RIGHT_HAND,-7848,756,5488,329,-31266,13090,140
1730449585.5361583,RIGHT_HAND,-12644,1836,10308,4554,-32768,12958,141
1730449585.5368423,RIGHT_HAND,-13976,2028,12016,6052,-32768,11259,142
1730449585.5817661,RIGHT_HAND,-17548,2812,15976,9434,-28561,10337,143
1730449585.62675,RIGHT_HAND,-20776,2216,18660,10228,-29536,11534,144
1730449585.6275406,RIGHT_HAND,-20292,2616,19176,9768,-20077,6012,145
1730449585.6717186,RIGHT_HAND,-21812,3172,23432,8954,-15228,7806,146
1730449585.716205,RIGHT_HAND,-18940,2092,19020,5745,-8102,4809,147
1730449585.717078,RIGHT_HAND,-18108,3172,19956,3802,-2302,5338,148
1730449585.761145,RIGHT_HAND,-16028,2744,18368,2267,-2257,3048,149
1730449585.8062546,RIGHT_HAND,-13216,3344,15308,-108,1607,2384,150
1730449585.8070245,RIGHT_HAND,-12460,3816,15632,-987,973,2154,151
1730449585.8516562,RIGHT_HAND,-10312,4672,13644,-2257,-482,1281,152
1730449585.8963182,RIGHT_HAND,-9152,5672,11592,-2286,1320,1320,153
1730449585.9412863,RIGHT_HAND,-9492,5840,11444,-1740,-1287,2838,154
1730449585.9422727,RIGHT_HAND,-8048,6484,9436,-1030,-586,2659,155
1730449585.9863112,RIGHT_HAND,-7004,6308,9804,2013,6228,3412,156
1730449586.0317078,RIGHT_HAND,-7636,7096,10440,3657,1822,4435,157
1730449586.0324905,RIGHT_HAND,-6904,7760,9032,5737,1684,5063,158
1730449586.0763185,RIGHT_HAND,-6908,8164,9716,9313,5068,4533,159
1730449586.121237,RIGHT_HAND,-7232,8408,10884,9551,-541,5957,160
1730449586.1220024,RIGHT_HAND,-5704,8732,11196,9089,-386,6258,161
1730449586.1662385,RIGHT_HAND,-6316,8788,12788,10178,-96,6444,162
1730449586.2111526,RIGHT_HAND,-7108,10780,13144,8869,-7644,8051,163
1730449586.2119155,RIGHT_HAND,-6260,11456,13004,9676,-6752,6972,164
1730449586.2568107,RIGHT_HAND,-5148,11724,13784,11534,-2630,6359,165
1730449586.3012314,RIGHT_HAND,-5392,12996,14024,9550,-5729,8292,166
1730449586.3019927,RIGHT_HAND,-4392,13928,14064,8863,-7673,8500,167
1730449586.3462,RIGHT_HAND,-3928,13712,14368,11102,-6930,7697,168
1730449586.391492,RIGHT_HAND,-4336,14400,13464,8867,-10551,8933,169
1730449586.3922763,RIGHT_HAND,-4048,15912,13828,8805,-10123,8691,170
1730449586.4363167,RIGHT_HAND,-4732,15008,14332,10117,-9457,8922,171
1730449586.4812145,RIGHT_HAND,-6656,15516,12828,8097,-13809,9667,172
1730449586.482023,RIGHT_HAND,-6348,15676,12392,8556,-9117,8016,173
1730449586.5267591,RIGHT_HAND,-5156,14380,13352,8760,-3878,6556,174
1730449586.571744,RIGHT_HAND,-4224,13880,13228,6988,-5855,4892,175
1730449586.5725274,RIGHT_HAND,-4292,13672,12584,4911,-9725,3071,176
1730449586.6162486,RIGHT_HAND,-4260,13844,11884,2340,-11517,1781,177
1730449586.6613243,RIGHT_HAND,-4516,13508,11388,1741,-8992,-211,178
1730449586.7061524,RIGHT_HAND,-4264,13820,10900,-466,-6575,-938,179
1730449586.7069273,RIGHT_HAND,-3292,13976,10388,-1821,-3992,-1341,180
1730449586.7512589,RIGHT_HAND,-2640,13988,9568,-3300,-2288,-664,181
1730449586.7959893,RIGHT_HAND,-2316,14040,8776,-4581,-277,550,182
