time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589967.4103577,RIGHT_HAND,-2488,16788,-4768,-175,-2769,-2682,36
1729589967.500495,RIGHT_HAND,-6240,17612,-8724,-346,6143,-404,38
1729589967.5457711,RIGHT_HAND,-12844,15932,-4368,11544,-11591,459,40
1729589967.636436,RIGHT_HAND,-21400,10548,-780,8834,-2216,-7666,42
1729589967.6813598,RIGHT_HAND,-20348,15372,7288,517,15487,-16599,44
1729589967.7259502,RIGHT_HAND,-14568,19116,4708,-937,10399,-27982,46
1729589967.7706125,RIGHT_HAND,-12480,23704,2724,-3220,10632,-30415,47
1729589967.7714646,RIGHT_HAND,-8116,26060,1764,634,17796,-27819,48
1729589967.815551,RIGHT_HAND,-2432,22776,880,4119,19707,-22379,49
1729589967.860885,RIGHT_HAND,1540,18616,308,4606,16258,-15932,50
1729589967.8616502,RIGHT_HAND,3016,14964,-596,3436,9402,-10442,51
1729589967.9056752,RIGHT_HAND,1484,12108,-256,1760,201,-7771,52
1729589967.9510164,RIGHT_HAND,-740,10884,-1104,-285,-7693,-4989,53
1729589967.9518375,RIGHT_HAND,-3684,10396,-3052,-2525,-10731,-2437,54
1729589967.9956646,RIGHT_HAND,-5576,12008,-5900,-1256,-10628,-1258,55
1729589968.1305602,RIGHT_HAND,-6736,10860,-7476,5271,-2713,1662,56
1729589968.1313424,RIGHT_HAND,-8276,7016,-7976,2175,-4796,3752,57
1729589968.1755188,RIGHT_HAND,-10900,6736,-6496,-4527,-5210,3537,58
1729589968.1762843,RIGHT_HAND,-13536,8008,-4272,-4758,-956,4073,59
1729589968.1770487,RIGHT_HAND,-15792,8144,-5128,-1828,-2743,3530,60
1729589968.2204418,RIGHT_HAND,-19760,8472,-6632,-213,-10643,3722,61
1729589968.2211287,RIGHT_HAND,-25800,9004,-13760,1593,-14119,1496,62
1729589968.265509,RIGHT_HAND,-30984,10180,-12876,4113,-9831,-1532,63
1729589968.2662942,RIGHT_HAND,-32768,9476,-14668,6229,-3300,-4876,64
1729589968.3106816,RIGHT_HAND,-32668,10032,-12824,5948,11201,-10741,65
1729589968.3560562,RIGHT_HAND,-29336,11876,-7816,4815,14175,-14993,66
1729589968.3568707,RIGHT_HAND,-25744,14440,-5952,7607,14015,-18949,67
1729589968.4010472,RIGHT_HAND,-22100,14440,-3368,10241,16151,-20281,68
1729589968.4457097,RIGHT_HAND,-17508,13132,-4368,11122,18421,-21448,69
1729589968.4464695,RIGHT_HAND,-13064,11828,-3220,10050,21300,-21359,70
1729589968.53575,RIGHT_HAND,-8960,10508,-1504,11767,20914,-18488,71
1729589968.5806592,RIGHT_HAND,-6620,7976,-1584,14598,20354,-15081,72
1729589968.5814002,RIGHT_HAND,-3448,4660,-680,14628,21128,-13357,73
1729589968.582114,RIGHT_HAND,-992,2124,1320,13731,20061,-9941,74
1729589968.6256728,RIGHT_HAND,1260,-796,824,12196,19358,-6843,75
1729589968.6706698,RIGHT_HAND,4112,-3560,792,8960,18155,-4620,76
1729589968.6714149,RIGHT_HAND,5576,-5228,1176,4350,11426,-2209,77
1729589968.7159839,RIGHT_HAND,5936,-5732,508,-1687,3534,-342,78
1729589968.7170947,RIGHT_HAND,4620,-4728,-836,-5116,-4829,1850,79
1729589968.7642698,RIGHT_HAND,2280,-3504,-2420,-7438,-9581,4285,80
1729589968.805247,RIGHT_HAND,-456,-2984,-2980,-10216,-10319,6621,81
1729589968.8057969,RIGHT_HAND,-2756,-1892,-7768,-12421,-15109,8165,82
1729589968.8502617,RIGHT_HAND,-4828,160,-6828,-15539,-12585,7910,83
1729589968.8952768,RIGHT_HAND,-7956,1208,-7132,-12538,-19104,12087,84
1729589968.8957167,RIGHT_HAND,-11808,2068,-9840,-14111,-24743,11128,85
1729589969.0303817,RIGHT_HAND,-15436,4572,-8196,-13476,-21211,12291,86
1729589969.0754156,RIGHT_HAND,-19564,5776,-14424,-8461,-12399,13928,87
1729589969.0761318,RIGHT_HAND,-18500,5228,-10032,-8427,-1945,12458,88
1729589969.1203928,RIGHT_HAND,-19272,4860,-10588,-8519,-8616,11935,89
1729589969.121063,RIGHT_HAND,-20460,5940,-13272,-8364,-8678,9584,90
1729589969.1217384,RIGHT_HAND,-19916,6648,-9856,-6778,-4902,7696,91
1729589969.1659281,RIGHT_HAND,-20836,7148,-10984,-3264,-10288,6908,92
1729589969.1671462,RIGHT_HAND,-20024,7084,-11916,-3816,-2829,4058,93
1729589969.2579527,RIGHT_HAND,-18636,7272,-9284,-3762,-1446,3761,94
1729589969.2589412,RIGHT_HAND,-18044,7136,-10628,-1665,-949,3173,95
1729589969.3005075,RIGHT_HAND,-15696,6856,-8528,-2282,5303,1681,96
1729589969.3012102,RIGHT_HAND,-13820,7124,-8296,-2717,3069,1498,97
1729589969.3020136,RIGHT_HAND,-12364,7488,-8340,-1333,727,247,98
1729589969.345368,RIGHT_HAND,-10296,7736,-6400,-956,1045,-640,99
1729589969.3904002,RIGHT_HAND,-9428,7812,-6676,-2412,2218,518,100
1729589969.3911428,RIGHT_HAND,-9168,8636,-7748,-2754,3118,2947,101
1729589969.4355814,RIGHT_HAND,-7876,8856,-4696,-4089,12266,4406,102
1729589969.4815192,RIGHT_HAND,-5444,9668,-3768,-5233,12280,7509,103
1729589969.4831011,RIGHT_HAND,-3960,10924,-5876,-5117,7069,10651,104
1729589969.5254061,RIGHT_HAND,-4060,11772,-4980,-4333,4998,13465,105
1729589969.5705528,RIGHT_HAND,-5124,12208,-5072,-6293,-2432,15842,106
1729589969.615386,RIGHT_HAND,-7252,13556,-6676,-8817,-5783,16902,107
1729589969.6161487,RIGHT_HAND,-8508,16340,-4388,-9037,-567,16872,108
1729589969.6606913,RIGHT_HAND,-7760,18740,-2040,-7052,-2802,18188,109
1729589969.6614373,RIGHT_HAND,-8748,17852,-3736,-5191,-10703,19648,110
