time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449584.1898472,RIGHT_LEG,15076,4264,5568,158,-449,-30,53
1730449584.278164,RIGHT_LEG,15220,4032,5448,287,-640,-88,55
1730449584.323933,RIGHT_LEG,15168,4216,5316,367,-747,-238,57
1730449584.3696108,RIGHT_LEG,15076,4208,5168,449,-729,-279,59
1730449584.4589267,RIGHT_LEG,15260,4220,5040,375,-613,-309,61
1730449584.5030007,RIGHT_LEG,15256,4376,4860,377,-487,-265,62
1730449584.5037053,RIGHT_LEG,15148,4316,5012,329,-353,-241,63
1730449584.5489123,RIGHT_LEG,15116,4420,4932,270,-265,-212,64
1730449584.5930738,RIGHT_LEG,15196,4396,4904,288,-214,-98,65
1730449584.5938208,RIGHT_LEG,14976,4436,4776,216,-38,-37,66
1730449584.6390333,RIGHT_LEG,15276,4308,4740,217,109,58,67
1730449584.684053,RIGHT_LEG,15128,4292,5060,140,181,86,68
1730449584.6848745,RIGHT_LEG,15144,4588,4972,100,292,112,69
1730449584.728891,RIGHT_LEG,15248,4300,5024,-85,299,57,70
1730449584.7728913,RIGHT_LEG,15072,4252,5000,-79,408,122,71
1730449584.7735922,RIGHT_LEG,15204,4044,5576,-123,340,60,72
1730449584.8195033,RIGHT_LEG,15272,4116,5404,-411,141,-202,73
1730449584.8628879,RIGHT_LEG,15076,4172,5240,-87,150,-90,74
1730449584.8635943,RIGHT_LEG,15112,4184,5436,19,45,-163,75
1730449584.909008,RIGHT_LEG,15280,4388,5520,22,-85,-228,76
1730449584.95289,RIGHT_LEG,15036,4320,5188,112,-79,-121,77
1730449584.9535878,RIGHT_LEG,15332,4340,5312,148,-95,-36,78
1730449584.9989085,RIGHT_LEG,15064,4252,5032,239,85,73,79
1730449585.0428615,RIGHT_LEG,15164,4336,5192,384,296,229,80
1730449585.0435562,RIGHT_LEG,15160,4236,5260,492,460,291,81
1730449585.08898,RIGHT_LEG,15060,4168,5488,373,393,298,82
1730449585.1334324,RIGHT_LEG,15036,4116,5408,307,420,318,83
1730449585.13416,RIGHT_LEG,15076,4152,5556,459,478,403,84
1730449585.1789732,RIGHT_LEG,15060,4164,5508,289,425,301,85
1730449585.22294,RIGHT_LEG,15056,4148,5544,294,443,356,86
1730449585.2236407,RIGHT_LEG,15100,4056,5644,110,433,312,87
1730449585.2689798,RIGHT_LEG,15012,4084,5568,77,501,327,88
1730449585.3145459,RIGHT_LEG,15120,3976,5580,-13,523,305,89
1730449585.3579473,RIGHT_LEG,15024,3952,6052,-6,487,270,90
1730449585.3586416,RIGHT_LEG,14940,3992,5828,-119,436,221,91
1730449585.4028842,RIGHT_LEG,14872,3964,5848,-188,373,223,92
1730449585.4489737,RIGHT_LEG,14972,3988,5824,-210,290,211,93
1730449585.449672,RIGHT_LEG,14996,3808,6016,-167,260,195,94
1730449585.493906,RIGHT_LEG,14920,3712,5992,-142,192,207,95
1730449585.539506,RIGHT_LEG,15104,3620,6276,-64,97,60,96
1730449585.5839152,RIGHT_LEG,14856,3536,6108,-16,-42,-31,97
1730449585.5845995,RIGHT_LEG,14824,3660,6176,108,-214,-124,98
1730449585.5852623,RIGHT_LEG,15052,3728,6112,227,-338,-243,99
1730449585.6283846,RIGHT_LEG,15080,3620,6136,290,-484,-361,100
1730449585.6739655,RIGHT_LEG,15124,3612,6284,356,-655,-540,101
1730449585.718021,RIGHT_LEG,15104,3764,6208,382,-916,-699,102
1730449585.718818,RIGHT_LEG,15012,3924,6096,571,-983,-745,103
1730449585.76416,RIGHT_LEG,14792,4168,5848,564,-1049,-740,104
1730449585.8538966,RIGHT_LEG,15036,4240,5568,622,-1003,-588,105
1730449585.854608,RIGHT_LEG,14988,4488,5164,683,-697,-324,106
1730449585.897865,RIGHT_LEG,15112,4460,5292,596,-438,-114,107
1730449585.898533,RIGHT_LEG,15104,4256,5384,456,-162,-33,108
1730449585.8992028,RIGHT_LEG,14884,4268,5444,374,16,99,109
1730449585.943222,RIGHT_LEG,14940,4104,5508,267,22,127,110
1730449585.987852,RIGHT_LEG,15144,4264,5680,262,111,131,111
1730449585.9885375,RIGHT_LEG,15004,3920,5812,317,88,134,112
1730449586.0333261,RIGHT_LEG,15024,4172,5656,256,37,86,113
1730449586.0778823,RIGHT_LEG,15132,4124,5684,246,-2,68,114
1730449586.1228604,RIGHT_LEG,14932,4008,5692,158,-46,-59,115
1730449586.1235425,RIGHT_LEG,14964,4072,5680,305,-43,-13,116
1730449586.167871,RIGHT_LEG,15008,4016,5652,312,-69,-63,117
1730449586.2128582,RIGHT_LEG,14968,4068,5780,385,-58,-17,118
1730449586.213553,RIGHT_LEG,15112,4096,5904,302,-162,-95,119
1730449586.2589936,RIGHT_LEG,14952,4064,5612,277,-280,-128,120
1730449586.3028562,RIGHT_LEG,14916,4112,5596,261,-309,-128,121
1730449586.3035448,RIGHT_LEG,15016,4012,5728,344,-277,-116,122
1730449586.3479753,RIGHT_LEG,15168,4296,5556,342,-286,-132,123
1730449586.3486683,RIGHT_LEG,15056,4160,5532,391,-224,-42,124
1730449586.3930914,RIGHT_LEG,15084,4140,5728,338,-218,-22,125
1730449586.4378722,RIGHT_LEG,15016,4112,5688,292,-349,-89,126
1730449586.4839237,RIGHT_LEG,15068,4092,5564,317,-250,-91,127
1730449586.5288787,RIGHT_LEG,15060,4204,5640,423,-178,-42,128
1730449586.5295713,RIGHT_LEG,14984,4276,5612,331,-230,-33,129
1730449586.5733714,RIGHT_LEG,15000,4156,5700,321,-279,-25,130
1730449586.5740285,RIGHT_LEG,15064,4020,5724,366,-404,-51,131
1730449586.6179888,RIGHT_LEG,15212,4100,5836,453,-443,17,132
1730449586.6628895,RIGHT_LEG,15108,4284,5548,251,-536,-20,133
1730449586.6635814,RIGHT_LEG,15068,4008,5412,265,-435,6,134
1730449586.7079337,RIGHT_LEG,15132,3940,5396,422,-295,-2,135
1730449586.7540174,RIGHT_LEG,15020,4060,5480,481,-253,-9,136
