time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589900.317891,RIGHT_LEG,15312,-2692,6576,-456,-329,-26,113
1729589900.3630788,RIGHT_LEG,15396,-2796,6432,-465,-438,-65,115
1729589900.451645,RIGHT_LEG,15372,-2696,6300,-459,-457,-182,117
1729589900.5425298,RIGHT_LEG,15456,-2588,6232,-474,-359,-120,119
1729589900.5875893,RIGHT_LEG,15340,-3048,6408,-521,-456,-236,121
1729589900.632741,RIGHT_LEG,15348,-2760,6552,-564,-555,-425,122
1729589900.6334293,RIGHT_LEG,15356,-2748,6472,-447,-603,-491,123
1729589900.6774597,RIGHT_LEG,15452,-2412,6300,-446,-661,-554,124
1729589900.7223575,RIGHT_LEG,15556,-2444,6336,-466,-694,-398,125
1729589900.723094,RIGHT_LEG,15668,-2356,5944,-366,-643,-233,126
1729589900.768025,RIGHT_LEG,15644,-2524,6020,-150,-439,48,127
1729589900.8124912,RIGHT_LEG,15508,-2328,5908,-213,-167,127,128
1729589900.8134837,RIGHT_LEG,15504,-2336,6256,-269,66,286,129
1729589900.8573642,RIGHT_LEG,15356,-2360,6392,-289,168,399,130
1729589900.9024465,RIGHT_LEG,15588,-2472,6040,-646,156,437,131
1729589900.903276,RIGHT_LEG,15216,-2828,6632,-386,165,394,132
1729589900.947549,RIGHT_LEG,15360,-2576,6560,-670,165,335,133
1729589900.9930081,RIGHT_LEG,15452,-2616,6172,-730,139,286,134
1729589900.9937294,RIGHT_LEG,15364,-2732,6316,-718,111,241,135
1729589901.0374744,RIGHT_LEG,15424,-2768,6548,-682,-12,152,136
1729589901.0824435,RIGHT_LEG,15308,-2620,6252,-555,-24,177,137
1729589901.0831184,RIGHT_LEG,15520,-2620,6504,-446,28,237,138
1729589901.1283915,RIGHT_LEG,15408,-2908,6660,-367,24,218,139
1729589901.1731017,RIGHT_LEG,15304,-2792,6532,-454,2,162,140
1729589901.218107,RIGHT_LEG,15360,-2580,6560,-469,22,122,141
1729589901.21854,RIGHT_LEG,15304,-2488,6596,-672,50,69,142
1729589901.2622414,RIGHT_LEG,15408,-2592,6484,-560,125,215,143
1729589901.307369,RIGHT_LEG,15320,-3040,6924,-578,151,245,144
1729589901.3080842,RIGHT_LEG,15456,-2868,6768,-659,82,112,145
1729589901.3521142,RIGHT_LEG,15324,-3092,6988,-522,-36,28,146
1729589901.3975935,RIGHT_LEG,15228,-2512,6628,-452,-70,2,147
1729589901.3983278,RIGHT_LEG,15316,-2716,6572,-222,-17,118,148
1729589901.4424944,RIGHT_LEG,15200,-2864,6508,-38,47,80,149
1729589901.48746,RIGHT_LEG,15120,-2496,6712,-230,67,100,150
1729589901.4881866,RIGHT_LEG,14992,-2584,6932,-292,23,150,151
1729589901.533167,RIGHT_LEG,15076,-2716,6756,-375,-22,119,152
1729589901.5773766,RIGHT_LEG,15212,-2772,6668,-424,-119,57,153
1729589901.5781004,RIGHT_LEG,15216,-2544,7160,-581,-263,129,154
1729589901.6236494,RIGHT_LEG,15144,-2672,6652,-494,-302,165,155
1729589901.66737,RIGHT_LEG,15232,-2680,6680,-503,-246,253,156
1729589901.6680796,RIGHT_LEG,15116,-2684,6460,-455,-199,324,157
1729589901.713087,RIGHT_LEG,15288,-2824,6800,-483,-132,367,158
1729589901.7574205,RIGHT_LEG,15300,-2884,6836,-512,-146,388,159
1729589901.758136,RIGHT_LEG,15184,-2856,6868,-505,-141,386,160
