time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448331.9929512,RIGHT_HAND,-1012,14456,2092,-3029,8553,2372,7
1730448332.038017,RIGHT_HAND,-240,14740,2164,-2307,-323,3761,9
1730448332.083557,RIGHT_HAND,-1832,15560,1236,-1467,-11130,4132,11
1730448332.1729352,RIGHT_HAND,-4096,15276,1036,-437,-7666,6494,13
1730448332.2179832,RIGHT_HAND,-3984,16016,2940,-953,-4820,11414,15
1730448332.2640378,RIGHT_HAND,-4524,17652,3608,-3187,-5732,11530,17
1730448332.308018,RIGHT_HAND,-5024,17972,4172,-1810,-6294,10105,18
1730448332.3529258,RIGHT_HAND,-5628,19740,4960,-3488,-7524,8138,19
1730448332.3538632,RIGHT_HAND,-6516,22096,6104,-3529,-8068,6269,20
1730448332.3979294,RIGHT_HAND,-7416,19112,5164,1870,-6974,3074,21
1730448332.443361,RIGHT_HAND,-7488,13528,3000,3559,-4779,-762,22
1730448332.5338624,RIGHT_HAND,-7816,11520,1820,-245,-1297,-3712,23
1730448332.5345674,RIGHT_HAND,-7852,13848,2184,-5242,4470,-4370,24
1730448332.5779226,RIGHT_HAND,-7416,17332,4096,-5191,11523,-3482,25
1730448332.5786734,RIGHT_HAND,-5056,18036,6288,-1086,16010,-4253,26
1730448332.6250632,RIGHT_HAND,-3028,16036,7360,1475,14100,-6704,27
1730448332.7588632,RIGHT_HAND,-2204,14816,7220,860,8517,-9308,28
1730448332.7595913,RIGHT_HAND,-3016,15164,6180,-893,4469,-10469,29
1730448332.8029127,RIGHT_HAND,-4176,15908,6248,-1640,5217,-9995,30
1730448332.8038216,RIGHT_HAND,-4136,15400,6144,-886,8365,-8733,31
1730448332.8046744,RIGHT_HAND,-3840,14712,5876,-1444,11220,-6756,32
1730448332.805661,RIGHT_HAND,-3144,14960,5980,-2790,12909,-5076,33
1730448332.8931286,RIGHT_HAND,-2616,15148,6384,-2172,13118,-3985,34
1730448332.9380438,RIGHT_HAND,-2200,14488,5708,-1183,12020,-3275,35
1730448332.9390328,RIGHT_HAND,-2036,14632,5280,-2017,10471,-2401,36
1730448332.9398477,RIGHT_HAND,-1704,15784,5904,-1939,8660,-1281,37
1730448332.9839091,RIGHT_HAND,-1392,15572,5392,44,6139,-726,38
1730448332.9846087,RIGHT_HAND,-1428,14516,4708,270,3156,-879,39
1730448333.0280077,RIGHT_HAND,-1420,14712,4520,-575,671,-1147,40
1730448333.074051,RIGHT_HAND,-1216,18448,4512,-3138,-2190,-15,41
1730448333.1179488,RIGHT_HAND,-1088,22208,6044,-2844,-4663,2316,42
1730448333.1187227,RIGHT_HAND,-1228,21744,5392,757,-8153,3975,43
1730448333.1632411,RIGHT_HAND,-2288,17968,2284,941,-10947,3657,44
1730448333.1639144,RIGHT_HAND,-3576,16504,352,-34,-11497,2652,45
1730448333.2078881,RIGHT_HAND,-4680,16872,-108,-19,-7922,2460,46
1730448333.2978876,RIGHT_HAND,-4108,17764,1196,936,-1887,2831,47
1730448333.2985852,RIGHT_HAND,-1840,17076,2648,3579,-702,2815,48
