time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448552.446157,RIGHT_LEG,4168,1148,3036,-11391,-15934,14879,245
1730448552.4924881,RIGHT_LEG,6516,4964,3876,-7206,-18243,28102,247
1730448552.5363326,RIGHT_LEG,17920,2436,5436,-15603,-22923,32767,249
1730448552.5808897,RIGHT_LEG,27192,23204,12360,-22777,-28419,32767,251
1730448552.6271756,RIGHT_LEG,13208,26284,17696,-17473,-15353,14223,253
1730448552.717737,RIGHT_LEG,6620,17968,16416,5673,14222,-10911,255
1730448552.7621129,RIGHT_LEG,32767,-28216,-10840,32767,5212,-1586,1
1730448552.7638142,RIGHT_LEG,21168,20996,12560,-1507,7164,-18431,2
1730448552.80648,RIGHT_LEG,10496,10696,-2908,7104,9937,-11937,3
1730448552.8512845,RIGHT_LEG,15244,9340,7060,2303,3447,-9517,4
1730448552.896232,RIGHT_LEG,17896,4500,6332,153,6453,-7936,5
1730448552.8969955,RIGHT_LEG,15232,5784,5164,463,2121,-6853,6
1730448552.9417598,RIGHT_LEG,15024,5636,604,-834,2528,-5288,7
1730448552.9426427,RIGHT_LEG,16268,4360,3124,-1164,2680,-4817,8
1730448552.9861352,RIGHT_LEG,15124,6084,2680,-2393,2188,-5033,9
1730448553.077889,RIGHT_LEG,14980,6032,2608,-671,1766,-3822,10
1730448553.07861,RIGHT_LEG,15328,6180,3240,21,1929,-3429,11
1730448553.1211648,RIGHT_LEG,15036,5276,2676,-654,1478,-3638,12
1730448553.121949,RIGHT_LEG,15048,6076,2736,-852,1693,-3869,13
1730448553.1657853,RIGHT_LEG,14924,6672,2868,37,2192,-3415,14
1730448553.166598,RIGHT_LEG,15152,5832,4196,-584,2392,-4042,15
1730448553.211203,RIGHT_LEG,14912,6392,3552,-386,2795,-4321,16
1730448553.2119632,RIGHT_LEG,15140,6800,3656,-21,3227,-4319,17
1730448553.2558799,RIGHT_LEG,15712,5580,3064,-1141,3761,-5554,18
1730448553.3009923,RIGHT_LEG,15000,6368,2260,-1988,5331,-7335,19
1730448553.3017979,RIGHT_LEG,15188,6632,1848,-1593,7370,-8488,20
1730448553.3459585,RIGHT_LEG,16200,6248,2312,-1503,9245,-10205,21
1730448553.3914428,RIGHT_LEG,17444,6372,4924,-2746,10669,-11983,22
1730448553.3926072,RIGHT_LEG,23104,6808,10104,-3897,11745,-13089,23
1730448553.436891,RIGHT_LEG,24596,4480,13656,-3273,11137,-16719,24
1730448553.5265114,RIGHT_LEG,22308,3620,5908,-4130,11521,-18507,25
1730448553.5274048,RIGHT_LEG,18400,22560,6968,-2817,10795,-18963,26
1730448553.5282652,RIGHT_LEG,10628,11808,500,344,3292,-10421,27
1730448553.5712712,RIGHT_LEG,3044,2276,-380,798,1481,-3447,28
1730448553.6162255,RIGHT_LEG,5092,372,4692,-3993,-5631,3261,29
1730448553.6170225,RIGHT_LEG,3516,2564,4112,-4933,-10406,7772,30
1730448553.6615214,RIGHT_LEG,5472,3268,6932,-2620,-11678,13785,31
1730448553.7512982,RIGHT_LEG,7224,6544,7576,-1816,-14672,18468,32
1730448553.7962232,RIGHT_LEG,10696,6628,9608,-3351,-15685,20609,33
1730448553.7969954,RIGHT_LEG,13584,13448,12560,-4024,-16901,20773,34
1730448553.7977207,RIGHT_LEG,13708,17524,13560,650,-14402,18964,35
1730448553.841761,RIGHT_LEG,14456,17460,11452,1345,-10638,14832,36
1730448553.8425481,RIGHT_LEG,12024,11752,10004,-6188,-7262,7094,37
1730448553.886195,RIGHT_LEG,9432,13992,11312,-10211,-7765,-431,38
1730448553.8869936,RIGHT_LEG,8228,13532,11016,-4542,-3364,-3000,39
1730448553.9312315,RIGHT_LEG,8028,8320,12660,-2470,-500,-2677,40
1730448553.976175,RIGHT_LEG,13520,3608,9808,582,-152,634,41
1730448553.976985,RIGHT_LEG,14260,6176,6008,1585,-874,1819,42
1730448554.0217264,RIGHT_LEG,16652,5900,4012,3308,208,2137,43
1730448554.0662284,RIGHT_LEG,16412,3564,3784,762,-380,1250,44
1730448554.067028,RIGHT_LEG,15448,5288,6228,-715,-1062,870,45
1730448554.1129963,RIGHT_LEG,15436,4736,6000,-341,-1561,897,46
1730448554.1566987,RIGHT_LEG,15452,4720,5020,-20,-1830,848,47
1730448554.1574814,RIGHT_LEG,14976,5264,4176,-355,-1848,802,48
1730448554.2012398,RIGHT_LEG,15452,4916,4184,-405,-1798,1154,49
1730448554.2462628,RIGHT_LEG,15324,5028,4640,-172,-1750,1393,50
1730448554.2914639,RIGHT_LEG,15540,4048,4836,461,-1893,1569,51
1730448554.292265,RIGHT_LEG,15660,4404,4492,702,-1746,1393,52
1730448554.3362296,RIGHT_LEG,15392,3988,3720,386,-1745,1037,53
1730448554.3815634,RIGHT_LEG,15720,3696,3056,391,-1356,482,54
1730448554.382294,RIGHT_LEG,15668,3700,3092,565,-644,-126,55
1730448554.4262044,RIGHT_LEG,15708,3944,3452,543,-186,-638,56
1730448554.4716976,RIGHT_LEG,15524,4248,3912,660,137,-941,57
1730448554.4724915,RIGHT_LEG,15368,4644,4032,685,188,-828,58
1730448554.5161898,RIGHT_LEG,15284,4628,4316,753,76,-610,59
1730448554.56217,RIGHT_LEG,15368,4588,4016,731,46,-436,60
1730448554.5630128,RIGHT_LEG,15404,4672,4136,740,103,-349,61
1730448554.6961956,RIGHT_LEG,15468,4672,4060,577,-18,-379,62
1730448554.7414317,RIGHT_LEG,15420,4584,3976,581,28,-437,63
1730448554.7421763,RIGHT_LEG,15412,4672,3724,489,-17,-417,64
1730448554.7429783,RIGHT_LEG,15484,4724,3832,387,-23,-394,65
1730448554.8311753,RIGHT_LEG,15368,4828,4272,262,-58,-284,66
1730448554.8320515,RIGHT_LEG,15304,4884,4060,188,-198,-134,67
1730448554.8764145,RIGHT_LEG,15448,4728,4100,183,-284,-95,68
1730448554.8773413,RIGHT_LEG,15444,4780,3824,139,-258,-108,69
1730448554.8790283,RIGHT_LEG,15444,4720,3828,2,-212,-174,70
1730448554.9212506,RIGHT_LEG,15312,4680,3772,-41,-147,-218,71
1730448554.9661877,RIGHT_LEG,15416,4712,4140,-112,-140,-239,72
1730448554.9671888,RIGHT_LEG,15448,4724,3812,-55,-140,-287,73
1730448555.0113387,RIGHT_LEG,15364,4912,4004,105,-2,-283,74
