time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729573820.1489663,RIGHT_HAND,7956,-16192,1920,-3702,-826,-2812,202
1729573820.2344236,RIGHT_HAND,10740,-17312,2068,-9028,-4309,-7040,204
1729573820.2813675,RIGHT_HAND,11944,-12816,-1936,-17456,-12473,-11058,206
1729573820.3715281,RIGHT_HAND,11584,-12416,-5736,-16993,-20148,-14838,208
1729573820.4151943,RIGHT_HAND,10560,-10828,-7264,-23439,-24900,-13824,210
1729573820.5045235,RIGHT_HAND,6736,-7276,-9608,-23897,-20997,-10054,212
1729573820.505684,RIGHT_HAND,6036,-5948,-10700,-22795,-14339,-8055,213
1729573820.5955894,RIGHT_HAND,4776,-4892,-11500,-21072,-8325,-6777,214
1729573820.5968523,RIGHT_HAND,5612,-4596,-13388,-17870,-2145,-5939,215
1729573820.598554,RIGHT_HAND,6712,-4144,-11624,-15018,173,-6273,216
1729573820.6408656,RIGHT_HAND,6988,-2428,-11644,-12106,-2289,-6368,217
1729573820.6845455,RIGHT_HAND,5936,-1848,-9296,-9429,-7496,-5161,218
1729573820.6855137,RIGHT_HAND,3356,468,-8400,-6448,-10871,-3557,219
1729573820.730878,RIGHT_HAND,316,2016,-10040,-3092,-7942,-371,220
1729573820.8207996,RIGHT_HAND,-912,5076,-5952,6307,-4598,1358,221
1729573820.821741,RIGHT_HAND,-720,5920,-2956,120,862,11049,222
1729573820.822582,RIGHT_HAND,-4136,180,-13444,29906,13665,15094,223
1729573820.823426,RIGHT_HAND,4144,100,-13408,32767,22935,17507,224
1729573820.8656197,RIGHT_HAND,9756,-9984,-2008,32767,14483,21280,225
1729573820.9546175,RIGHT_HAND,9476,-32764,9808,32767,2629,14086,226
1729573820.9565237,RIGHT_HAND,10768,-32768,4968,32767,13726,12130,227
1729573820.9574764,RIGHT_HAND,13084,-32768,2928,-10698,5661,5845,228
1729573821.0456948,RIGHT_HAND,8388,-21180,-6804,-16338,3527,-211,229
1729573821.090816,RIGHT_HAND,8316,-12072,-7992,-3824,3809,467,230
1729573821.0917115,RIGHT_HAND,8340,-14456,-3432,7536,2895,1262,231
1729573821.0925922,RIGHT_HAND,7216,-19092,-1712,7416,2613,1395,232
1729573821.1357672,RIGHT_HAND,4512,-16784,-2884,5247,2583,2444,233
1729573821.180818,RIGHT_HAND,5068,-14404,-6816,10826,8790,3759,234
1729573821.1817656,RIGHT_HAND,5492,-14924,-3208,22701,9856,4023,235
1729573821.2706647,RIGHT_HAND,7720,-17920,332,26124,9986,4030,236
1729573821.314499,RIGHT_HAND,8940,-21804,4492,24105,8766,2787,237
1729573821.3153074,RIGHT_HAND,10224,-23540,4860,17299,5691,1522,238
1729573821.3160677,RIGHT_HAND,10272,-27756,3420,1503,-2645,-2762,239
1729573821.360702,RIGHT_HAND,10380,-26976,-6556,-17395,2100,-8667,240
1729573821.3615413,RIGHT_HAND,13276,-19816,-6140,-25142,3394,-14881,241
1729573821.4057126,RIGHT_HAND,15940,-16572,-8052,-26360,2924,-21928,242
1729573821.4956264,RIGHT_HAND,19348,-17868,-12764,-28441,2882,-29570,243
1729573821.496781,RIGHT_HAND,21812,-14824,-11656,-32768,-3024,-30817,244
1729573821.540857,RIGHT_HAND,20584,-12024,-9640,-32333,-12700,-32768,245
1729573821.541755,RIGHT_HAND,19912,-12064,-12748,-32768,-22544,-32768,246
1729573821.5426283,RIGHT_HAND,17608,-12964,-13232,-32768,-22662,-32768,247
1729573821.5858817,RIGHT_HAND,17456,-10732,-11196,-32768,-25041,-32768,248
1729573821.7205222,RIGHT_HAND,16176,-6992,-11296,-32768,-32768,-32768,249
1729573821.7213697,RIGHT_HAND,10124,-4204,-6432,-32768,-32768,-32768,250
1729573821.7221544,RIGHT_HAND,6528,-2168,-4236,-32768,-32768,-29131,251
1729573821.7228894,RIGHT_HAND,4240,3188,-5616,-32768,-32768,-23540,252
1729573821.7236376,RIGHT_HAND,2196,7744,-4620,-32768,-32768,-20056,253
1729573821.7657099,RIGHT_HAND,4408,6156,-5400,-32768,-32768,-12620,254
1729573821.810673,RIGHT_HAND,1592,11844,9880,-32768,-26372,-10503,255
1729573821.8115144,RIGHT_HAND,-4300,10584,2192,-32768,-19726,-9254,1
1729573821.8557363,RIGHT_HAND,-1772,11744,7572,-25742,-15333,-7772,2
1729573821.9455237,RIGHT_HAND,-5276,10284,10328,-19690,-10255,-6403,3
1729573821.990707,RIGHT_HAND,-5248,10916,11316,-15924,-8272,-4742,4
1729573821.9915113,RIGHT_HAND,-6336,10880,13424,-10900,-5812,-3078,5
1729573821.9922945,RIGHT_HAND,-7448,10724,17876,-4826,-5828,-742,6
