time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729573758.5189562,RIGHT_LEG,16156,2620,4052,592,-172,288,57
1729573758.6077087,RIGHT_LEG,15976,2516,3092,1904,832,578,59
1729573758.6549134,RIGHT_LEG,15808,2640,3240,769,2447,485,61
1729573758.7875392,RIGHT_LEG,15740,2288,2940,5,4458,288,63
1729573758.8316326,RIGHT_LEG,14760,2952,3288,-439,8507,433,65
1729573758.8319397,RIGHT_LEG,14232,2032,5556,65,9194,660,66
1729573758.8322496,RIGHT_LEG,14480,1652,7148,-1341,8674,149,67
1729573758.8789,RIGHT_LEG,14044,2432,5920,-2846,8800,-109,68
1729573758.9228137,RIGHT_LEG,13544,1972,8408,-753,8940,572,69
1729573758.9688475,RIGHT_LEG,13832,3892,9388,-945,8294,1308,70
1729573759.0128574,RIGHT_LEG,13600,1316,9784,-787,7543,1355,71
1729573759.058916,RIGHT_LEG,12788,1804,11132,-989,7148,879,72
1729573759.1037955,RIGHT_LEG,13384,888,10376,-2263,6268,399,73
1729573759.104963,RIGHT_LEG,13916,1476,11280,-2063,4994,753,74
1729573759.192779,RIGHT_LEG,12648,1564,10392,-2264,4222,821,75
1729573759.1939318,RIGHT_LEG,12688,928,10596,-1594,3550,1177,76
1729573759.1948147,RIGHT_LEG,12600,804,11216,-1363,3156,1138,77
1729573759.1956956,RIGHT_LEG,12488,696,10716,-1307,2884,898,78
1729573759.2382398,RIGHT_LEG,12232,552,11496,-882,2858,539,79
1729573759.2839015,RIGHT_LEG,12240,124,11328,-382,2382,274,80
1729573759.3279786,RIGHT_LEG,11564,588,11164,-130,2255,-118,81
1729573759.3289757,RIGHT_LEG,11624,724,11176,238,2230,-130,82
1729573759.3727224,RIGHT_LEG,12020,848,11640,341,1949,-8,83
1729573759.4188547,RIGHT_LEG,12032,712,11700,246,1466,71,84
1729573759.419912,RIGHT_LEG,11788,680,11564,332,1468,64,85
1729573759.463896,RIGHT_LEG,11476,548,11940,661,1246,78,86
1729573759.5088875,RIGHT_LEG,11596,724,12040,643,779,19,87
1729573759.552612,RIGHT_LEG,11592,876,11920,877,488,8,88
1729573759.553779,RIGHT_LEG,11512,792,12192,1101,-10,53,89
1729573759.598908,RIGHT_LEG,11228,744,12552,1194,-820,129,90
1729573759.6438508,RIGHT_LEG,11396,536,12408,1219,-1671,35,91
1729573759.6449265,RIGHT_LEG,11424,548,12780,1463,-2694,-55,92
1729573759.6889024,RIGHT_LEG,11144,592,12792,1749,-3831,-233,93
1729573759.7326133,RIGHT_LEG,11604,640,13048,2228,-5240,-335,94
1729573759.7337763,RIGHT_LEG,11748,584,12688,2604,-6649,-570,95
1729573759.777679,RIGHT_LEG,12088,528,12220,2277,-8204,-1169,96
1729573759.8238587,RIGHT_LEG,12576,928,11720,2115,-9664,-1591,97
1729573759.8249264,RIGHT_LEG,13116,1684,10816,1309,-10710,-1936,98
1729573759.8689113,RIGHT_LEG,13412,2176,9928,516,-11399,-1840,99
1729573759.9138541,RIGHT_LEG,13600,2508,8072,-276,-11689,-1638,100
1729573759.9149232,RIGHT_LEG,13608,3288,6176,-607,-11179,-1031,101
1729573759.9577165,RIGHT_LEG,14196,3480,4516,923,-9847,193,102
1729573760.0038598,RIGHT_LEG,14388,2252,4224,3888,-8375,1217,103
1729573760.004804,RIGHT_LEG,14996,1228,4520,3295,-6925,546,104
1729573760.048756,RIGHT_LEG,15056,2224,3808,1656,-5715,-105,105
1729573760.0937402,RIGHT_LEG,15752,1776,3692,374,-4855,-155,106
1729573760.0945826,RIGHT_LEG,16028,2128,4028,812,-3656,-250,107
1729573760.13767,RIGHT_LEG,15856,1944,3928,-844,-3081,-677,108
1729573760.183867,RIGHT_LEG,15608,2196,3748,-1607,-2505,-982,109
1729573760.184811,RIGHT_LEG,15912,2700,3664,-1684,-1977,-788,110
1729573760.2287765,RIGHT_LEG,15832,2380,3868,-952,-1422,-547,111
1729573760.2737548,RIGHT_LEG,15992,2172,3672,-21,-1032,-394,112
1729573760.3187566,RIGHT_LEG,15980,2396,4204,343,-870,-238,113
1729573760.3195922,RIGHT_LEG,15804,2264,3948,447,-827,-234,114
1729573760.3643737,RIGHT_LEG,15904,2168,4100,728,-730,-299,115
1729573760.452621,RIGHT_LEG,15900,2120,4004,436,-676,-327,116
1729573760.4535055,RIGHT_LEG,15640,2348,3812,530,-399,-391,117
1729573760.454265,RIGHT_LEG,15716,2284,3576,683,-245,-343,118
1729573760.4550018,RIGHT_LEG,16100,2332,4412,921,-271,-313,119
1729573760.498721,RIGHT_LEG,15740,2276,4120,512,-402,-431,120
