time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729574438.2862844,RIGHT_HAND,1044,16140,3728,-1033,-747,617,8
1729574438.2877815,RIGHT_HAND,3292,15432,2528,473,-4502,738,10
1729574438.3762221,RIGHT_HAND,6008,14348,2632,3078,-14180,-376,12
1729574438.4217474,RIGHT_HAND,4700,15924,5056,2960,-22721,808,14
1729574438.4232967,RIGHT_HAND,1532,15540,5776,11540,-23506,1836,16
1729574438.5545664,RIGHT_HAND,1968,11924,2792,8676,-25544,-301,18
1729574438.5554128,RIGHT_HAND,2172,10676,4832,11134,-30486,-1821,19
1729574438.600397,RIGHT_HAND,-556,9944,7808,12391,-32768,-2262,20
1729574438.6012444,RIGHT_HAND,-3460,11324,9924,8409,-32768,-4046,21
1729574438.6457198,RIGHT_HAND,-3544,12716,14384,8610,-32768,-8140,22
1729574438.6465244,RIGHT_HAND,-5100,9020,16496,18236,-27039,-13998,23
1729574438.6472719,RIGHT_HAND,-6140,6464,17120,19313,-24768,-14717,24
1729574438.648017,RIGHT_HAND,-5028,6628,17880,9942,-21778,-9207,25
1729574438.735708,RIGHT_HAND,-3716,7740,23516,-9569,-10295,-342,26
1729574438.7365465,RIGHT_HAND,-4224,10960,24856,-26454,-8627,6688,27
1729574438.7897606,RIGHT_HAND,-4624,17160,26116,-32768,-3290,11487,28
1729574438.8255942,RIGHT_HAND,-1368,22972,29756,-32768,3989,11599,29
1729574438.915701,RIGHT_HAND,-716,28320,32767,-32768,-5292,6551,30
1729574438.9165003,RIGHT_HAND,-1676,32767,32767,-32768,-16663,2490,31
1729574438.91728,RIGHT_HAND,-4924,32767,32767,-32768,-18999,2884,32
1729574439.0057034,RIGHT_HAND,-9224,32767,32767,-32768,-14233,9508,33
1729574439.0065384,RIGHT_HAND,-14780,32767,26704,-32768,-278,16214,34
1729574439.0507514,RIGHT_HAND,-12340,32767,22876,-32768,20636,18020,35
1729574439.0954702,RIGHT_HAND,-4224,32767,19980,-28297,32630,14901,36
1729574439.0965176,RIGHT_HAND,564,29432,10736,-15971,31631,11752,37
1729574439.1855168,RIGHT_HAND,1008,25580,5080,-6456,25355,12715,38
1729574439.1863158,RIGHT_HAND,2488,21108,6632,-2648,24327,12906,39
1729574439.1870723,RIGHT_HAND,740,19388,7144,4618,16913,15794,40
1729574439.2396743,RIGHT_HAND,-4948,17884,5916,10366,19249,22557,41
1729574439.24048,RIGHT_HAND,-7324,16016,9020,13914,32767,28375,42
1729574439.241267,RIGHT_HAND,-5496,16224,13616,16341,32767,32767,43
1729574439.3207116,RIGHT_HAND,-6208,13792,11196,16318,32767,32767,44
1729574439.4104877,RIGHT_HAND,-9672,14256,10144,9686,32767,32767,45
1729574439.411314,RIGHT_HAND,-8072,13500,5580,3173,32767,32767,46
1729574439.41208,RIGHT_HAND,-6080,14568,5652,-4184,23207,32509,47
1729574439.4557304,RIGHT_HAND,-10240,18552,-312,-5772,13018,28235,48
1729574439.456584,RIGHT_HAND,-7992,18660,1136,-8028,10733,24030,49
1729574439.5007288,RIGHT_HAND,-5960,17620,5200,-691,7407,17218,50
1729574439.5457168,RIGHT_HAND,-9404,15032,-6412,-327,-2076,16189,51
1729574439.5465548,RIGHT_HAND,-8820,16000,-1540,-13467,3632,12896,52
1729574439.547364,RIGHT_HAND,-3252,15316,3792,-9565,-1746,7368,53
1729574439.6357388,RIGHT_HAND,-4424,13628,356,1289,-9618,2608,54
1729574439.6366072,RIGHT_HAND,-8340,11672,-5276,2086,-13012,1990,55
1729574439.6817238,RIGHT_HAND,-7788,11468,-2300,-5009,-4036,2628,56
1729574439.682577,RIGHT_HAND,-5012,11856,-752,-5616,-1072,3328,57
1729574439.7717395,RIGHT_HAND,-4068,12152,692,-2450,-4981,3921,58
1729574439.8617303,RIGHT_HAND,-4596,12876,1332,-2855,-7444,4187,59
1729574439.8625402,RIGHT_HAND,-4028,14160,2848,-4036,-7430,2663,60
1729574439.8632972,RIGHT_HAND,-2760,15324,4180,-3957,-6276,-1306,61
1729574439.8640552,RIGHT_HAND,-2368,15636,2916,-52,-5825,-3992,62
1729574439.9057338,RIGHT_HAND,-4256,15416,-80,-915,-3077,-2910,63
1729574439.9065483,RIGHT_HAND,-3120,15188,-104,-6964,4474,-1339,64
1729574439.9073536,RIGHT_HAND,220,16224,3448,-7523,7352,-304,65
1729574439.950529,RIGHT_HAND,1828,17332,4356,-3061,4985,-1347,66
1729574439.9944274,RIGHT_HAND,2600,16036,4164,2625,2699,-2929,67
1729574439.995297,RIGHT_HAND,2476,14756,4044,2389,1353,-3321,68
1729574440.131766,RIGHT_HAND,2152,14948,4732,-1552,-1704,-1979,69
1729574440.1755223,RIGHT_HAND,1404,15928,5680,-2369,-3789,-1833,70
1729574440.1763382,RIGHT_HAND,288,16396,5912,-831,-4266,-1879,71
1729574440.177108,RIGHT_HAND,-612,15772,5436,-909,-2485,-1353,72
1729574440.221715,RIGHT_HAND,-760,15836,5216,-2128,-238,-377,73
1729574440.222534,RIGHT_HAND,-564,16240,5364,-1810,1545,-117,74
1729574440.223344,RIGHT_HAND,-588,16044,5172,-995,2078,-262,75
1729574440.3119946,RIGHT_HAND,-456,15948,5268,-1321,1972,-433,76
1729574440.313618,RIGHT_HAND,-156,16288,5132,-1390,1681,-730,77
1729574440.3557463,RIGHT_HAND,152,16076,5048,-253,1398,-953,78
1729574440.400571,RIGHT_HAND,76,15536,4880,329,931,-894,79
1729574440.5354378,RIGHT_HAND,-284,15476,4480,-517,391,-205,80
1729574440.5362601,RIGHT_HAND,-532,15868,4796,-1099,451,151,81
1729574440.5370293,RIGHT_HAND,-512,16268,5196,-562,957,72,82
1729574440.5380645,RIGHT_HAND,-420,16188,5116,413,1323,-256,83
1729574440.538864,RIGHT_HAND,-484,15872,4700,192,1291,-293,84
1729574440.5396574,RIGHT_HAND,-616,15812,4516,-493,1051,-245,85
1729574440.5810807,RIGHT_HAND,-440,15972,4924,-606,791,-329,86
1729574440.67045,RIGHT_HAND,-188,15792,5048,-12,84,-796,87
1729574440.6713176,RIGHT_HAND,-128,15816,5308,247,-1108,-1255,88
1729574440.7604733,RIGHT_HAND,-564,15680,5196,332,-1941,-1515,89
1729574440.7612963,RIGHT_HAND,-812,15740,4832,162,-1794,-1562,90
1729574440.7620652,RIGHT_HAND,-1148,15712,5124,-237,-1043,-1288,91
1729574440.804633,RIGHT_HAND,-1168,15764,4816,-449,101,-654,92
