time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729574664.2964394,RIGHT_LEG,15208,2308,5412,-1746,-315,1606,120
1729574664.4313555,RIGHT_LEG,15172,1536,6268,-1603,429,2207,122
1729574664.476463,RIGHT_LEG,15540,1316,6640,-2505,-572,2160,124
1729574664.4790442,RIGHT_LEG,17396,-2248,12208,-6225,51,1770,126
1729574664.6126,RIGHT_LEG,4940,11568,29640,-26604,5543,-9664,128
1729574664.6141062,RIGHT_LEG,7796,11556,29648,-32768,17689,-15939,129
1729574664.6565104,RIGHT_LEG,5348,12292,28248,-26027,27926,-15199,130
1729574664.6576169,RIGHT_LEG,5404,8500,24092,-12201,32767,-11566,131
1729574664.658617,RIGHT_LEG,3888,10260,16236,-6005,32767,-13045,132
1729574664.7015429,RIGHT_LEG,2972,9344,12324,228,32767,-13784,133
1729574664.746609,RIGHT_LEG,5412,6072,10560,-1199,30377,-17674,134
1729574664.8366575,RIGHT_LEG,6048,5524,10264,965,24712,-18147,135
1729574664.83789,RIGHT_LEG,6800,6036,10276,2677,19218,-17827,136
1729574664.8392823,RIGHT_LEG,6856,6348,10496,6812,12943,-16058,137
1729574664.8403995,RIGHT_LEG,8968,6676,11772,10094,5846,-14297,138
1729574664.8833168,RIGHT_LEG,10044,5984,11676,9067,-2188,-13369,139
1729574664.9716728,RIGHT_LEG,13956,5576,12908,4703,-8669,-11786,140
1729574665.0634685,RIGHT_LEG,18496,2344,16792,-307,-9979,-10150,141
1729574665.0646722,RIGHT_LEG,20608,6232,13596,-9557,-6403,-10830,142
1729574665.1066258,RIGHT_LEG,14396,-4772,6660,-2664,-6034,-2250,143
1729574665.1075375,RIGHT_LEG,17008,8452,8448,-3597,-10255,-4021,144
1729574665.1085374,RIGHT_LEG,18760,2892,21776,969,-1468,582,145
1729574665.1094685,RIGHT_LEG,16556,-136,11600,961,-502,385,146
1729574665.1525986,RIGHT_LEG,15564,104,16032,-1368,1643,99,147
1729574665.15379,RIGHT_LEG,13676,6236,17296,1747,4248,466,148
1729574665.287664,RIGHT_LEG,14636,3916,16096,2368,5366,1282,149
1729574665.28967,RIGHT_LEG,14800,2480,16280,2994,6285,2332,150
1729574665.2908268,RIGHT_LEG,12660,4812,16532,2720,6969,2252,151
1729574665.3317099,RIGHT_LEG,10792,3180,16008,3909,6636,4707,152
1729574665.3336663,RIGHT_LEG,7296,3904,14064,4260,5053,6183,153
1729574665.3348267,RIGHT_LEG,7068,3640,11120,5539,-458,6956,154
1729574665.3768697,RIGHT_LEG,4432,4320,19316,2237,2951,6625,155
1729574665.4229188,RIGHT_LEG,10716,6676,14432,-4624,113,5475,156
1729574665.5576313,RIGHT_LEG,7452,4412,11808,-6845,-2376,7502,157
1729574665.602902,RIGHT_LEG,8100,2192,12896,-9132,-4970,9721,158
1729574665.6038141,RIGHT_LEG,6084,4088,13492,-8087,-7401,12990,159
1729574665.6046534,RIGHT_LEG,5440,6236,11828,-3145,-10571,16213,160
1729574665.605517,RIGHT_LEG,6156,4616,10784,-900,-14271,18612,161
1729574665.6466823,RIGHT_LEG,6244,5464,11628,-1870,-18253,18266,162
1729574665.7366712,RIGHT_LEG,7708,5496,11564,-1472,-21576,17885,163
1729574665.7376716,RIGHT_LEG,6364,6580,10240,1599,-23997,16981,164
1729574665.7385294,RIGHT_LEG,7372,6496,11940,5572,-26587,14680,165
1729574665.73939,RIGHT_LEG,8472,7860,13716,9408,-28454,13060,166
1729574665.7815924,RIGHT_LEG,8712,9720,15808,16114,-26955,13932,167
1729574665.8265269,RIGHT_LEG,10172,7840,17660,23076,-23253,15896,168
1729574665.9624207,RIGHT_LEG,10572,9524,17496,20213,-18606,12015,169
1729574665.963261,RIGHT_LEG,7844,8788,19144,15671,-12624,5412,170
1729574666.0075617,RIGHT_LEG,8084,7784,15772,11679,-6396,620,171
1729574666.0085185,RIGHT_LEG,11140,7432,14588,8163,-1949,-1567,172
1729574666.009413,RIGHT_LEG,23576,4308,3844,4517,-528,-803,173
1729574666.0526125,RIGHT_LEG,15348,5048,5008,-6174,479,-3670,174
1729574666.053521,RIGHT_LEG,15580,1176,5692,8949,2733,1819,175
1729574666.0544064,RIGHT_LEG,14808,976,6632,2866,640,-830,176
1729574666.0979025,RIGHT_LEG,14292,252,9040,2641,-112,-599,177
1729574666.1865103,RIGHT_LEG,15616,584,8168,1829,-202,-359,178
1729574666.1875808,RIGHT_LEG,15480,236,6188,1587,-170,-716,179
1729574666.1883614,RIGHT_LEG,15260,808,6352,1204,-195,-1158,180
1729574666.1891146,RIGHT_LEG,15060,1800,6108,923,-157,-1108,181
1729574666.232429,RIGHT_LEG,15508,1512,5296,609,-211,-1130,182
1729574666.2777429,RIGHT_LEG,15364,1352,6496,453,-387,-1155,183
1729574666.3227122,RIGHT_LEG,15268,1816,6100,454,-296,-1091,184
1729574666.4124804,RIGHT_LEG,15248,1968,6236,937,-179,-788,185
1729574666.4135003,RIGHT_LEG,15072,1860,6088,1013,23,-682,186
1729574666.4576828,RIGHT_LEG,15148,1928,6056,860,-14,-558,187
1729574666.4584706,RIGHT_LEG,15124,1984,6060,1119,380,-344,188
1729574666.4592388,RIGHT_LEG,15060,1916,5988,438,428,-402,189
1729574666.5027266,RIGHT_LEG,15104,1956,6212,827,435,-195,190
1729574666.5476904,RIGHT_LEG,15172,1736,6684,722,265,-214,191
1729574666.5485218,RIGHT_LEG,15272,1780,6580,529,19,-158,192
1729574666.6815934,RIGHT_LEG,15232,2124,6476,361,-128,-163,193
1729574666.7269497,RIGHT_LEG,15180,2088,6192,68,-158,-201,194
1729574666.7272155,RIGHT_LEG,15152,1876,6448,327,-15,-116,195
1729574666.727455,RIGHT_LEG,15036,1740,6396,447,84,-103,196
1729574666.7721062,RIGHT_LEG,15188,1968,6212,552,161,-110,197
1729574666.7723868,RIGHT_LEG,15232,2120,6268,707,224,-56,198
1729574666.7726483,RIGHT_LEG,15068,2104,6320,706,348,-54,199
1729574666.9074934,RIGHT_LEG,15088,2088,6688,622,309,-81,200
1729574666.9085267,RIGHT_LEG,14944,1896,6444,573,314,-121,201
1729574666.9514878,RIGHT_LEG,15020,1992,6464,508,289,-193,202
1729574666.9522786,RIGHT_LEG,14940,2120,6756,602,288,-150,203
