time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729575159.3119493,RIGHT_HAND,-1388,18008,5496,-1792,582,-1435,105
1729575159.3965323,RIGHT_HAND,-2348,21796,-2576,2162,2447,-1921,107
1729575159.4423602,RIGHT_HAND,-2540,29884,-6788,11395,1228,-2854,109
1729575159.4877691,RIGHT_HAND,-3260,29224,-5776,16509,-9102,-7775,111
1729575159.5769174,RIGHT_HAND,-6568,32767,-4912,22536,-8279,-10132,113
1729575159.6223996,RIGHT_HAND,-7452,32767,-548,28498,-3250,-14575,115
1729575159.6675282,RIGHT_HAND,-7280,32767,1112,32358,354,-16951,116
1729575159.6686852,RIGHT_HAND,-4492,32767,4784,32767,1397,-18004,117
1729575159.7566397,RIGHT_HAND,-2860,28500,5996,32767,1189,-19969,118
1729575159.759492,RIGHT_HAND,-3060,23256,5808,32767,508,-20255,119
1729575159.7606666,RIGHT_HAND,-1972,18104,8160,32010,326,-20915,120
1729575159.801616,RIGHT_HAND,836,12412,8348,31801,-1557,-23786,121
1729575159.8476443,RIGHT_HAND,1040,8200,8564,28945,-1614,-23900,122
1729575159.8488102,RIGHT_HAND,228,4532,6084,27094,-885,-23148,123
1729575159.8936727,RIGHT_HAND,480,-2312,5840,27230,-384,-21859,124
1729575159.9364996,RIGHT_HAND,1460,-5904,9752,24079,5684,-19732,125
1729575159.9376674,RIGHT_HAND,1624,-4056,3012,22071,925,-17175,126
1729575159.9816928,RIGHT_HAND,2132,-9028,6428,22749,1530,-14238,127
1729575160.0278523,RIGHT_HAND,5088,-8248,-1588,21083,8595,-10164,128
1729575160.028909,RIGHT_HAND,984,-13260,4836,-1206,1424,-2563,129
1729575160.072839,RIGHT_HAND,3940,-8556,1928,-14842,2035,4801,130
1729575160.1179757,RIGHT_HAND,440,-6716,-76,-23704,-2666,9221,131
1729575160.20684,RIGHT_HAND,-592,-3584,132,-27302,-2455,11842,132
1729575160.2081115,RIGHT_HAND,-1900,-1104,-264,-25866,-1811,11343,133
1729575160.2093842,RIGHT_HAND,-2764,-1044,-184,-28725,-89,13137,134
1729575160.2528348,RIGHT_HAND,-4264,3612,-2036,-31197,-2083,15380,135
1729575160.253903,RIGHT_HAND,-4804,3320,-1776,-32768,-4239,19078,136
1729575160.2965934,RIGHT_HAND,-8124,10092,-4052,-32768,-592,22105,137
1729575160.3428404,RIGHT_HAND,-3532,17484,-3364,-32768,-7650,22780,138
1729575160.3439124,RIGHT_HAND,-1208,19812,7628,-32604,-22166,16973,139
1729575160.387872,RIGHT_HAND,-3740,20264,1640,-26124,-15326,14949,140
1729575160.4325507,RIGHT_HAND,-8712,24352,-40,-16776,-7703,11105,141
1729575160.4337015,RIGHT_HAND,-9344,21316,112,-23554,-9452,13441,142
1729575160.476646,RIGHT_HAND,-7876,26212,4024,-27774,-9965,16960,143
1729575160.522816,RIGHT_HAND,-7692,29032,2976,-23851,-8962,15272,144
1729575160.5237522,RIGHT_HAND,-8708,29136,1588,-17544,-5102,12179,145
1729575160.5678759,RIGHT_HAND,-9008,28636,1480,-19594,-4219,12870,146
1729575160.6576223,RIGHT_HAND,-8400,28048,1112,-19199,-1326,11729,147
1729575160.658757,RIGHT_HAND,-7024,27128,40,-15651,1396,7752,148
1729575160.7027926,RIGHT_HAND,-5300,24908,-472,-13557,1376,5627,149
