time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729575016.4105597,RIGHT_LEG,15756,1864,4408,100,-214,0,95
1729575016.4555452,RIGHT_LEG,15788,1864,4552,145,-198,124,97
1729575016.589447,RIGHT_LEG,15844,1728,4588,161,-444,258,99
1729575016.5913084,RIGHT_LEG,15868,1764,4316,236,-654,170,101
1729575016.6339133,RIGHT_LEG,15936,1576,4236,552,-607,64,103
1729575016.6785185,RIGHT_LEG,15940,1436,4300,644,-537,-26,104
1729575016.7249444,RIGHT_LEG,15980,1760,4104,657,-495,-139,105
1729575016.7252352,RIGHT_LEG,15860,1700,3940,682,-365,-191,106
1729575016.8143587,RIGHT_LEG,15948,1656,4524,536,-399,-356,107
1729575016.8162334,RIGHT_LEG,15820,1804,4200,732,-311,-364,108
1729575016.8169425,RIGHT_LEG,16008,2028,4028,467,-211,-351,109
1729575016.8594127,RIGHT_LEG,15900,2100,3928,342,-93,-378,110
1729575016.9057162,RIGHT_LEG,15984,1856,4036,353,-14,-361,111
1729575016.9067538,RIGHT_LEG,15868,2040,4052,173,82,-374,112
1729575016.9495287,RIGHT_LEG,15824,1940,4100,277,170,-313,113
1729575017.038511,RIGHT_LEG,15900,1952,4328,245,221,-298,114
1729575017.0387764,RIGHT_LEG,15844,1932,4292,256,235,-233,115
1729575017.0844607,RIGHT_LEG,15980,1952,4192,231,192,-202,116
1729575017.0854928,RIGHT_LEG,15936,1992,4336,250,275,-225,117
1729575017.130575,RIGHT_LEG,15816,1988,4328,215,242,-249,118
1729575017.131624,RIGHT_LEG,15740,1972,4400,11,159,-328,119
1729575017.1744626,RIGHT_LEG,15820,2240,4304,142,131,-224,120
1729575017.2637157,RIGHT_LEG,15944,1900,4528,88,25,-325,121
1729575017.263957,RIGHT_LEG,15620,2100,4276,321,23,-248,122
1729575017.265737,RIGHT_LEG,15792,2112,4380,448,2,-148,123
1729575017.2659638,RIGHT_LEG,15704,2092,4364,523,-31,-99,124
1729575017.309691,RIGHT_LEG,15776,2108,4552,504,-9,-86,125
1729575017.3545494,RIGHT_LEG,15880,1912,4388,556,-25,-83,126
1729575017.400716,RIGHT_LEG,15812,2316,4296,655,24,-35,127
1729575017.4017472,RIGHT_LEG,15752,2100,4492,417,47,-96,128
1729575017.4905343,RIGHT_LEG,15648,2068,4244,531,99,-63,129
1729575017.5345285,RIGHT_LEG,15892,2184,4496,452,99,-54,130
1729575017.535331,RIGHT_LEG,15768,2176,4432,351,37,25,131
1729575017.5360947,RIGHT_LEG,15668,2044,4424,223,32,-8,132
1729575017.5803545,RIGHT_LEG,15876,1996,4696,130,-118,-28,133
1729575017.581376,RIGHT_LEG,15816,2176,4520,110,-247,-34,134
1729575017.6245763,RIGHT_LEG,15696,2096,4564,38,-304,-14,135
1729575017.7146208,RIGHT_LEG,15844,2044,4480,-107,-416,-63,136
1729575017.7156777,RIGHT_LEG,15860,2212,4724,-182,-514,-98,137
1729575017.7597055,RIGHT_LEG,15748,2248,4496,254,-448,104,138
1729575017.7614791,RIGHT_LEG,15900,1604,4576,129,-486,-105,139
1729575017.7623072,RIGHT_LEG,15768,2336,4300,144,-487,-101,140
1729575017.805755,RIGHT_LEG,15772,1932,4420,439,-417,48,141
1729575017.8495655,RIGHT_LEG,15928,2012,4332,333,-361,-47,142
1729575017.939612,RIGHT_LEG,15776,2068,4368,455,-293,-29,143
1729575017.9406977,RIGHT_LEG,15792,1996,4364,404,-271,-17,144
1729575017.9414709,RIGHT_LEG,15856,2076,4280,346,-247,-101,145
1729575017.9422328,RIGHT_LEG,15844,2024,4264,325,-166,-108,146
1729575017.98573,RIGHT_LEG,15752,2100,4388,275,-145,-77,147
1729575018.0296223,RIGHT_LEG,15840,2156,4316,230,-147,-71,148
1729575018.075802,RIGHT_LEG,15828,2064,4344,194,-140,-59,149
1729575018.0768027,RIGHT_LEG,15760,2160,4276,139,-141,-6,150
1729575018.16477,RIGHT_LEG,15852,2004,4196,151,-136,-40,151
1729575018.1664433,RIGHT_LEG,15792,2020,4332,201,-141,-42,152
1729575018.1675613,RIGHT_LEG,15664,2072,4388,255,-148,-30,153
1729575018.2095404,RIGHT_LEG,15804,2048,4324,251,-186,-25,154
1729575018.2556329,RIGHT_LEG,15840,2116,4332,223,-207,-10,155
1729575018.2566738,RIGHT_LEG,15856,1992,4316,278,-204,-34,156
1729575018.29954,RIGHT_LEG,15876,2104,4172,298,-174,4,157
1729575018.3895056,RIGHT_LEG,15876,2056,4256,310,-162,43,158
1729575018.3905303,RIGHT_LEG,15696,2048,4264,294,-122,36,159
1729575018.4344804,RIGHT_LEG,15808,2000,4332,279,-118,25,160
1729575018.4353485,RIGHT_LEG,15876,2148,4516,299,-133,29,161
1729575018.4807115,RIGHT_LEG,15824,1992,4420,263,-132,19,162
1729575018.481736,RIGHT_LEG,15936,2100,4356,312,-130,39,163
1729575018.5245602,RIGHT_LEG,15832,2056,4200,243,-182,78,164
1729575018.6145036,RIGHT_LEG,15824,2004,4464,295,-222,52,165
1729575018.6154988,RIGHT_LEG,15796,2032,4336,294,-224,87,166
1729575018.6162496,RIGHT_LEG,15880,1980,4244,260,-235,41,167
1729575018.6169784,RIGHT_LEG,15896,1976,4124,235,-216,30,168
1729575018.6606832,RIGHT_LEG,15948,2056,4188,219,-156,31,169
1729575018.7045403,RIGHT_LEG,15864,1892,4180,211,-58,19,170
1729575018.7500925,RIGHT_LEG,15828,2080,4200,233,19,32,171
1729575018.750411,RIGHT_LEG,15944,1952,4312,232,42,28,172
1729575018.8396451,RIGHT_LEG,15884,1968,4336,172,39,8,173
1729575018.8413482,RIGHT_LEG,15880,1956,4512,143,-4,35,174
1729575018.8421366,RIGHT_LEG,15792,2004,4348,185,-35,38,175
1729575018.8847072,RIGHT_LEG,15824,1912,4448,130,-74,25,176
1729575018.9744875,RIGHT_LEG,15860,1876,4384,102,-76,8,177
1729575018.9755814,RIGHT_LEG,15912,1952,4404,156,-97,13,178
