time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729576268.4356341,RIGHT_HAND,-1656,15048,4804,-1672,616,161,173
1729576268.4816213,RIGHT_HAND,-3548,18540,3568,-2708,307,-145,175
1729576268.5267458,RIGHT_HAND,-7096,23400,2384,3051,1122,-7658,177
1729576268.5717103,RIGHT_HAND,-14804,28580,-4748,6086,4493,-16408,179
1729576268.6626732,RIGHT_HAND,-15620,31748,-1060,17558,8645,-29278,181
1729576268.7074618,RIGHT_HAND,-22500,28856,204,21957,11570,-32768,183
1729576268.7503386,RIGHT_HAND,-23116,29116,3480,24173,16747,-32768,184
1729576268.751345,RIGHT_HAND,-22648,22896,5592,25864,24368,-32768,185
1729576268.7954812,RIGHT_HAND,-21332,19908,4244,27472,29565,-32768,186
1729576268.7964606,RIGHT_HAND,-17052,14884,7356,26892,32767,-32768,187
1729576268.8858883,RIGHT_HAND,-13876,11184,6992,25785,32767,-32768,188
1729576268.8869305,RIGHT_HAND,-11636,7916,8008,24893,32767,-32768,189
1729576268.9304764,RIGHT_HAND,-7936,5552,4084,24024,32767,-32768,190
1729576268.931349,RIGHT_HAND,-4376,3748,4900,24391,32767,-32768,191
1729576268.9755685,RIGHT_HAND,1620,352,5512,24539,32767,-31413,192
1729576268.9766502,RIGHT_HAND,2732,-1032,5404,25546,32767,-32445,193
1729576269.0208228,RIGHT_HAND,6544,-1088,3780,27613,32767,-26113,194
1729576269.0219257,RIGHT_HAND,12984,-2464,7452,29117,30609,-26627,195
1729576269.1569684,RIGHT_HAND,15080,-3608,8004,28093,25290,-25478,196
1729576269.2006552,RIGHT_HAND,16456,-3904,7956,25430,15160,-21149,197
1729576269.2014985,RIGHT_HAND,16428,-4936,8004,20420,3980,-14883,198
1729576269.2468987,RIGHT_HAND,16940,-5184,9956,13449,-1095,-9107,199
1729576269.2478786,RIGHT_HAND,17608,-4432,10832,8459,-1415,-5212,200
1729576269.3816829,RIGHT_HAND,21388,-2320,13792,8327,-2970,-1870,201
1729576269.3825667,RIGHT_HAND,27112,-1600,18992,9742,-47,-1224,202
1729576269.4264586,RIGHT_HAND,31176,-2692,23040,13829,-8872,4926,203
1729576269.427361,RIGHT_HAND,32520,-1028,28384,12988,-32300,15552,204
1729576269.4707162,RIGHT_HAND,32767,-548,31236,-15923,-10435,32767,205
1729576269.4716222,RIGHT_HAND,16328,4468,10744,-32768,-26014,32767,206
1729576269.5604806,RIGHT_HAND,-2556,11784,3436,-32768,-32066,32767,207
1729576269.5616012,RIGHT_HAND,10340,4056,15328,-32768,-32768,32767,208
1729576269.606575,RIGHT_HAND,10500,30852,23580,-32768,-1265,32767,209
1729576269.6074743,RIGHT_HAND,-6340,32767,14576,-32768,31628,32767,210
1729576269.6506453,RIGHT_HAND,-9272,32767,260,-27136,16046,32767,211
1729576269.6516438,RIGHT_HAND,5536,21376,2764,18282,32767,19767,212
1729576269.6948347,RIGHT_HAND,9968,11724,-8968,31003,23437,-8546,213
1729576269.695296,RIGHT_HAND,8032,1932,-21576,19864,25947,-15173,214
1729576269.7857254,RIGHT_HAND,14136,-7032,-19568,-2200,23089,-14754,215
1729576269.7866397,RIGHT_HAND,13040,3808,-18184,-31461,-4938,-7079,216
1729576269.8307269,RIGHT_HAND,4276,10152,-11980,-32768,-18921,-3322,217
1729576269.8317595,RIGHT_HAND,3000,13684,-12772,-32768,-22025,-2805,218
1729576269.87571,RIGHT_HAND,-6920,26332,-5056,-27459,-31320,-3805,219
1729576269.876556,RIGHT_HAND,-10788,16620,2800,-21569,-4324,-5592,220
1729576269.920786,RIGHT_HAND,-3504,15344,-6472,-18627,-11644,-3132,221
1729576269.9217274,RIGHT_HAND,-1276,16332,-2768,-19355,-9004,-1009,222
1729576270.0114152,RIGHT_HAND,524,15588,-136,-18842,-10071,-1526,223
1729576270.0125506,RIGHT_HAND,-2136,17052,-4304,-20657,-12315,2126,224
1729576270.0566518,RIGHT_HAND,-2936,19916,-1312,-28112,-19817,6980,225
1729576270.0575087,RIGHT_HAND,-2344,22628,1948,-25509,-17595,6161,226
1729576270.1007273,RIGHT_HAND,-5444,26364,-3252,-20013,-16812,7987,227
1729576270.1016488,RIGHT_HAND,-6328,25852,-2136,-20592,-18423,9389,228
1729576270.1455483,RIGHT_HAND,-4628,26200,2644,-14861,-15112,7008,229
1729576270.1466072,RIGHT_HAND,-6092,25260,1660,-11193,-16815,7089,230
1729576270.281726,RIGHT_HAND,-9204,24636,-1104,-13665,-18018,8296,231
1729576270.2826178,RIGHT_HAND,-7612,25004,312,-13641,-11156,6100,232
1729576270.3257725,RIGHT_HAND,-4352,23740,2100,-9290,-8742,2858,233
1729576270.371734,RIGHT_HAND,-3736,21968,1940,-6201,-12252,772,234
1729576270.3728197,RIGHT_HAND,-5872,19900,-540,-5720,-16289,-681,235
1729576270.4607859,RIGHT_HAND,-6140,18612,3188,-5048,-14688,-1857,236
1729576270.4617076,RIGHT_HAND,-5912,18020,3380,-5006,-12218,-1966,237
1729576270.506663,RIGHT_HAND,-5372,17380,4388,-4988,-9188,-995,238
1729576270.507568,RIGHT_HAND,-4076,17500,4556,-4592,-8155,-2364,239
1729576270.550673,RIGHT_HAND,-2852,17488,5260,-1902,-9093,-6093,240
1729576270.55153,RIGHT_HAND,-3032,16688,5344,1410,-11291,-8654,241
1729576270.5967143,RIGHT_HAND,-5168,16728,4376,2883,-10287,-7809,242
1729576270.5976143,RIGHT_HAND,-4300,14988,5612,1019,-9956,-4891,243
1729576270.685823,RIGHT_HAND,-3880,14812,5840,-1439,-7092,-1882,244
1729576270.686744,RIGHT_HAND,-3680,15584,6120,-1693,-3898,-233,245
1729576270.7306063,RIGHT_HAND,-3196,16124,5740,-208,-656,222,246
1729576270.7756314,RIGHT_HAND,-2580,15888,6316,722,2225,315,247
1729576270.776527,RIGHT_HAND,-1952,15632,6004,313,3299,707,248
1729576270.8214707,RIGHT_HAND,-1224,15860,5572,-304,3678,1049,249
1729576270.8223786,RIGHT_HAND,-504,16008,5540,-318,3591,1028,250
1729576270.9117362,RIGHT_HAND,56,15948,5488,322,2873,502,251
1729576270.9126623,RIGHT_HAND,268,15420,5500,394,1269,-8,252
1729576270.9557755,RIGHT_HAND,208,15136,5776,-334,-678,-299,253
1729576270.956644,RIGHT_HAND,-212,15196,5924,-859,-1959,-473,254
1729576271.0007465,RIGHT_HAND,-872,15256,5688,-933,-2435,-563,255
1729576271.0464914,RIGHT_HAND,-1448,15584,5944,-1053,-2292,-484,1
1729576271.0473754,RIGHT_HAND,-1716,15588,5788,-939,-1697,-340,2
