time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729576101.0367892,RIGHT_LEG,15868,4684,1276,340,-134,-182,242
1729576101.038719,RIGHT_LEG,15792,4888,1148,354,-131,-237,244
1729576101.12861,RIGHT_LEG,15852,4860,1268,169,-143,-67,246
1729576101.2633884,RIGHT_LEG,15788,4820,1424,28,-204,-103,248
1729576101.2653933,RIGHT_LEG,15888,4872,1248,210,-266,-261,250
1729576101.3086395,RIGHT_LEG,15788,5012,1196,161,-389,-302,251
1729576101.309725,RIGHT_LEG,15744,5080,1120,67,-418,-235,252
1729576101.3530989,RIGHT_LEG,15840,5052,1188,50,-354,-156,253
1729576101.4433825,RIGHT_LEG,15724,5216,1292,121,-343,-57,254
1729576101.444344,RIGHT_LEG,15676,5032,1248,158,-245,86,255
1729576101.4886787,RIGHT_LEG,15884,5080,1108,165,-274,151,1
1729576101.4896414,RIGHT_LEG,15796,4976,1068,152,-261,185,2
1729576101.5336576,RIGHT_LEG,15852,4908,1168,93,-216,235,3
1729576101.53466,RIGHT_LEG,15788,5064,1124,233,-240,252,4
1729576101.578628,RIGHT_LEG,15740,5016,1228,232,-207,275,5
1729576101.713676,RIGHT_LEG,15884,4980,1124,199,-267,276,6
1729576101.7146528,RIGHT_LEG,15712,5076,1076,55,-314,334,7
1729576101.715471,RIGHT_LEG,15808,4968,912,74,-199,400,8
1729576101.7162552,RIGHT_LEG,15964,4724,1036,-1,-149,446,9
1729576101.7171502,RIGHT_LEG,15860,4740,988,45,-41,459,10
1729576101.7585156,RIGHT_LEG,15932,4676,1056,19,-7,450,11
1729576101.801638,RIGHT_LEG,15880,4628,1172,40,-38,385,12
1729576101.8026893,RIGHT_LEG,15944,4428,1284,18,10,252,13
1729576101.8936725,RIGHT_LEG,15900,4396,1352,140,54,153,14
1729576101.938678,RIGHT_LEG,15840,4348,1284,353,63,33,15
1729576101.9395554,RIGHT_LEG,15876,4436,1268,426,113,-174,16
1729576102.0286603,RIGHT_LEG,15884,4472,1340,508,93,-392,17
1729576102.0295222,RIGHT_LEG,15916,4548,1380,460,101,-578,18
1729576102.030464,RIGHT_LEG,15832,4792,1268,457,80,-609,19
1729576102.073619,RIGHT_LEG,15952,4652,1276,511,153,-606,20
1729576102.0744863,RIGHT_LEG,15848,4636,1008,542,230,-601,21
1729576102.0753248,RIGHT_LEG,15924,4768,1252,544,202,-717,22
1729576102.162776,RIGHT_LEG,15904,4792,1608,522,98,-870,23
1729576102.208675,RIGHT_LEG,15744,5100,1396,538,110,-848,24
1729576102.2095053,RIGHT_LEG,15760,5164,1192,678,174,-711,25
1729576102.2104335,RIGHT_LEG,15744,5064,1180,793,237,-645,26
1729576102.2536092,RIGHT_LEG,15660,5264,1436,771,227,-556,27
1729576102.3436158,RIGHT_LEG,15484,5056,1432,780,252,-466,28
1729576102.3445835,RIGHT_LEG,15928,5108,1312,926,423,-465,29
1729576102.3882918,RIGHT_LEG,15660,5652,1292,975,546,-282,30
1729576102.3892305,RIGHT_LEG,15592,5648,1468,972,553,104,31
1729576102.3901045,RIGHT_LEG,15596,5396,1784,669,393,275,32
1729576102.4336257,RIGHT_LEG,15668,5340,1860,579,127,385,33
