time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590808.9880345,RIGHT_HAND,-2392,15180,6084,-1054,-2801,-1631,92
1729590809.032981,RIGHT_HAND,-5464,16428,6448,1480,-14114,-7990,94
1729590809.0800228,RIGHT_HAND,-18560,14612,6840,3758,-4051,-7523,96
1729590809.168069,RIGHT_HAND,-19584,15536,12692,-2307,10612,-10496,98
1729590809.2130916,RIGHT_HAND,-20148,16784,16068,-3218,16325,-17655,100
1729590809.261837,RIGHT_HAND,-21340,19880,19576,-7141,25616,-19495,102
1729590809.30336,RIGHT_HAND,-19476,25604,17320,-3544,32767,-18450,103
1729590809.3478906,RIGHT_HAND,-15504,20972,19184,-5203,32767,-21236,104
1729590809.3491178,RIGHT_HAND,-12564,19968,17820,-4416,32767,-22942,105
1729590809.3940167,RIGHT_HAND,-10580,17756,15460,-4786,29749,-24372,106
1729590809.4414978,RIGHT_HAND,-8892,16292,12896,-5358,26766,-24405,107
1729590809.4445233,RIGHT_HAND,-7088,15268,10652,-6217,24970,-23058,108
1729590809.483078,RIGHT_HAND,-4868,14084,6792,-7035,22927,-22586,109
1729590809.5279942,RIGHT_HAND,-1408,13232,2884,-6455,19880,-22286,110
1729590809.5291538,RIGHT_HAND,1584,10780,-1036,-1971,16080,-19619,111
1729590809.5783513,RIGHT_HAND,2048,8296,-7128,2081,10282,-14161,112
1729590809.6194215,RIGHT_HAND,1816,4760,-4056,3442,12943,-8764,113
1729590809.664348,RIGHT_HAND,1328,3820,-6928,1005,5582,-5421,114
1729590809.665475,RIGHT_HAND,-1228,3020,-7688,-2072,2573,-1099,115
1729590809.709401,RIGHT_HAND,-4220,3604,-7316,-6378,-1934,378,116
1729590809.7534661,RIGHT_HAND,-10944,5484,-6316,-8426,-4111,747,117
1729590809.7544355,RIGHT_HAND,-16124,6796,-2828,-11704,-4003,-2955,118
1729590809.7981882,RIGHT_HAND,-17072,7468,-1672,-12175,-3251,-9697,119
