time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590530.0817912,RIGHT_LEG,13808,8504,-4232,212,-89,-50,235
1729590530.1260965,RIGHT_LEG,13784,8468,-4032,185,-126,-61,237
1729590530.1702538,RIGHT_LEG,13788,8576,-4328,155,-247,149,239
1729590530.2608235,RIGHT_LEG,13688,8424,-3992,119,-478,399,241
1729590530.3047185,RIGHT_LEG,13852,8388,-4232,206,-550,435,243
1729590530.4398077,RIGHT_LEG,13928,8176,-4180,226,-575,302,244
1729590530.4406896,RIGHT_LEG,13912,8228,-4200,258,-463,132,245
1729590530.4417312,RIGHT_LEG,13940,8172,-4340,126,-376,-56,246
1729590530.44254,RIGHT_LEG,13808,8244,-4360,143,-431,-197,247
1729590530.4434452,RIGHT_LEG,13868,8264,-4360,272,-359,-308,248
1729590530.5301256,RIGHT_LEG,13680,8404,-4472,277,-230,-317,249
1729590530.5752285,RIGHT_LEG,13760,8388,-4384,243,-238,-300,250
1729590530.5763764,RIGHT_LEG,13708,8540,-4260,284,-160,-239,251
1729590530.665316,RIGHT_LEG,13744,8504,-4244,352,-181,-166,252
1729590530.7099655,RIGHT_LEG,13680,8408,-4208,409,-176,-9,253
1729590530.710896,RIGHT_LEG,13656,8504,-4360,286,-134,41,254
1729590530.7554035,RIGHT_LEG,13676,8456,-4320,311,-136,16,255
1729590530.7563133,RIGHT_LEG,13864,8424,-4212,454,-71,-34,1
1729590530.7572503,RIGHT_LEG,13764,8424,-4300,435,-59,9,2
1729590530.8000207,RIGHT_LEG,13800,8472,-4316,378,-117,-15,3
1729590530.8905375,RIGHT_LEG,13764,8388,-4524,181,-174,-37,4
1729590530.8917418,RIGHT_LEG,13772,8312,-4340,212,-98,-137,5
1729590530.934793,RIGHT_LEG,13740,8448,-4304,187,-125,-154,6
1729590530.9355614,RIGHT_LEG,13736,8420,-4200,190,-257,-103,7
1729590530.93635,RIGHT_LEG,13752,8560,-4036,211,-177,-85,8
1729590530.9798098,RIGHT_LEG,13712,8564,-4308,284,-193,30,9
1729590531.0254035,RIGHT_LEG,13720,8544,-4156,241,-256,92,10
1729590531.0263412,RIGHT_LEG,13780,8264,-4296,272,-292,102,11
1729590531.1599922,RIGHT_LEG,13792,8348,-4224,330,-233,87,12
1729590531.1617374,RIGHT_LEG,13808,8416,-4428,325,-178,93,13
1729590531.162504,RIGHT_LEG,13808,8380,-4424,296,-234,60,14
1729590531.1633127,RIGHT_LEG,13696,8412,-4272,261,-160,65,15
1729590531.2056696,RIGHT_LEG,13736,8432,-4524,220,-165,22,16
1729590531.2500343,RIGHT_LEG,13740,8280,-4448,259,-97,-54,17
1729590531.2508934,RIGHT_LEG,13948,8348,-4296,164,0,-84,18
1729590531.3388674,RIGHT_LEG,13812,8304,-4312,131,17,-142,19
1729590531.3407624,RIGHT_LEG,13764,8340,-4068,174,103,-218,20
1729590531.3415554,RIGHT_LEG,13816,8240,-4260,169,62,-240,21
1729590531.3833568,RIGHT_LEG,13820,8300,-4404,94,90,-350,22
1729590531.429847,RIGHT_LEG,13908,8432,-4240,128,67,-333,23
1729590531.4308302,RIGHT_LEG,13808,8436,-4148,61,-28,-357,24
1729590531.4748423,RIGHT_LEG,13728,8460,-4180,133,-77,-348,25
1729590531.5647967,RIGHT_LEG,13764,8548,-4104,142,-140,-309,26
1729590531.5658562,RIGHT_LEG,13692,8544,-4140,233,-259,-236,27
1729590531.5667756,RIGHT_LEG,13764,8540,-4268,152,-319,-138,28
1729590531.567599,RIGHT_LEG,13748,8524,-4268,39,-361,-112,29
1729590531.6098409,RIGHT_LEG,13764,8460,-4136,260,-282,-54,30
1729590531.654906,RIGHT_LEG,13776,8496,-3924,332,-366,-115,31
1729590531.7014525,RIGHT_LEG,13784,8528,-3976,379,-275,-149,32
1729590531.7902455,RIGHT_LEG,13684,8576,-4304,414,-126,-94,33
1729590531.7912245,RIGHT_LEG,13808,8508,-4076,428,-264,-112,34
1729590531.8353817,RIGHT_LEG,13644,8580,-4312,473,-283,-60,35
1729590531.8363504,RIGHT_LEG,13692,8768,-4184,548,-350,-16,36
1729590531.837424,RIGHT_LEG,13684,8652,-4368,611,-404,143,37
1729590531.880432,RIGHT_LEG,13620,8604,-4368,693,-367,206,38
1729590531.9701018,RIGHT_LEG,13744,8468,-4552,791,-307,273,39
1729590531.971243,RIGHT_LEG,13656,8368,-4548,730,-262,269,40
1729590532.0603633,RIGHT_LEG,13720,8360,-4536,703,-178,273,41
1729590532.0612926,RIGHT_LEG,13672,8208,-4508,670,21,90,42
1729590532.0622294,RIGHT_LEG,13644,8284,-4592,531,-3,-28,43
