time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729576909.949472,RIGHT_HAND,-7992,15092,5008,890,3756,-1273,145
1729576910.0403993,RIGHT_HAND,-5820,12720,7840,-4871,12302,-1722,147
1729576910.0864172,RIGHT_HAND,-4116,13560,13568,-12979,-2359,-6705,149
1729576910.1313412,RIGHT_HAND,-7168,13696,17596,-17085,-10970,-12053,151
1729576910.173831,RIGHT_HAND,-8216,11760,19600,-26595,-995,-8003,153
1729576910.2653632,RIGHT_HAND,-5324,11820,22144,-32768,4737,-3494,155
1729576910.26629,RIGHT_HAND,-3876,10456,22592,-32768,6034,-3198,156
1729576910.309536,RIGHT_HAND,-2352,8752,21240,-32768,7190,-2758,157
1729576910.3525274,RIGHT_HAND,-3564,7492,20048,-32768,5752,-1567,158
1729576910.353862,RIGHT_HAND,-4380,7816,16544,-32768,5187,-483,159
1729576910.3991108,RIGHT_HAND,-2832,5208,13772,-31083,6136,-393,160
1729576910.4449823,RIGHT_HAND,-2316,4056,13732,-27715,3679,-308,161
1729576910.446012,RIGHT_HAND,-3264,5172,10356,-23802,-237,-45,162
1729576910.4894795,RIGHT_HAND,-5220,2084,6044,-19401,-1351,1002,163
1729576910.5350206,RIGHT_HAND,-4608,584,10868,-14419,-4991,-1335,164
1729576910.5359807,RIGHT_HAND,-6012,2412,11372,-9277,-4598,-833,165
1729576910.5796704,RIGHT_HAND,-8172,-1036,8352,-4726,-4056,-500,166
1729576910.5805936,RIGHT_HAND,-9532,-2328,8220,-1332,-2887,-1048,167
1729576910.625111,RIGHT_HAND,-8828,-2804,7304,802,-70,-607,168
1729576910.6685276,RIGHT_HAND,-7580,-3448,9028,3194,47,-1218,169
1729576910.7139,RIGHT_HAND,-6932,-3700,10168,5827,-1608,-2823,170
1729576910.7149045,RIGHT_HAND,-6884,-3884,10048,8176,-6369,-4663,171
1729576910.7594755,RIGHT_HAND,-6820,-3756,9700,10194,-7577,-5781,172
1729576910.8043966,RIGHT_HAND,-7388,-1108,9192,10831,-6104,-6395,173
