time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729577094.6715956,RIGHT_LEG,15816,4460,1960,235,-132,-54,119
1729577094.716647,RIGHT_LEG,15896,4440,2152,146,-127,-14,121
1729577094.8068755,RIGHT_LEG,15876,4584,2176,143,-186,-16,123
1729577094.8108768,RIGHT_LEG,15828,4528,2028,218,-269,-6,125
1729577094.8517506,RIGHT_LEG,15836,4428,1996,231,-249,-22,127
1729577094.9412713,RIGHT_LEG,15788,4484,2024,325,-246,-53,128
1729577094.9417465,RIGHT_LEG,15848,4536,2152,358,-225,-67,129
1729577094.987614,RIGHT_LEG,15940,4384,2012,282,-225,-72,130
1729577094.988608,RIGHT_LEG,15808,4356,2012,411,-229,-92,131
1729577095.0318646,RIGHT_LEG,15828,4528,2020,372,-187,-96,132
1729577095.0328786,RIGHT_LEG,15804,4436,1888,424,-181,-72,133
1729577095.0767794,RIGHT_LEG,15848,4424,1916,456,-154,-75,134
1729577095.077797,RIGHT_LEG,15788,4484,1872,398,-132,-57,135
1729577095.1668499,RIGHT_LEG,15876,4456,1960,433,-77,-38,136
1729577095.1679785,RIGHT_LEG,15816,4524,1988,356,-71,-34,137
1729577095.2125287,RIGHT_LEG,15928,4424,1944,341,-36,-11,138
1729577095.2134662,RIGHT_LEG,15796,4468,1860,370,18,8,139
1729577095.2568238,RIGHT_LEG,15824,4420,2008,346,74,-16,140
1729577095.2577932,RIGHT_LEG,15896,4488,2032,405,147,40,141
1729577095.262848,RIGHT_LEG,15836,4388,2020,320,144,8,142
1729577095.3026922,RIGHT_LEG,15776,4516,2084,426,170,80,143
1729577095.3036976,RIGHT_LEG,15932,4380,2128,278,89,65,144
1729577095.3916664,RIGHT_LEG,15840,4492,2256,356,92,73,145
1729577095.4377532,RIGHT_LEG,15888,4436,2172,272,-19,19,146
1729577095.4819062,RIGHT_LEG,15708,4512,2204,323,-82,118,147
1729577095.5255985,RIGHT_LEG,15932,4288,2408,196,-189,39,148
1729577095.5267646,RIGHT_LEG,15928,4400,2100,188,-299,64,149
1729577095.5718277,RIGHT_LEG,15908,4432,1916,216,-308,85,150
1729577095.5727684,RIGHT_LEG,15856,4192,2084,242,-312,56,151
1729577095.6168535,RIGHT_LEG,15804,4528,1804,271,-188,42,152
1729577095.617864,RIGHT_LEG,15844,4392,1896,150,-155,5,153
1729577095.66183,RIGHT_LEG,15940,4324,2032,173,-122,-14,154
1729577095.6629825,RIGHT_LEG,15848,4352,2192,138,-174,-33,155
1729577095.706567,RIGHT_LEG,16036,4376,2200,151,-180,-13,156
1729577095.7517447,RIGHT_LEG,15932,4388,2084,198,-178,-35,157
1729577095.8418515,RIGHT_LEG,15872,4400,2080,244,-229,11,158
1729577095.842858,RIGHT_LEG,15920,4328,2172,252,-241,21,159
1729577095.8876345,RIGHT_LEG,15932,4304,1984,256,-245,-9,160
1729577095.8886356,RIGHT_LEG,15800,4384,2052,268,-230,-25,161
1729577095.9318087,RIGHT_LEG,15824,4344,2120,230,-244,-27,162
1729577095.9327488,RIGHT_LEG,15820,4348,1944,259,-187,-33,163
1729577095.97682,RIGHT_LEG,15820,4288,2036,217,-186,-89,164
1729577095.9779627,RIGHT_LEG,15816,4364,2052,128,-235,-143,165
1729577096.066682,RIGHT_LEG,15792,4324,2024,284,-215,-114,166
1729577096.067573,RIGHT_LEG,15828,4564,1772,-1,-353,-168,167
1729577096.1124153,RIGHT_LEG,15888,4292,1784,353,-196,-129,168
1729577096.1133025,RIGHT_LEG,15912,4376,1888,285,-133,-134,169
1729577096.1554565,RIGHT_LEG,15820,4432,2132,304,-160,-111,170
1729577096.1565042,RIGHT_LEG,15768,4312,2008,262,-186,-170,171
1729577096.201667,RIGHT_LEG,15980,4468,2008,418,-152,-139,172
1729577096.2027767,RIGHT_LEG,15884,4332,1956,369,-139,-177,173
1729577096.2917132,RIGHT_LEG,15888,4428,1928,370,-160,-144,174
1729577096.339236,RIGHT_LEG,15836,4428,1836,358,-207,-136,175
1729577096.34002,RIGHT_LEG,15896,4408,2100,340,-181,-160,176
