time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589029.9416537,RIGHT_HAND,1236,17080,132,-814,-4142,1448,222
1729589030.0318696,RIGHT_HAND,3040,18192,1088,7724,-2940,-2039,224
1729589030.0773523,RIGHT_HAND,2620,22100,3660,5511,-5315,-5408,226
1729589030.122782,RIGHT_HAND,5036,19960,5764,9447,-8984,-8387,228
1729589030.212865,RIGHT_HAND,2956,13336,2944,14167,-11061,-6369,230
1729589030.2553005,RIGHT_HAND,-2276,8632,-5160,-1062,-17585,455,232
1729589030.3009033,RIGHT_HAND,-2764,8484,-5072,-1214,-15110,1683,233
1729589030.346747,RIGHT_HAND,-5516,10248,-6588,-1172,-18165,2824,234
1729589030.347802,RIGHT_HAND,-9412,12344,-9480,-5395,-21197,3680,235
1729589030.3908052,RIGHT_HAND,-11956,13236,-10584,-5156,-14035,3865,236
1729589030.437407,RIGHT_HAND,-11996,13640,-10028,-4784,-6728,3671,237
1729589030.4384468,RIGHT_HAND,-11248,14812,-9996,-4988,-2190,3002,238
1729589030.48208,RIGHT_HAND,-9756,15252,-8508,-3685,860,1577,239
1729589030.5259326,RIGHT_HAND,-9604,15348,-7144,-3005,3064,-98,240
1729589030.5270576,RIGHT_HAND,-8944,16124,-6304,-3167,6698,-1068,241
1729589030.5722916,RIGHT_HAND,-6968,17148,-5760,-2996,10635,-1216,242
1729589030.6165082,RIGHT_HAND,-4148,16888,-3892,-606,13558,-1272,243
1729589030.6175117,RIGHT_HAND,-2012,15740,-3136,1462,13488,-1899,244
1729589030.7058802,RIGHT_HAND,-1024,15224,-3112,507,10438,-2025,245
1729589030.7081263,RIGHT_HAND,-1068,15492,-2472,-1214,8351,-1780,246
1729589030.7092,RIGHT_HAND,-804,15852,-2088,-2143,8674,-1089,247
1729589030.7515671,RIGHT_HAND,-668,16132,-1960,-3125,8802,-265,248
1729589030.7962058,RIGHT_HAND,-512,16352,-1332,-3749,9293,385,249
1729589030.7972841,RIGHT_HAND,-116,16004,-520,-3711,9939,653,250
1729589030.8415787,RIGHT_HAND,404,15356,252,-3649,9336,455,251
1729589030.8872445,RIGHT_HAND,348,15616,432,-4605,8496,651,252
1729589030.888342,RIGHT_HAND,732,16024,1016,-4828,9095,1071,253
1729589030.9315567,RIGHT_HAND,1832,16520,1388,-4833,7874,1234,254
1729589030.9769108,RIGHT_HAND,2300,16024,1864,-3682,5409,697,255
1729589031.0215044,RIGHT_HAND,2456,14952,1308,-2776,3175,-16,1
1729589031.0225685,RIGHT_HAND,1600,14920,924,-4588,12,176,2
1729589031.0665593,RIGHT_HAND,1604,15556,1260,-5058,-798,742,3
1729589031.1114366,RIGHT_HAND,1652,14652,544,-3752,-2079,635,4
1729589031.1125236,RIGHT_HAND,440,14532,-592,-5836,-5478,609,5
1729589031.1566348,RIGHT_HAND,-604,16300,-156,-7073,-6164,506,6
1729589031.202275,RIGHT_HAND,-848,16592,-484,-4551,-3400,280,7
1729589031.203354,RIGHT_HAND,-1228,16372,-1164,-6036,-3524,290,8
1729589031.2473087,RIGHT_HAND,-728,17468,-960,-7166,-3048,156,9
1729589031.2922854,RIGHT_HAND,436,17952,-920,-3480,-4454,-1297,10
1729589031.2933667,RIGHT_HAND,-684,16924,-2276,-2868,-7406,-2018,11
1729589031.335952,RIGHT_HAND,-2204,17660,-2188,-3751,-6350,-1267,12
1729589031.381575,RIGHT_HAND,-1636,17976,-1256,-1296,-2197,-436,13
1729589031.3826976,RIGHT_HAND,-1440,16632,-656,-365,-946,365,14
1729589031.426126,RIGHT_HAND,-2032,16372,100,-1241,1400,642,15
1729589031.471135,RIGHT_HAND,-1604,16168,812,-795,4179,1128,16
1729589031.4720943,RIGHT_HAND,-1368,15944,1164,-1263,5241,1367,17
1729589031.5623565,RIGHT_HAND,-796,16288,2168,-1490,5373,1390,18
1729589031.6072123,RIGHT_HAND,-680,16652,2188,-866,5123,1092,19
1729589031.6081355,RIGHT_HAND,-468,16728,2096,-908,4419,781,20
1729589031.6090424,RIGHT_HAND,-44,16600,2432,-447,2994,154,21
1729589031.6515448,RIGHT_HAND,-180,16792,2388,-312,1122,-463,22
1729589031.696513,RIGHT_HAND,-592,16900,1944,-239,675,-1008,23
1729589031.6975493,RIGHT_HAND,-572,16584,1788,-1,1575,-1125,24
1729589031.7861133,RIGHT_HAND,-368,16292,1812,-378,2353,-945,25
1729589031.831553,RIGHT_HAND,-72,16128,1924,-201,3266,-721,26
1729589031.832577,RIGHT_HAND,216,15904,1748,-396,3314,-351,27
1729589031.833532,RIGHT_HAND,232,15984,1956,-1103,2613,127,28
1729589031.876425,RIGHT_HAND,640,16644,2152,-1279,1907,503,29
1729589031.8773587,RIGHT_HAND,320,16472,2052,-1240,1123,830,30
1729589031.9209814,RIGHT_HAND,-32,16676,1908,-1741,351,1042,31
1729589031.9661012,RIGHT_HAND,-252,16740,2100,-2025,-30,1122,32
1729589031.9669304,RIGHT_HAND,-24,16580,2272,-1453,-844,349,33
1729589032.0560927,RIGHT_HAND,-328,16224,1564,-1251,-1929,-436,34
1729589032.1009054,RIGHT_HAND,-524,16264,1284,-1547,-2633,-789,35
1729589032.1017776,RIGHT_HAND,-912,16456,1028,-1381,-1749,-435,36
1729589032.102543,RIGHT_HAND,-1064,16628,992,-1546,-845,-42,37
1729589032.1458762,RIGHT_HAND,-760,16688,964,-1313,-722,49,38
1729589032.1468167,RIGHT_HAND,-736,16732,772,-1086,-1653,-135,39
1729589032.1912932,RIGHT_HAND,-1344,16576,816,-807,-1955,-336,40
1729589032.2372265,RIGHT_HAND,-1588,16336,716,-487,-785,-398,41
1729589032.2380953,RIGHT_HAND,-1456,16196,848,-630,-16,-332,42
