time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729588991.2049696,RIGHT_LEG,16028,5416,884,141,-1982,1078,84
1729588991.3410122,RIGHT_LEG,19704,5660,1684,4986,-10075,4410,86
1729588991.4291387,RIGHT_LEG,23148,-3152,7588,-12674,-9160,2008,88
1729588991.5191305,RIGHT_LEG,8796,3004,30988,-22158,-10079,4658,90
1729588991.5638695,RIGHT_LEG,29132,2244,7792,-32768,19655,10556,92
1729588991.5647264,RIGHT_LEG,30576,2724,-460,-24589,26998,13508,93
1729588991.5656765,RIGHT_LEG,28732,9680,-5452,-19464,31037,15316,94
1729588991.5664878,RIGHT_LEG,27668,24264,-10960,-15328,32767,14174,95
1729588991.5673,RIGHT_LEG,23136,28828,-12720,-8460,26917,13234,96
1729588991.6090136,RIGHT_LEG,19864,23832,-24212,-5941,19435,9920,97
1729588991.653949,RIGHT_LEG,12636,27016,-22368,4888,11785,4198,98
1729588991.654814,RIGHT_LEG,17068,30000,-23428,10225,-468,-6113,99
1729588991.7448568,RIGHT_LEG,18392,32540,-18224,14724,-15209,-12103,100
1729588991.7459424,RIGHT_LEG,24168,30880,-10720,15501,-30829,-20031,101
1729588991.7892282,RIGHT_LEG,30716,28788,-6116,9376,-32768,-32768,102
1729588991.8791041,RIGHT_LEG,32767,29956,11524,7693,-32768,-32768,103
1729588991.8799524,RIGHT_LEG,32767,32767,17796,17448,-32768,-32768,104
1729588991.8807786,RIGHT_LEG,32767,30148,15992,19423,-32768,-32768,105
1729588991.9692235,RIGHT_LEG,32767,20688,12984,18891,-32768,-32768,106
1729588991.9703004,RIGHT_LEG,32767,-4392,9460,13580,-24912,-25823,107
1729588992.0140858,RIGHT_LEG,25164,7276,11896,32767,-7140,-16606,108
1729588992.0149522,RIGHT_LEG,19168,7124,13504,32767,4320,-5256,109
1729588992.05916,RIGHT_LEG,21064,-20640,10460,32767,212,-7529,110
1729588992.060203,RIGHT_LEG,16284,-9800,10996,19747,4917,-11428,111
1729588992.1041949,RIGHT_LEG,9480,-2052,12384,15707,9256,-8065,112
1729588992.1943052,RIGHT_LEG,11388,-8332,11376,4626,7943,-1051,113
1729588992.2391276,RIGHT_LEG,11904,-7792,10440,-6701,10855,2649,114
1729588992.2402272,RIGHT_LEG,12680,-4012,8248,-4367,15326,4766,115
1729588992.2842715,RIGHT_LEG,15868,-2228,6316,-2227,21675,6328,116
1729588992.329116,RIGHT_LEG,17992,1116,4760,-1986,27104,7722,117
1729588992.3300288,RIGHT_LEG,21760,4652,4660,-774,31172,8830,118
1729588992.4191794,RIGHT_LEG,25508,8900,1796,-2764,32767,8624,119
1729588992.462845,RIGHT_LEG,27820,12648,92,-6166,32767,7540,120
1729588992.4638915,RIGHT_LEG,29376,15516,-2480,-5774,32767,6328,121
1729588992.4646764,RIGHT_LEG,28332,14004,-6588,-5711,32767,3807,122
1729588992.4654365,RIGHT_LEG,25264,11860,-11420,-2589,26817,3420,123
1729588992.5091436,RIGHT_LEG,25120,9620,-15184,-4267,19197,2579,124
1729588992.5100257,RIGHT_LEG,22796,8776,-15748,-1580,10607,2464,125
1729588992.5541937,RIGHT_LEG,32212,14972,-7136,3781,3894,-475,126
1729588992.5552669,RIGHT_LEG,12040,24,-18216,8773,-4474,1317,127
1729588992.6441936,RIGHT_LEG,24984,-2680,-20572,256,-16120,47,128
1729588992.7341812,RIGHT_LEG,15620,9688,3652,-4629,-13008,-2270,129
1729588992.735073,RIGHT_LEG,27096,-8800,-4404,-3898,-10749,1522,130
1729588992.7791219,RIGHT_LEG,19724,9120,-7684,-6423,-4147,600,131
1729588992.7800124,RIGHT_LEG,14664,9816,-3844,203,-4537,2364,132
1729588992.8692055,RIGHT_LEG,17056,428,-2428,-1155,-3152,404,133
1729588992.8700984,RIGHT_LEG,16112,4040,-2048,-2028,-2571,-1648,134
1729588992.914207,RIGHT_LEG,16068,4372,-1276,-602,-1297,-1273,135
1729588992.9150922,RIGHT_LEG,15856,4868,-1620,789,-724,-754,136
1729588993.0042284,RIGHT_LEG,16032,5136,-1720,748,-377,-752,137
1729588993.005115,RIGHT_LEG,16140,4688,-1492,555,-11,-783,138
1729588993.094099,RIGHT_LEG,16096,4440,-1168,291,297,-1113,139
1729588993.0949798,RIGHT_LEG,16064,4532,-1000,472,651,-1258,140
1729588993.1391017,RIGHT_LEG,15848,4608,-1300,470,930,-1314,141
1729588993.1399872,RIGHT_LEG,15792,5100,-1156,530,1136,-1397,142
1729588993.1841693,RIGHT_LEG,15788,5088,-1100,503,1419,-1389,143
1729588993.2291224,RIGHT_LEG,16004,4944,-748,467,1567,-1451,144
1729588993.2300289,RIGHT_LEG,15732,5332,-412,791,1566,-1490,145
1729588993.3191223,RIGHT_LEG,15796,5236,-24,948,1327,-1299,146
1729588993.3200166,RIGHT_LEG,15632,5540,88,712,970,-1277,147
1729588993.3638523,RIGHT_LEG,15492,5744,-136,492,589,-1139,148
1729588993.3646984,RIGHT_LEG,15684,5512,164,626,249,-852,149
1729588993.4079375,RIGHT_LEG,15660,5496,-164,657,37,-796,150
1729588993.408737,RIGHT_LEG,15684,5480,-376,655,5,-866,151
1729588993.409451,RIGHT_LEG,15724,5496,-444,669,133,-980,152
1729588993.4102168,RIGHT_LEG,15624,5708,-640,801,236,-1050,153
1729588993.4540827,RIGHT_LEG,15428,5740,-252,961,274,-942,154
1729588993.4549632,RIGHT_LEG,15600,5732,132,924,123,-998,155
1729588993.5441139,RIGHT_LEG,15472,5796,140,1084,-49,-1022,156
1729588993.5449908,RIGHT_LEG,15648,5720,-160,1204,-316,-1035,157
1729588993.6341264,RIGHT_LEG,15484,6104,-296,1063,-457,-1022,158
1729588993.635003,RIGHT_LEG,15388,6188,-348,962,-648,-962,159
1729588993.6789165,RIGHT_LEG,15456,6384,-240,872,-777,-788,160
1729588993.6797848,RIGHT_LEG,15348,6264,-420,915,-962,-719,161
1729588993.768104,RIGHT_LEG,15436,6344,-588,837,-1002,-658,162
1729588993.7689383,RIGHT_LEG,15360,6472,-660,950,-1055,-529,163
1729588993.814135,RIGHT_LEG,15392,6284,-652,987,-1136,-452,164
1729588993.8150182,RIGHT_LEG,15300,6588,-1152,935,-1096,-271,165
1729588993.859159,RIGHT_LEG,15176,6652,-1224,634,-789,-111,166
1729588993.99406,RIGHT_LEG,15408,6432,-1236,563,-583,-29,167
