time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589925.7212641,RIGHT_HAND,-1852,11592,9812,-10086,-2778,-8662,12
1729589925.810035,RIGHT_HAND,-3160,15356,8316,-9822,-14037,-4011,14
1729589925.9439557,RIGHT_HAND,-1332,16920,11824,-2476,-15133,-3991,16
1729589925.9901047,RIGHT_HAND,-5788,16792,5676,6212,-32768,-11761,18
1729589926.0351353,RIGHT_HAND,-10960,13232,-6000,6435,-19109,-1020,20
1729589926.1701899,RIGHT_HAND,-4604,13388,19268,7038,-5160,3770,22
1729589926.1712313,RIGHT_HAND,-6544,11560,19204,7263,-1080,2487,23
1729589926.2152328,RIGHT_HAND,-8212,9768,17788,5205,-6218,446,24
1729589926.2162604,RIGHT_HAND,-12708,9408,19176,3656,-8998,-1704,25
1729589926.260197,RIGHT_HAND,-17368,9272,22144,3328,-2253,-3683,26
1729589926.2612267,RIGHT_HAND,-24748,9524,24120,-524,-1024,-6150,27
1729589926.3502026,RIGHT_HAND,-28052,8152,28888,-7147,2945,-13189,28
1729589926.351046,RIGHT_HAND,-32436,10512,32767,-14026,1375,-19646,29
1729589926.3939636,RIGHT_HAND,-32768,15432,32767,-22497,15000,-22899,30
1729589926.395006,RIGHT_HAND,-29720,24484,32767,-29273,32337,-25643,31
1729589926.4401329,RIGHT_HAND,10436,21992,15636,-11023,32767,-27753,36
1729589926.4411788,RIGHT_HAND,14660,14984,8356,-4738,24977,-24327,37
1729589926.484966,RIGHT_HAND,12084,7908,2232,-2806,6721,-22103,38
1729589926.4859977,RIGHT_HAND,7296,3420,312,-1483,-3864,-16596,39
1729589926.575217,RIGHT_HAND,2564,-132,-4120,-2211,333,-10677,40
1729589926.5762453,RIGHT_HAND,3284,-2108,-2064,-2251,4616,-4726,41
1729589926.6199503,RIGHT_HAND,-3112,-3980,-1836,-1743,-5985,5471,44
1729589926.6209867,RIGHT_HAND,-6568,-3300,-1920,-3761,-6431,7096,45
1729589926.6652064,RIGHT_HAND,-9140,-1236,-956,-5784,-463,9004,46
1729589926.6662369,RIGHT_HAND,-7908,-688,-356,-4876,5032,8960,47
1729589926.7102072,RIGHT_HAND,-5024,-920,568,-4390,7269,10404,48
1729589926.7112558,RIGHT_HAND,-3508,144,2068,-2504,6058,11492,49
1729589926.8001935,RIGHT_HAND,-4684,-764,4480,-2601,2526,13336,50
1729589926.801231,RIGHT_HAND,-10480,2412,916,-10033,4483,19718,51
1729589926.8451562,RIGHT_HAND,-11624,3384,1648,-10076,10177,24027,52
1729589926.8460174,RIGHT_HAND,-8396,6564,2024,-9022,7817,26881,53
1729589926.9339643,RIGHT_HAND,-7760,7664,1980,-9449,-2848,28161,54
1729589926.9349985,RIGHT_HAND,-12940,8956,-1212,-8341,-12997,30611,55
1729589927.0250776,RIGHT_HAND,-16696,12512,1216,-10387,-17368,32767,56
1729589927.0259223,RIGHT_HAND,-20104,15352,2956,-8486,-19799,32767,57
1729589927.0701694,RIGHT_HAND,-21312,17488,3144,-4240,-17153,32767,58
1729589927.0711985,RIGHT_HAND,-20232,18500,4108,-2498,-13769,30875,59
1729589927.1599834,RIGHT_HAND,-21212,19676,2796,-5647,-20651,29337,60
1729589927.1610298,RIGHT_HAND,-23864,23496,4932,-5435,-23897,27929,61
1729589927.248922,RIGHT_HAND,-20736,23696,6820,765,-13392,23797,62
1729589927.2499785,RIGHT_HAND,-16412,20988,6180,7043,-8844,18506,63
1729589927.2951982,RIGHT_HAND,-14112,17936,5416,6386,-11145,15142,64
1729589927.2962391,RIGHT_HAND,-12920,16740,5160,2783,-16003,11588,65
1729589927.338948,RIGHT_HAND,-11700,16692,4516,-56,-18518,7518,66
1729589927.3399954,RIGHT_HAND,-10900,15120,6664,-1393,-18089,2783,67
1729589927.383938,RIGHT_HAND,-10536,15516,7248,-1054,-21577,-3120,68
1729589927.384982,RIGHT_HAND,-11124,15156,6980,1200,-15523,-3774,69
1729589927.4751015,RIGHT_HAND,-11280,14196,6540,1364,-5112,-2297,70
1729589927.476156,RIGHT_HAND,-8368,14240,6604,854,2530,-75,71
1729589927.5199685,RIGHT_HAND,-5264,14544,7192,1480,6032,1267,72
1729589927.520865,RIGHT_HAND,-4416,14044,6760,1594,6278,1661,73
1729589927.564854,RIGHT_HAND,-4876,13832,5332,-1172,5401,1432,74
1729589927.5654309,RIGHT_HAND,-4536,15232,5180,-3717,3981,820,75
1729589927.6101053,RIGHT_HAND,-4708,16784,5476,-3635,6166,524,76
1729589927.6112213,RIGHT_HAND,-4492,16764,3528,-2895,10386,726,77
1729589927.699948,RIGHT_HAND,-2940,17116,4048,-1195,14851,1274,78
1729589927.7010355,RIGHT_HAND,-1492,16784,3680,1159,14491,1156,79
1729589927.7451012,RIGHT_HAND,80,15644,3036,1982,13905,-298,80
1729589927.7462215,RIGHT_HAND,1360,15052,3340,852,8544,-1463,81
1729589927.7901502,RIGHT_HAND,1040,15316,3816,-187,1892,-2112,82
1729589927.7912712,RIGHT_HAND,-488,15236,3636,-702,-2282,-2401,83
1729589927.8351104,RIGHT_HAND,-2392,15840,4380,-683,-2350,-2002,84
1729589927.8360293,RIGHT_HAND,-3132,16180,3820,-28,826,-686,85
1729589927.9699452,RIGHT_HAND,-2608,16112,3852,655,4408,197,86
1729589927.9710548,RIGHT_HAND,-1756,15360,3448,116,4497,791,87
