time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589854.531042,RIGHT_LEG,14924,7524,-3264,-485,1037,-1454,36
1729589854.5748181,RIGHT_LEG,14912,6412,-3184,-835,2597,-4123,38
1729589854.6659346,RIGHT_LEG,14204,8392,-2484,-5973,1766,-7175,40
1729589854.7111735,RIGHT_LEG,12980,10804,-1752,-669,2772,-7198,42
1729589854.7543967,RIGHT_LEG,12720,11616,-792,-1398,-726,-4850,44
1729589854.8000376,RIGHT_LEG,12840,11484,-1452,250,-134,-4598,45
1729589854.8897417,RIGHT_LEG,11908,11924,-1652,102,-1063,-3060,46
1729589854.8905523,RIGHT_LEG,11840,11072,-2104,474,-786,-2403,47
1729589854.9348562,RIGHT_LEG,12220,11376,-2904,115,-590,-1572,48
1729589854.9356346,RIGHT_LEG,12300,11532,-2632,300,-786,-941,49
1729589854.9364076,RIGHT_LEG,12168,11716,-2424,864,-732,-445,50
1729589854.9805303,RIGHT_LEG,11656,11492,-2940,663,-181,-259,51
1729589854.982432,RIGHT_LEG,12176,10760,-2856,143,364,-511,52
1729589855.0249631,RIGHT_LEG,12136,11084,-2180,-28,621,-816,53
1729589855.1142058,RIGHT_LEG,12044,11240,-1756,-135,700,-867,54
1729589855.11854,RIGHT_LEG,12004,11056,-2160,89,685,-807,55
1729589855.1196954,RIGHT_LEG,12080,11368,-2048,71,1656,-1072,56
1729589855.1604402,RIGHT_LEG,12032,11300,-2136,185,1331,-854,57
1729589855.2499733,RIGHT_LEG,12108,11500,-1500,-319,1130,-798,58
1729589855.251154,RIGHT_LEG,11980,11416,-1572,-350,890,-705,59
1729589855.340015,RIGHT_LEG,12008,11628,-1408,-706,1007,-565,60
1729589855.340914,RIGHT_LEG,11792,11944,-1492,-219,614,-232,61
1729589855.3418016,RIGHT_LEG,11684,12068,-1044,-360,243,465,62
1729589855.385409,RIGHT_LEG,11824,12028,-1160,-276,-210,1237,63
1729589855.3862789,RIGHT_LEG,11884,11880,-1068,124,-856,2041,64
1729589855.387152,RIGHT_LEG,12088,11692,-1044,433,-1268,2684,65
1729589855.4304798,RIGHT_LEG,12412,11336,-1092,689,-1733,3233,66
1729589855.4756815,RIGHT_LEG,12504,11152,-1512,985,-1978,3461,67
1729589855.476658,RIGHT_LEG,12368,11260,-1396,1463,-2349,3881,68
1729589855.5654225,RIGHT_LEG,12380,11104,-1592,2555,-2806,3830,69
1729589855.6110847,RIGHT_LEG,12804,10708,-2028,2216,-3002,4805,70
1729589855.6121721,RIGHT_LEG,12488,10528,-2148,2242,-2787,5346,71
1729589855.61328,RIGHT_LEG,12956,10228,-2544,2354,-2821,6040,72
1729589855.655384,RIGHT_LEG,12888,9332,-3364,1186,-1946,6560,73
1729589855.656423,RIGHT_LEG,13128,8700,-3712,1242,-1697,6527,74
1729589855.7006423,RIGHT_LEG,13660,8052,-3532,1842,-1436,6090,75
1729589855.7899764,RIGHT_LEG,14464,8000,-2808,2190,-2337,5697,76
1729589855.835441,RIGHT_LEG,15128,7528,-2904,1464,-1945,4998,77
1729589855.8365078,RIGHT_LEG,18220,3676,-3968,1677,-857,5182,78
1729589855.8802645,RIGHT_LEG,13872,6788,-3488,2864,-2133,4246,79
1729589855.881184,RIGHT_LEG,14928,7004,-3796,2823,-1814,3324,80
1729589855.8822582,RIGHT_LEG,14532,6120,-4464,1530,-1219,2279,81
1729589855.9254131,RIGHT_LEG,15300,5864,-4500,886,-887,1275,82
1729589856.0154653,RIGHT_LEG,15120,5748,-5068,154,-343,-300,83
1729589856.0165317,RIGHT_LEG,14780,6164,-4620,229,53,-1085,84
1729589856.1054275,RIGHT_LEG,14808,6548,-4172,-221,143,-1478,85
1729589856.1063683,RIGHT_LEG,14488,6956,-4348,-412,347,-1454,86
1729589856.1074233,RIGHT_LEG,14528,6892,-4020,-551,275,-1433,87
1729589856.1083825,RIGHT_LEG,14536,7064,-3800,-666,73,-1512,88
1729589856.109374,RIGHT_LEG,14416,7192,-3728,35,494,-1516,89
1729589856.150403,RIGHT_LEG,14468,7472,-4084,-210,335,-1412,90
