time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734485.7429008,RIGHT_HAND,-5808,14552,4448,-865,-493,-462,191
1729734485.8321521,RIGHT_HAND,-9484,16040,6384,3952,-186,-4869,193
1729734485.8775659,RIGHT_HAND,-12124,13508,8908,-2577,-369,-14299,195
1729734485.9675696,RIGHT_HAND,-20084,16428,11284,-12256,-6069,-23071,197
1729734486.01305,RIGHT_HAND,-24276,14516,11484,-20554,12360,-29310,199
1729734486.0576444,RIGHT_HAND,-17440,11448,8644,-23414,32767,-32768,201
1729734486.1474972,RIGHT_HAND,-11028,9252,7312,-17886,32767,-32768,202
1729734486.1925762,RIGHT_HAND,-5464,7196,5416,-13841,32767,-31364,203
1729734486.1934214,RIGHT_HAND,-880,4408,4756,-12058,32767,-25521,204
1729734486.2384121,RIGHT_HAND,8768,2368,8808,-11622,32767,-18249,205
1729734486.2824762,RIGHT_HAND,13432,-3980,13184,-10011,32767,-4895,206
1729734486.2831907,RIGHT_HAND,-10792,16216,18320,-29614,27830,1229,207
1729734486.3274245,RIGHT_HAND,5212,12612,9252,-32768,-18121,2412,208
1729734486.3735783,RIGHT_HAND,6148,6028,-18356,-32768,-32768,14819,209
1729734486.3743515,RIGHT_HAND,-1732,14992,-4900,-32768,-32768,28888,210
1729734486.4174259,RIGHT_HAND,-24288,28968,-9536,-32768,-32768,29916,211
1729734486.462425,RIGHT_HAND,-30260,32767,3088,-23973,-32768,26555,212
1729734486.5074573,RIGHT_HAND,-32768,32767,9856,27194,-32768,2560,213
1729734486.508147,RIGHT_HAND,-29400,14684,612,32767,-29581,-7440,214
1729734486.5524526,RIGHT_HAND,-26500,2684,-3080,13666,-29771,-6038,215
1729734486.6428246,RIGHT_HAND,-24460,6780,-7576,-7630,-11494,-14196,216
1729734486.6435025,RIGHT_HAND,-27108,9012,2152,-7567,-4728,-19294,217
1729734486.6444142,RIGHT_HAND,-26216,10340,3904,764,-3674,-23537,218
1729734486.64516,RIGHT_HAND,-28592,5892,4348,6741,-4105,-29496,219
1729734486.6874332,RIGHT_HAND,-32768,3392,4088,2654,-7143,-32768,220
1729734486.732641,RIGHT_HAND,-32768,3720,3892,-4286,-3787,-32768,221
1729734486.7774143,RIGHT_HAND,-32768,3836,7020,-7592,11124,-32768,222
1729734486.7782252,RIGHT_HAND,-32192,2696,6976,-8972,12973,-32768,223
1729734486.8224237,RIGHT_HAND,-28928,1984,6756,-7949,9516,-32768,224
1729734486.867407,RIGHT_HAND,-24812,712,5652,-7028,11035,-32768,225
1729734486.8681362,RIGHT_HAND,-20144,768,5100,-11191,16502,-32768,226
1729734486.9124641,RIGHT_HAND,-16724,528,4132,-10683,17779,-32768,227
