time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734562.8718119,RIGHT_LEG,14692,3296,6936,205,-297,-34,2
1729734562.9606225,RIGHT_LEG,14544,3584,6916,274,-247,-59,4
1729734563.052877,RIGHT_LEG,14428,3644,7148,229,-256,-120,6
1729734563.1408577,RIGHT_LEG,14652,3800,6788,18,-273,-121,8
1729734563.1864135,RIGHT_LEG,14544,3632,7120,236,-348,-155,10
1729734563.2754858,RIGHT_LEG,14552,3788,6784,307,-397,-95,11
1729734563.2762897,RIGHT_LEG,14688,3520,7176,476,-484,-106,12
1729734563.3203945,RIGHT_LEG,14664,3500,7160,427,-624,-268,13
1729734563.321073,RIGHT_LEG,14620,3584,6800,350,-712,-353,14
1729734563.3217566,RIGHT_LEG,14608,3988,6600,398,-610,-337,15
1729734563.3653932,RIGHT_LEG,14668,3732,6496,448,-426,-259,16
1729734563.4104414,RIGHT_LEG,14620,4028,6476,396,-251,-275,17
1729734563.4113054,RIGHT_LEG,14556,3800,6520,524,-45,-100,18
1729734563.4557881,RIGHT_LEG,14620,4068,5980,-54,170,-185,19
1729734563.5007565,RIGHT_LEG,14940,4004,5784,129,776,111,20
1729734563.5015514,RIGHT_LEG,14648,4040,5624,-279,1469,67,21
1729734563.5456338,RIGHT_LEG,14748,4256,5868,-432,2176,416,22
1729734563.5905378,RIGHT_LEG,14560,3752,6296,-450,2778,702,23
1729734563.5913286,RIGHT_LEG,14540,3988,6360,-899,3313,641,24
1729734563.6358056,RIGHT_LEG,14320,3648,6600,-1119,3910,667,25
1729734563.680585,RIGHT_LEG,12904,3692,9612,86,3724,957,26
1729734563.681415,RIGHT_LEG,14832,2236,8032,-1417,3249,266,27
1729734563.725588,RIGHT_LEG,14188,4164,7656,-1705,3428,178,28
1729734563.770643,RIGHT_LEG,12412,3132,11036,85,2927,604,29
1729734563.7714775,RIGHT_LEG,14056,2232,10416,-841,1356,32,30
1729734563.8156803,RIGHT_LEG,13936,3392,8368,-986,885,-48,31
1729734563.8605776,RIGHT_LEG,12896,4024,9492,77,776,486,32
1729734563.8613179,RIGHT_LEG,13188,2248,9700,205,-47,610,33
1729734563.905746,RIGHT_LEG,13896,2824,8244,-104,-132,170,34
1729734563.9508388,RIGHT_LEG,13560,2912,8836,202,161,187,35
1729734563.9956872,RIGHT_LEG,13744,2716,9132,199,-26,101,36
1729734563.9964485,RIGHT_LEG,13656,2952,9108,134,-114,-47,37
1729734564.041667,RIGHT_LEG,13708,3000,8688,157,-84,-145,38
1729734564.085586,RIGHT_LEG,13180,3276,9264,349,32,-25,39
1729734564.0864048,RIGHT_LEG,13900,2824,8788,124,-184,-170,40
1729734564.1307652,RIGHT_LEG,13608,3216,8528,92,36,-78,41
1729734564.1756363,RIGHT_LEG,13204,3388,8788,73,279,85,42
1729734564.176458,RIGHT_LEG,13788,3144,8360,-180,418,222,43
1729734564.2206283,RIGHT_LEG,13428,3472,8204,-175,786,438,44
1729734564.2657413,RIGHT_LEG,13448,2844,8500,-353,973,587,45
1729734564.2665055,RIGHT_LEG,13468,2636,9048,-297,1010,613,46
1729734564.3106163,RIGHT_LEG,13444,2688,9040,-313,1057,506,47
1729734564.3556914,RIGHT_LEG,13636,2880,8820,-355,1171,507,48
