time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739353.806433,RIGHT_HAND,5512,-15220,4352,-569,-998,263,162
1729739353.8953853,RIGHT_HAND,6792,-15964,5076,-1010,2953,-3103,164
1729739353.9412994,RIGHT_HAND,8616,-14644,8020,351,11222,-11102,166
1729739354.031354,RIGHT_HAND,6152,-10948,9304,5292,10703,-12411,168
1729739354.0764875,RIGHT_HAND,1252,-11600,7616,10786,30114,-14046,170
1729739354.1225882,RIGHT_HAND,2772,-16124,3436,5891,25687,-10721,172
1729739354.1662955,RIGHT_HAND,3660,-18196,-756,-4857,20646,-8285,173
1729739354.210849,RIGHT_HAND,3848,-20576,-1176,-13799,12051,-7057,174
1729739354.2112205,RIGHT_HAND,4020,-24472,-7872,-17449,15618,-7954,175
1729739354.2560165,RIGHT_HAND,4456,-28628,-4260,-24134,22537,-8135,176
1729739354.300893,RIGHT_HAND,7488,-32560,-704,-29045,27158,-9714,177
1729739354.301286,RIGHT_HAND,9352,-32768,6236,-32768,23125,-11367,178
1729739354.3462892,RIGHT_HAND,8676,-32768,13004,-32768,13843,-12345,179
1729739354.39131,RIGHT_HAND,8456,-31232,16148,-32768,8757,-14314,180
1729739354.436282,RIGHT_HAND,7496,-25932,16500,-32768,4000,-13748,181
1729739354.4370246,RIGHT_HAND,7764,-20520,15112,-32768,530,-12500,182
1729739354.526199,RIGHT_HAND,6588,-16200,14424,-32768,-5819,-10372,183
1729739354.5269067,RIGHT_HAND,4672,-12248,13376,-31277,-12062,-7506,184
1729739354.528145,RIGHT_HAND,2448,-8736,12344,-25787,-16359,-3955,185
1729739354.5288253,RIGHT_HAND,1640,-5860,11296,-22487,-17800,-734,186
1729739354.571184,RIGHT_HAND,644,-2804,10568,-19518,-16094,304,187
1729739354.6161752,RIGHT_HAND,100,-464,11108,-15175,-12850,1527,188
1729739354.6611872,RIGHT_HAND,72,932,11528,-6021,-10816,3044,189
1729739354.706183,RIGHT_HAND,-1300,-988,8764,9451,-5214,479,190
1729739354.706853,RIGHT_HAND,124,-5200,5688,25109,4333,-640,191
1729739354.7514875,RIGHT_HAND,2948,-10416,7564,30901,9946,303,192
1729739354.7962687,RIGHT_HAND,3660,-14700,9864,32767,15408,482,193
1729739354.7969656,RIGHT_HAND,5012,-18596,12292,32767,20159,2574,194
1729739354.8419905,RIGHT_HAND,5616,-24528,17160,32767,22190,4963,195
1729739354.9312015,RIGHT_HAND,7456,-31324,22032,32767,19740,7697,196
1729739354.9319384,RIGHT_HAND,8200,-32768,26416,32767,13709,8598,197
1729739354.9331336,RIGHT_HAND,7488,-32768,25448,32767,6679,10822,198
1729739354.9338498,RIGHT_HAND,9808,-32768,18648,32767,267,10772,199
1729739354.9763067,RIGHT_HAND,9968,-32768,15220,30286,-7968,12059,200
1729739355.0663452,RIGHT_HAND,11624,-32768,13304,18788,-11686,6744,201
1729739355.111317,RIGHT_HAND,4736,-32240,7100,13449,-10867,1741,202
1729739355.1120589,RIGHT_HAND,6472,-30288,2724,9873,2561,-440,203
1729739355.1562278,RIGHT_HAND,7896,-27308,888,9244,16685,-5545,204
1729739355.2011955,RIGHT_HAND,8896,-22680,4392,4709,20069,-4163,205
1729739355.2019274,RIGHT_HAND,10732,-18220,6956,2503,12113,-1383,206
1729739355.2462533,RIGHT_HAND,11700,-16268,3352,3144,-16,596,207
1729739355.291193,RIGHT_HAND,9228,-16008,5548,265,-9547,1837,208
1729739355.2919798,RIGHT_HAND,6132,-15564,7364,-3783,-14104,2631,209
1729739355.3362434,RIGHT_HAND,5204,-15560,6808,-6643,-11557,3022,210
1729739355.3812048,RIGHT_HAND,5896,-15932,8340,-8176,-6909,2521,211
1729739355.3819437,RIGHT_HAND,5872,-16480,10368,-9886,-8292,2244,212
1729739355.4265416,RIGHT_HAND,5688,-16188,11416,-12274,-9662,2808,213
