time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739269.2043536,RIGHT_LEG,14472,3632,7144,100,-23,17,34
1729739269.2511628,RIGHT_LEG,14472,4296,6776,-225,419,3,36
1729739269.2950833,RIGHT_LEG,14112,3540,6668,-3391,679,-591,38
1729739269.3846672,RIGHT_LEG,13832,3668,7496,-549,1388,511,40
1729739269.4306355,RIGHT_LEG,14176,3000,7284,1184,1607,1585,42
1729739269.519507,RIGHT_LEG,13924,1784,7836,285,1101,546,43
1729739269.5204794,RIGHT_LEG,14728,4288,8316,-687,426,-62,44
1729739269.5647802,RIGHT_LEG,14308,3976,9260,183,-150,511,45
1729739269.5657074,RIGHT_LEG,14520,2280,8712,-235,-824,252,46
1729739269.566565,RIGHT_LEG,14512,3460,7596,-1227,-881,-40,47
1729739269.6093774,RIGHT_LEG,14240,3868,6988,-930,-779,724,48
1729739269.6544995,RIGHT_LEG,13988,3364,7512,-1052,-574,883,49
1729739269.6996703,RIGHT_LEG,14176,3724,7188,-1160,-311,1375,50
1729739269.700658,RIGHT_LEG,15356,2288,6620,-2355,219,1583,51
1729739269.7895005,RIGHT_LEG,12812,3532,9780,-2165,950,1123,52
1729739269.8344672,RIGHT_LEG,16292,-852,11524,-1911,-1162,1325,53
1729739269.8352032,RIGHT_LEG,13940,-1328,11184,-2744,-2158,-437,54
1729739269.8358848,RIGHT_LEG,13988,4420,10920,-3268,-1645,-454,55
1729739269.8794174,RIGHT_LEG,11744,2740,11240,-4056,-2191,-24,56
1729739269.880157,RIGHT_LEG,6484,1600,19116,-12982,1997,-5076,57
1729739269.9245844,RIGHT_LEG,9020,3060,17736,-17870,8304,-4483,58
1729739269.96947,RIGHT_LEG,8408,6900,18644,-18856,15072,-3712,59
1729739269.9702294,RIGHT_LEG,9424,5612,16052,-18404,17593,-2992,60
1729739270.0147567,RIGHT_LEG,9196,5048,13308,-19182,16978,-4498,61
1729739270.0595722,RIGHT_LEG,10236,7352,12116,-16053,15925,-5328,62
1729739270.0603278,RIGHT_LEG,9248,6516,7600,-9135,14404,-6448,63
1729739270.104587,RIGHT_LEG,9300,5304,8300,-1963,10820,-7363,64
1729739270.1496658,RIGHT_LEG,10560,6896,9588,6457,9491,-6037,65
1729739270.1945047,RIGHT_LEG,15076,9828,8780,16181,8305,-4567,66
1729739270.2395432,RIGHT_LEG,13176,1720,10916,16458,4251,-4760,67
1729739270.2843812,RIGHT_LEG,13916,1420,10912,10112,-250,-7579,68
1729739270.2851639,RIGHT_LEG,14624,3104,12088,4693,-3113,-10079,69
1729739270.3297853,RIGHT_LEG,15112,-988,10860,345,-4406,-9809,70
1729739270.3747814,RIGHT_LEG,15180,-6236,8072,-11400,-7432,-12805,71
1729739270.3756056,RIGHT_LEG,13788,-72,10244,-3841,-4956,-10222,72
1729739270.4195669,RIGHT_LEG,13340,-5016,12040,-5032,-3219,-7578,73
1729739270.4645658,RIGHT_LEG,14320,-2128,10292,-1542,-1712,-2126,74
1729739270.4653177,RIGHT_LEG,13468,-296,13064,4419,260,3885,75
1729739270.509586,RIGHT_LEG,13088,9312,15820,2402,195,1897,76
1729739270.5546203,RIGHT_LEG,14484,8316,13592,909,-1128,-166,77
1729739270.5999148,RIGHT_LEG,13672,1280,12888,-1195,-1173,-1289,78
1729739270.600755,RIGHT_LEG,12004,1372,13156,-547,95,-373,79
1729739270.6445642,RIGHT_LEG,11240,3296,12768,-1346,275,-710,80
1729739270.6893609,RIGHT_LEG,11724,2128,12448,-2667,915,-931,81
1729739270.690145,RIGHT_LEG,14320,3052,14408,-5494,968,-1272,82
1729739270.7349033,RIGHT_LEG,12648,2904,11332,-2873,3113,1754,83
1729739270.779854,RIGHT_LEG,13476,2168,12588,-2780,4049,2948,84
1729739270.780685,RIGHT_LEG,13096,112,12864,-5696,3388,1942,85
1729739270.8240135,RIGHT_LEG,13404,1232,11628,-9172,3259,847,86
