time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739733.8799663,RIGHT_HAND,6992,-16460,-5976,-3178,-1503,-1103,45
1729739733.9259748,RIGHT_HAND,6116,-18068,-6772,-6503,-970,852,47
1729739734.0590446,RIGHT_HAND,5576,-18632,-10016,-11769,-5197,3732,49
1729739734.0599425,RIGHT_HAND,6240,-20776,-9604,-15401,-1332,3442,51
1729739734.1054747,RIGHT_HAND,5900,-21176,-10684,-19606,-1098,3243,53
1729739734.1953647,RIGHT_HAND,8796,-20164,-9680,-21483,-6972,1718,55
1729739734.1961694,RIGHT_HAND,7724,-20388,-9836,-20896,-12821,2355,56
1729739734.2852461,RIGHT_HAND,5596,-19780,-9888,-22456,-14071,2858,57
1729739734.2874126,RIGHT_HAND,3504,-18620,-10916,-24022,-13481,3267,58
1729739734.2884357,RIGHT_HAND,2160,-17360,-11560,-25228,-7710,3644,59
1729739734.330315,RIGHT_HAND,1552,-15448,-11100,-26186,38,2015,60
1729739734.4202254,RIGHT_HAND,1572,-12808,-10804,-26728,6185,1031,61
1729739734.4209936,RIGHT_HAND,2380,-11072,-9412,-25522,11206,-67,62
1729739734.4231935,RIGHT_HAND,3416,-9020,-7940,-23696,12380,-1591,63
1729739734.4238877,RIGHT_HAND,4292,-6544,-7296,-23323,10017,-3801,64
1729739734.4663463,RIGHT_HAND,4472,-4748,-6788,-22447,7754,-4905,65
1729739734.510231,RIGHT_HAND,4608,-940,-7252,-19288,5954,-6216,66
1729739734.5556946,RIGHT_HAND,3784,2284,-6808,-14755,2800,-5415,67
1729739734.5563648,RIGHT_HAND,4360,2500,-7212,-9168,2066,-3849,68
1729739734.6012359,RIGHT_HAND,4488,2156,-7900,-7952,-1009,-4111,69
1729739734.6452646,RIGHT_HAND,2784,3164,-6580,-6476,-4212,-4172,70
1729739734.6902084,RIGHT_HAND,2116,3976,-8020,-6234,-5434,-3309,71
1729739734.6909163,RIGHT_HAND,1888,4968,-8560,-4494,-1926,-2655,72
1729739734.736245,RIGHT_HAND,1224,5388,-7692,-1326,-1463,-1576,73
1729739734.779892,RIGHT_HAND,1844,5140,-9356,-181,697,-952,74
1729739734.7804112,RIGHT_HAND,1864,4412,-8708,1390,2742,-37,75
1729739734.8253174,RIGHT_HAND,2612,4760,-8480,2413,3111,-178,76
1729739734.8706489,RIGHT_HAND,2872,4612,-8936,4241,825,861,77
1729739734.8714023,RIGHT_HAND,3300,3520,-9056,6016,109,1498,78
1729739734.9152908,RIGHT_HAND,3660,2808,-9444,7360,-180,1567,79
1729739734.960248,RIGHT_HAND,3612,1864,-9616,9081,-1423,2066,80
1729739734.9609804,RIGHT_HAND,3784,932,-9760,10498,-1853,2215,81
1729739735.0055661,RIGHT_HAND,3868,-500,-9848,12519,-836,1958,82
1729739735.050111,RIGHT_HAND,3964,-1496,-9192,14246,-1692,1651,83
1729739735.0508661,RIGHT_HAND,4480,-3388,-12196,15677,-1189,1632,84
1729739735.095273,RIGHT_HAND,3780,-4568,-9856,16754,2131,1806,85
1729739735.1402159,RIGHT_HAND,4788,-6272,-13620,17042,2123,1813,86
1729739735.1409707,RIGHT_HAND,5456,-7672,-12152,17153,10172,725,87
1729739735.1853094,RIGHT_HAND,4936,-8872,-11272,18270,7671,2745,88
1729739735.2302551,RIGHT_HAND,6264,-10516,-13928,17401,19534,1440,89
1729739735.2309868,RIGHT_HAND,8872,-10972,-10716,15354,24685,2374,90
1729739735.2752187,RIGHT_HAND,12692,-11448,-10696,15464,20222,3506,91
1729739735.2759473,RIGHT_HAND,13440,-12692,-8932,16713,7941,6053,92
1729739735.3652093,RIGHT_HAND,13508,-14104,-9576,16293,2736,6028,93
1729739735.4102004,RIGHT_HAND,12460,-14228,-11236,13141,-4896,5721,94
1729739735.4109251,RIGHT_HAND,10180,-15040,-11056,15575,-3914,6262,95
1729739735.4552002,RIGHT_HAND,10756,-16548,-10744,14729,448,4277,96
1729739735.4559255,RIGHT_HAND,11760,-15804,-10440,9550,-2860,2913,97
1729739735.5002236,RIGHT_HAND,9732,-15112,-9312,11611,-5217,3249,98
1729739735.5451868,RIGHT_HAND,8580,-16828,-7008,13201,-2773,2595,99
1729739735.545913,RIGHT_HAND,8504,-16288,-7284,8818,-4978,837,100
1729739735.590369,RIGHT_HAND,8120,-15392,-7956,8272,-5774,624,101
