time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739592.8946145,RIGHT_LEG,14896,2184,6712,152,-281,-62,210
1729739592.985988,RIGHT_LEG,14952,2168,6788,137,-385,51,212
1729739593.02812,RIGHT_LEG,14900,2264,6824,139,-368,130,214
1729739593.0746343,RIGHT_LEG,14884,2196,6672,133,-409,68,216
1729739593.1629922,RIGHT_LEG,15024,2164,6564,108,-431,74,218
1729739593.1634312,RIGHT_LEG,14984,2132,6492,134,-326,27,219
1729739593.208423,RIGHT_LEG,15144,2132,6628,151,-372,86,220
1729739593.2532785,RIGHT_LEG,14948,2072,6688,195,-435,10,221
1729739593.2540352,RIGHT_LEG,14932,1972,6416,170,-412,-68,222
1729739593.2980082,RIGHT_LEG,15140,2256,6284,117,-311,-67,223
1729739593.3429606,RIGHT_LEG,15096,1892,6532,333,-307,-39,224
1729739593.3435502,RIGHT_LEG,15072,2076,6544,280,-334,-117,225
1729739593.3887503,RIGHT_LEG,14940,2180,6400,353,-256,-91,226
1729739593.4335926,RIGHT_LEG,15048,1936,6368,354,-228,-118,227
1729739593.4344614,RIGHT_LEG,15028,2088,6524,368,-181,-169,228
1729739593.478819,RIGHT_LEG,15048,2144,6620,397,-187,-179,229
1729739593.5233533,RIGHT_LEG,15016,2188,6384,368,-210,-182,230
1729739593.5240903,RIGHT_LEG,15144,2228,6240,342,-118,-183,231
1729739593.5685983,RIGHT_LEG,15068,1956,6568,386,-120,-117,232
1729739593.6135397,RIGHT_LEG,15016,2064,6524,332,-143,-171,233
1729739593.658542,RIGHT_LEG,15104,2060,6440,393,-141,-178,234
1729739593.6593826,RIGHT_LEG,15020,2092,6476,422,-99,-212,235
1729739593.7032392,RIGHT_LEG,15036,2248,6424,368,-62,-225,236
1729739593.7483876,RIGHT_LEG,14900,2180,6620,438,-70,-182,237
1729739593.749162,RIGHT_LEG,15004,2280,6508,338,-116,-198,238
1729739593.7935421,RIGHT_LEG,14960,2272,6460,317,-119,-173,239
1729739593.8384356,RIGHT_LEG,15032,2424,6480,241,-59,-140,240
1729739593.8392324,RIGHT_LEG,15024,2324,6488,213,-11,-74,241
1729739593.8838887,RIGHT_LEG,14964,2392,6548,265,-12,-10,242
1729739593.9734125,RIGHT_LEG,15056,2376,6400,225,46,45,243
1729739593.974193,RIGHT_LEG,14836,2216,6548,273,107,167,244
1729739594.0183656,RIGHT_LEG,15040,2220,6392,215,139,122,245
1729739594.0190754,RIGHT_LEG,15016,2132,6708,273,160,117,246
1729739594.0197701,RIGHT_LEG,14964,2140,6644,195,107,30,247
1729739594.0634127,RIGHT_LEG,14888,2280,6524,188,88,57,248
1729739594.1084168,RIGHT_LEG,15000,2280,6572,137,56,38,249
1729739594.109187,RIGHT_LEG,14868,2096,6628,174,31,66,250
1729739594.1535616,RIGHT_LEG,14992,2136,6528,137,76,-7,251
1729739594.1988437,RIGHT_LEG,14976,2248,6696,224,66,50,252
1729739594.1996334,RIGHT_LEG,14924,2200,6484,235,62,34,253
1729739594.288868,RIGHT_LEG,14988,2180,6932,306,82,35,254
1729739594.3334332,RIGHT_LEG,14824,2108,6708,262,24,44,255
1729739594.3342116,RIGHT_LEG,15076,2108,6484,272,89,29,1
1729739594.3783789,RIGHT_LEG,14956,2144,6944,272,63,20,2
1729739594.4236052,RIGHT_LEG,14700,2016,6756,242,-69,-49,3
1729739594.4687154,RIGHT_LEG,15136,2268,6452,255,8,-48,4
1729739594.513497,RIGHT_LEG,14852,2140,6764,304,56,-32,5
1729739594.5590734,RIGHT_LEG,14828,1976,6756,318,-37,-54,6
1729739594.5598376,RIGHT_LEG,14948,2120,6744,288,-35,-130,7
1729739594.560577,RIGHT_LEG,14828,2204,6752,310,-87,-74,8
1729739594.6040075,RIGHT_LEG,15060,2176,6796,273,-84,-133,9
1729739594.6048036,RIGHT_LEG,15044,2200,6736,356,1,-102,10
1729739594.6935341,RIGHT_LEG,14828,2184,6744,348,-46,-76,11
1729739594.7384377,RIGHT_LEG,14848,2048,6712,357,-3,-132,12
1729739594.739195,RIGHT_LEG,14968,2264,6672,328,40,-84,13
1729739594.7399375,RIGHT_LEG,14820,2032,7040,442,-16,-61,14
1729739594.7835276,RIGHT_LEG,14832,2288,6776,310,-47,-91,15
1729739594.8735938,RIGHT_LEG,14928,2356,6828,330,34,-39,16
1729739594.8743536,RIGHT_LEG,14892,2128,6972,357,-50,-11,17
1729739594.9188929,RIGHT_LEG,14764,2092,6852,278,-113,-85,18
1729739594.9196608,RIGHT_LEG,14852,2340,6796,285,-179,-70,19
1729739594.9203775,RIGHT_LEG,14824,2252,6820,225,-213,-87,20
1729739594.9632683,RIGHT_LEG,14880,2196,6900,268,-191,-16,21
1729739595.008589,RIGHT_LEG,14884,2172,6728,264,-181,-64,22
1729739595.0093575,RIGHT_LEG,14924,2228,7020,238,-260,-17,23
1729739595.0539026,RIGHT_LEG,14832,2248,6836,232,-244,-39,24
1729739595.0984,RIGHT_LEG,14816,2164,6764,262,-284,5,25
1729739595.0991962,RIGHT_LEG,14920,2208,6728,143,-268,-63,26
1729739595.1438153,RIGHT_LEG,15048,2200,6720,272,-265,-46,27
1729739595.1883423,RIGHT_LEG,14992,2120,6700,198,-245,-91,28
1729739595.1891313,RIGHT_LEG,14876,2136,6732,215,-177,-101,29
1729739595.233993,RIGHT_LEG,14876,2068,7008,280,-228,-88,30
1729739595.2785382,RIGHT_LEG,14848,2272,6708,170,-269,-163,31
1729739595.2792938,RIGHT_LEG,14872,2140,6708,286,-242,-89,32
