time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740009.5076141,RIGHT_HAND,3344,-16168,-1332,-1180,84,-151,103
1729740009.5539982,RIGHT_HAND,3740,-17728,-2216,-4165,792,-1307,105
1729740009.6412756,RIGHT_HAND,4428,-22448,-10252,-12555,-4461,-6733,107
1729740009.6862853,RIGHT_HAND,5716,-23544,-17276,-24202,2564,-11889,109
1729740009.7323756,RIGHT_HAND,8104,-25120,-16696,-32768,7548,-17068,111
1729740009.8205037,RIGHT_HAND,11992,-23280,-15864,-32768,419,-18591,113
1729740009.822606,RIGHT_HAND,11176,-20276,-12852,-32768,-6238,-17900,114
1729740009.867204,RIGHT_HAND,10432,-17988,-11896,-32768,-8438,-16208,115
1729740009.9112003,RIGHT_HAND,10276,-16028,-8400,-32768,-6114,-16554,116
1729740009.9561934,RIGHT_HAND,8528,-11556,-3472,-32768,-2515,-17653,117
1729740009.9569287,RIGHT_HAND,9772,-7496,-2860,-32768,-6378,-18014,118
1729740010.001184,RIGHT_HAND,9060,-4236,2528,-32768,-5223,-18565,119
1729740010.0019014,RIGHT_HAND,6660,32,7212,-32768,-14419,-17606,120
1729740010.0463295,RIGHT_HAND,5028,3124,7364,-32768,-19883,-14246,121
1729740010.091255,RIGHT_HAND,3772,5240,7668,-32768,-21556,-10117,122
1729740010.136288,RIGHT_HAND,2736,7252,9360,-32427,-20218,-6038,123
1729740010.1370943,RIGHT_HAND,1796,10532,11348,-29870,-16911,-4370,124
1729740010.1814358,RIGHT_HAND,1352,14216,11568,-21361,-12089,-2541,125
1729740010.3162198,RIGHT_HAND,1652,15548,12860,-12719,-1959,-2216,126
1729740010.3169568,RIGHT_HAND,1076,15988,14340,-8139,-256,-1985,127
1729740010.3181832,RIGHT_HAND,228,17512,13352,-8345,-220,-1315,128
1729740010.31891,RIGHT_HAND,-880,18704,13324,-8185,1904,-1393,129
1729740010.3615227,RIGHT_HAND,-1848,20044,14764,-8443,4968,-1412,130
1729740010.3622124,RIGHT_HAND,-1848,20220,15324,-10209,8986,-2172,131
1729740010.4513137,RIGHT_HAND,-1592,20044,16140,-12411,14831,-3471,132
1729740010.4521465,RIGHT_HAND,-1388,20948,20336,-15109,22637,-4797,133
1729740010.453212,RIGHT_HAND,-1412,20460,21072,-13025,27611,-5234,134
1729740010.453938,RIGHT_HAND,-640,19420,22560,-9837,29878,-4765,135
1729740010.5412438,RIGHT_HAND,-608,20080,23348,-7252,29574,-2849,136
1729740010.5431309,RIGHT_HAND,-1600,19168,22444,61,27426,1790,137
1729740010.5438476,RIGHT_HAND,-752,16548,19736,7947,27174,6597,138
1729740010.586241,RIGHT_HAND,-708,14076,18640,15028,23331,11916,139
1729740010.631224,RIGHT_HAND,-72,10168,14360,26869,20749,17061,140
1729740010.6762238,RIGHT_HAND,300,4276,10000,32767,9465,21948,141
1729740010.7213438,RIGHT_HAND,1804,1728,2580,32767,3414,20713,142
1729740010.7662282,RIGHT_HAND,500,-1116,2004,32767,-3583,23341,143
1729740010.8112347,RIGHT_HAND,2864,-6004,-2124,32767,-8770,25102,144
1729740010.8119733,RIGHT_HAND,3872,-16920,-13740,32767,-19693,16868,145
1729740010.8562222,RIGHT_HAND,2272,-16568,-11528,22662,-24257,11510,146
1729740010.9011736,RIGHT_HAND,-2080,-5840,-14896,3035,-29399,3687,147
1729740010.9019284,RIGHT_HAND,-9320,3168,-19224,5701,-26452,-7572,148
1729740010.9914005,RIGHT_HAND,-12232,6612,-19140,5217,-14769,-6775,149
1729740010.9922855,RIGHT_HAND,-10448,2488,-15524,-2098,-2233,-8451,150
1729740010.9932241,RIGHT_HAND,-8604,6100,-14200,-5811,3743,-8722,151
