time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739978.904516,RIGHT_LEG,15056,2940,6264,10,-166,-64,50
1729739978.9490592,RIGHT_LEG,14864,3148,6080,114,-177,64,52
1729739979.0398633,RIGHT_LEG,14936,2920,6384,12,-223,52,54
1729739979.0846224,RIGHT_LEG,15016,3104,6080,166,-361,16,56
1729739979.1306622,RIGHT_LEG,15052,3012,6248,170,-483,39,58
1729739979.1745226,RIGHT_LEG,15052,3064,5820,179,-428,126,59
1729739979.2193139,RIGHT_LEG,15152,3036,5692,294,-258,298,60
1729739979.2200933,RIGHT_LEG,15112,3028,6344,205,-200,270,61
1729739979.2645853,RIGHT_LEG,15104,3192,5740,-95,-152,306,62
1729739979.3543677,RIGHT_LEG,15072,2920,5628,-52,50,422,63
1729739979.3551362,RIGHT_LEG,15052,3000,5632,-154,316,451,64
1729739979.3989923,RIGHT_LEG,15152,2616,6048,-89,323,442,65
1729739979.3994153,RIGHT_LEG,15132,2660,6104,15,392,250,66
1729739979.3997858,RIGHT_LEG,14980,2780,6088,444,550,293,67
1729739979.4445033,RIGHT_LEG,15064,2812,6216,441,706,275,68
1729739979.4896164,RIGHT_LEG,14928,2496,6384,512,659,297,69
1729739979.5348506,RIGHT_LEG,15048,2556,6636,59,522,17,70
1729739979.5356593,RIGHT_LEG,14936,2564,6504,-152,300,-2,71
1729739979.5798786,RIGHT_LEG,14920,2420,6852,-35,112,-116,72
1729739979.6245658,RIGHT_LEG,14868,2512,6664,-634,-174,-478,73
1729739979.6252866,RIGHT_LEG,15020,2728,6524,-410,-293,-346,74
1729739979.6696074,RIGHT_LEG,15112,2892,6332,-315,-293,-348,75
1729739979.7144687,RIGHT_LEG,14996,2772,6296,192,-286,-92,76
1729739979.7152286,RIGHT_LEG,15036,2448,6360,224,-305,-108,77
1729739979.759515,RIGHT_LEG,14964,3012,6444,462,-243,-176,78
1729739979.8044002,RIGHT_LEG,15164,2544,6052,603,-214,-54,79
1729739979.8052206,RIGHT_LEG,15040,2428,6556,869,-191,-25,80
1729739979.8495407,RIGHT_LEG,14932,2852,6120,685,-204,-55,81
1729739979.894366,RIGHT_LEG,15052,3164,6268,839,-95,97,82
1729739979.89514,RIGHT_LEG,14960,2908,6488,1180,-20,235,83
1729739979.939939,RIGHT_LEG,15076,2624,6312,1046,-132,213,84
1729739979.9840257,RIGHT_LEG,15276,2592,6212,1129,-204,122,85
1729739979.984415,RIGHT_LEG,15148,2628,6508,1244,-235,136,86
1729739980.0294082,RIGHT_LEG,15068,2784,6192,1057,-305,-45,87
1729739980.0743754,RIGHT_LEG,14904,2548,6208,1022,-361,-17,88
1729739980.0751529,RIGHT_LEG,14880,2728,6396,1149,-332,-194,89
1729739980.119564,RIGHT_LEG,14972,2920,5908,798,-322,-110,90
1729739980.1645072,RIGHT_LEG,14988,3216,5832,677,-70,-73,91
1729739980.1652641,RIGHT_LEG,14988,3000,6156,686,145,-43,92
1729739980.2094195,RIGHT_LEG,15032,3064,6324,302,171,-49,93
1729739980.2545972,RIGHT_LEG,15188,3092,6324,376,179,189,94
1729739980.255553,RIGHT_LEG,14872,3116,6300,375,221,312,95
1729739980.3446035,RIGHT_LEG,14808,3308,6160,125,265,416,96
1729739980.3895738,RIGHT_LEG,14940,3100,6324,-146,306,526,97
1729739980.3902502,RIGHT_LEG,14796,2880,6236,-163,382,620,98
1729739980.4344318,RIGHT_LEG,15020,2844,6428,-230,404,605,99
1729739980.4793828,RIGHT_LEG,15060,2728,6572,-492,278,621,100
1729739980.5245686,RIGHT_LEG,14884,2672,6488,-403,260,605,101
1729739980.5253325,RIGHT_LEG,14892,2380,6516,-163,341,708,102
1729739980.5695114,RIGHT_LEG,15068,2552,6656,-205,265,626,103
1729739980.614477,RIGHT_LEG,14892,2368,6448,-30,277,596,104
1729739980.6152291,RIGHT_LEG,15052,2144,6824,154,187,550,105
1729739980.659464,RIGHT_LEG,14980,2260,6652,-132,93,388,106
1729739980.704523,RIGHT_LEG,14932,2256,6580,66,144,440,107
1729739980.7052555,RIGHT_LEG,15088,2312,6648,59,180,433,108
1729739980.749406,RIGHT_LEG,15020,2348,6488,98,284,409,109
1729739980.7945256,RIGHT_LEG,14880,2160,6652,250,434,470,110
1729739980.7953048,RIGHT_LEG,14924,2196,6568,153,419,411,111
1729739980.8395414,RIGHT_LEG,14868,2036,6744,187,455,392,112
1729739980.929334,RIGHT_LEG,14916,1868,7076,192,350,341,113
1729739980.930096,RIGHT_LEG,14824,2084,6944,-28,170,134,114
1729739980.9745605,RIGHT_LEG,14996,1816,6856,153,118,121,115
1729739980.975287,RIGHT_LEG,14816,2128,6984,108,-13,42,116
1729739980.9760349,RIGHT_LEG,14860,1884,6940,142,-106,6,117
1729739981.019602,RIGHT_LEG,14728,1860,6984,127,-207,-105,118
1729739981.0643935,RIGHT_LEG,15028,2080,7156,203,-306,-175,119
1729739981.065164,RIGHT_LEG,14800,1920,6980,181,-399,-240,120
1729739981.1095212,RIGHT_LEG,14812,2168,7092,236,-443,-244,121
1729739981.1548429,RIGHT_LEG,14988,2060,6700,341,-400,-236,122
1729739981.1556804,RIGHT_LEG,14820,2132,6780,315,-345,-236,123
1729739981.1990368,RIGHT_LEG,14936,2232,6720,354,-351,-191,124
1729739981.2442799,RIGHT_LEG,15064,2192,6668,443,-272,-150,125
